time (30.01.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:59:30;-18.10;-30.00;-30.01;18.20;-17.60;-18.10;-18.82;12.30;4.00
10:59:32;-18.10;-30.00;-30.02;18.20;-17.60;-18.10;-18.81;12.20;4.00
10:59:35;-18.10;-30.00;-30.02;18.20;-17.60;-18.10;-18.83;12.20;4.00
10:59:36;-18.10;-30.00;-30.03;18.10;-17.60;-18.10;-18.83;12.20;4.00
10:59:38;-18.10;-30.00;-30.05;18.10;-17.60;-18.20;-18.82;12.20;4.00
10:59:40;-18.10;-30.00;-30.03;18.20;-17.60;-18.20;-18.82;12.20;4.00
10:59:42;-18.10;-30.00;-30.01;18.20;-17.60;-18.10;-18.82;12.20;4.00
10:59:44;-18.10;-30.00;-30.00;18.10;-17.60;-18.10;-18.83;12.20;4.00
10:59:46;-18.10;-30.00;-29.98;18.10;-17.60;-18.10;-18.83;12.20;4.00
10:59:48;-18.10;-30.00;-29.98;18.20;-17.60;-18.10;-18.84;12.10;4.00
10:59:51;-18.10;-30.00;-30.00;18.10;-17.60;-18.10;-18.83;12.10;4.00
10:59:53;-18.10;-30.00;-29.99;18.20;-17.60;-18.10;-18.82;12.10;4.00
10:59:54;-18.10;-30.00;-29.99;18.10;-17.60;-18.10;-18.82;12.10;4.00
10:59:56;-18.10;-30.00;-30.00;18.10;-17.60;-18.10;-18.84;12.10;4.00
10:59:58;-18.10;-30.00;-30.01;18.10;-17.60;-18.10;-18.84;12.10;4.00
11:00:00;-18.10;-30.00;-30.03;18.10;-17.60;-18.20;-18.84;12.10;4.00
11:00:02;-18.10;-30.00;-30.04;18.10;-17.60;-18.10;-18.84;12.10;4.00
11:00:04;-18.10;-30.00;-30.03;18.10;-17.60;-18.20;-18.84;12.00;4.00
11:00:07;-18.10;-30.00;-30.02;18.10;-17.60;-18.20;-18.84;12.00;4.00
11:00:08;-18.10;-30.00;-30.01;18.20;-17.60;-18.20;-18.85;12.00;4.00
11:00:10;-18.10;-30.00;-30.02;18.20;-17.60;-18.20;-18.84;12.00;4.00
11:00:13;-18.10;-30.00;-30.02;18.10;-17.60;-18.20;-18.84;12.00;4.00
11:00:14;-18.10;-30.00;-29.97;18.10;-17.60;-18.20;-18.84;12.00;4.00
11:00:16;-18.10;-30.00;-29.98;18.10;-17.60;-18.20;-18.84;12.00;4.00
11:00:18;-18.10;-30.00;-30.01;18.10;-17.60;-18.20;-18.84;11.90;4.00
11:00:20;-18.10;-30.00;-30.02;18.10;-17.60;-18.20;-18.83;11.90;4.00
11:00:23;-18.10;-30.00;-30.02;18.10;-17.60;-18.10;-18.83;11.90;4.00
11:00:24;-18.10;-30.00;-30.01;18.10;-17.60;-18.20;-18.83;11.90;4.00
11:00:26;-18.10;-30.00;-30.01;18.10;-17.60;-18.10;-18.82;11.90;4.00
11:00:28;-18.10;-30.00;-30.03;18.10;-17.60;-18.10;-18.81;11.90;4.00
11:00:31;-18.10;-30.00;-30.03;18.10;-17.60;-18.10;-18.80;11.90;4.00
11:00:33;-18.10;-30.00;-30.03;18.10;-17.60;-18.10;-18.81;11.90;4.00
11:00:34;-18.10;-30.00;-30.00;18.10;-17.60;-18.10;-18.81;11.90;4.00
11:00:36;-18.10;-30.00;-30.02;18.10;-17.60;-18.10;-18.82;11.80;4.00
11:00:39;-18.10;-30.00;-30.03;18.10;-17.60;-18.10;-18.81;11.90;4.00
11:00:40;-18.10;-30.00;-30.03;18.10;-17.60;-18.20;-18.81;11.80;4.00
