time (01.10.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:40:50;-18.10;-30.00;-30.03;16.60;-19.50;-17.90;-19.41;21.20;5.60
12:40:52;-18.10;-30.00;-30.00;16.60;-19.50;-17.90;-19.41;21.20;5.60
12:40:54;-18.10;-30.00;-30.00;16.60;-19.50;-17.90;-19.40;21.20;5.70
12:40:56;-18.10;-30.00;-30.00;16.60;-19.50;-17.90;-19.40;21.20;5.70
12:40:58;-18.10;-30.00;-30.03;16.60;-19.50;-17.90;-19.40;21.20;5.60
12:41:00;-18.10;-30.00;-30.02;16.60;-19.50;-17.90;-19.42;21.20;5.70
12:41:02;-18.10;-30.00;-30.04;16.60;-19.50;-17.90;-19.42;21.20;5.70
12:41:04;-18.10;-30.00;-30.05;16.60;-19.50;-17.90;-19.44;21.20;5.70
12:41:06;-18.10;-30.00;-30.04;16.60;-19.50;-17.90;-19.43;21.10;5.60
12:41:08;-18.10;-30.00;-30.05;16.60;-19.50;-18.00;-19.43;21.10;5.60
12:41:10;-18.10;-30.00;-30.06;16.60;-19.50;-18.00;-19.42;21.10;5.60
12:41:12;-18.10;-30.00;-30.06;16.60;-19.50;-17.90;-19.42;21.00;5.60
12:41:14;-18.10;-30.00;-30.05;16.60;-19.50;-18.00;-19.43;21.00;5.60
12:41:16;-18.10;-30.00;-30.04;16.60;-19.50;-18.00;-19.43;21.00;5.60
12:41:18;-18.10;-30.00;-30.04;16.60;-19.50;-17.90;-19.43;21.00;5.50
12:41:20;-18.10;-30.00;-30.05;16.60;-19.50;-18.00;-19.42;20.90;5.60
12:41:22;-18.10;-30.00;-30.05;16.60;-19.50;-18.00;-19.42;20.90;5.60
12:41:24;-18.10;-30.00;-30.04;16.60;-19.40;-18.00;-19.42;20.80;5.60
12:41:26;-18.10;-30.00;-30.03;16.60;-19.50;-17.90;-19.42;20.80;5.60
12:41:28;-18.10;-30.00;-30.02;16.60;-19.40;-17.90;-19.41;20.70;5.60
12:41:30;-18.10;-30.00;-30.03;16.60;-19.40;-17.90;-19.39;20.70;5.60
12:41:32;-18.10;-30.00;-30.04;16.60;-19.40;-17.90;-19.39;20.70;5.60
12:41:34;-18.10;-30.00;-30.04;16.60;-19.40;-17.90;-19.41;20.70;5.70
12:41:36;-18.10;-30.00;-30.03;16.60;-19.40;-17.90;-19.40;20.70;5.60
12:41:38;-18.10;-30.00;-30.02;16.60;-19.40;-18.00;-19.40;20.70;5.60
12:41:40;-18.10;-30.00;-30.01;16.60;-19.40;-18.00;-19.41;20.70;5.60
12:41:42;-18.10;-30.00;-30.02;16.60;-19.40;-18.00;-19.41;20.60;5.60
12:41:44;-18.10;-30.00;-30.03;16.60;-19.40;-17.90;-19.41;20.60;5.60
12:41:46;-18.10;-30.00;-30.02;16.60;-19.40;-17.90;-19.41;20.60;5.60
12:41:48;-18.10;-30.00;-30.01;16.60;-19.40;-17.90;-19.40;20.60;5.70
12:41:50;-18.10;-30.00;-29.99;16.60;-19.40;-17.90;-19.41;20.60;5.60
12:41:52;-18.10;-30.00;-29.97;16.60;-19.40;-18.00;-19.42;20.50;5.60
12:41:54;-18.10;-30.00;-29.98;16.60;-19.40;-18.00;-19.43;20.50;5.60
