time (20.02.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:02:20;-18.10;-30.00;-29.99;20.40;-18.40;-18.10;-21.37;18.30;4.00
08:02:22;-18.10;-30.00;-29.99;20.40;-18.40;-18.10;-21.37;18.30;4.00
08:02:24;-18.10;-30.00;-30.02;20.40;-18.40;-18.10;-21.36;18.30;4.10
08:02:26;-18.10;-30.00;-30.03;20.40;-18.40;-18.10;-21.37;18.30;4.00
08:02:28;-18.10;-30.00;-30.04;20.40;-18.40;-18.10;-21.37;18.30;4.00
08:02:30;-18.10;-30.00;-30.03;20.40;-18.40;-18.10;-21.37;18.20;4.00
08:02:32;-18.10;-30.00;-30.02;20.40;-18.40;-18.10;-21.37;18.20;4.00
08:02:34;-18.10;-30.00;-30.02;20.40;-18.40;-18.10;-21.37;18.20;4.10
08:02:36;-18.10;-30.00;-30.02;20.40;-18.40;-18.10;-21.36;18.20;4.10
08:02:38;-18.10;-30.00;-30.02;20.40;-18.40;-18.10;-21.37;18.20;4.00
08:02:40;-18.10;-30.00;-30.00;20.30;-18.40;-18.10;-21.37;18.20;4.00
08:02:42;-18.10;-30.00;-30.00;20.30;-18.40;-18.10;-21.36;18.20;4.00
08:02:44;-18.10;-30.00;-30.00;20.40;-18.40;-18.10;-21.36;18.20;4.00
08:02:46;-18.10;-30.00;-30.01;20.40;-18.40;-18.10;-21.37;18.20;4.00
08:02:48;-18.10;-30.00;-30.00;20.30;-18.40;-18.10;-21.36;18.20;4.10
08:02:50;-18.10;-30.00;-30.00;20.30;-18.40;-18.10;-21.36;18.20;4.10
08:02:52;-18.10;-30.00;-29.99;20.30;-18.40;-18.10;-21.37;18.30;4.00
08:02:59;-18.10;-30.00;-29.99;20.30;-18.40;-18.10;-21.36;18.20;4.00
08:03:02;-18.10;-30.00;-30.00;20.30;-18.40;-18.10;-21.37;18.30;4.00
08:03:04;-18.10;-30.00;-29.99;20.30;-18.40;-18.10;-21.36;18.30;4.10
08:03:06;-18.10;-30.00;-30.00;20.30;-18.40;-18.10;-21.37;18.30;4.00
08:03:08;-18.10;-30.00;-29.99;20.30;-18.40;-18.10;-21.37;18.30;4.00
08:03:10;-18.10;-30.00;-29.99;20.30;-18.40;-18.10;-21.37;18.30;4.00
08:03:12;-18.10;-30.00;-29.96;20.30;-18.40;-18.20;-21.36;18.30;4.00
08:03:14;-18.10;-30.00;-29.98;20.30;-18.40;-18.10;-21.36;18.30;4.10
08:03:16;-18.10;-30.00;-29.98;20.30;-18.50;-18.20;-21.36;18.30;4.00
08:03:18;-18.10;-30.00;-29.99;20.30;-18.40;-18.10;-21.37;18.30;4.10
08:03:20;-18.10;-30.00;-30.01;20.30;-18.40;-18.10;-21.37;18.20;4.10
08:03:22;-18.10;-30.00;-30.03;20.30;-18.40;-18.10;-21.37;18.30;4.00
08:03:24;-18.10;-30.00;-30.01;20.30;-18.40;-18.10;-21.36;18.30;4.00
08:03:26;-18.10;-30.00;-30.02;20.30;-18.40;-18.20;-21.36;18.30;4.00
08:03:28;-18.10;-30.00;-30.02;20.30;-18.40;-18.20;-21.36;18.30;4.00
