time (22.11.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:33:18;-18.10;-30.00;-29.97;18.90;-13.50;-18.10;-21.53;9.50;2.30
10:33:20;-18.10;-30.00;-29.97;18.90;-13.60;-18.10;-21.53;9.60;2.30
10:33:22;-18.10;-30.00;-30.00;18.90;-13.50;-18.10;-21.53;9.60;2.40
10:33:24;-18.10;-30.00;-29.99;18.80;-13.50;-18.10;-21.52;9.50;2.30
10:33:26;-18.10;-30.00;-30.00;18.90;-13.50;-18.10;-21.52;9.60;2.30
10:33:28;-18.10;-30.00;-30.02;18.90;-13.50;-18.10;-21.52;9.50;2.30
10:33:30;-18.10;-30.00;-30.02;18.90;-13.50;-18.10;-21.52;9.60;2.40
10:33:33;-18.10;-30.00;-30.01;18.90;-13.50;-18.10;-21.51;9.60;2.40
10:33:34;-18.10;-30.00;-30.01;18.90;-13.50;-18.10;-21.51;9.60;2.30
10:33:36;-18.10;-30.00;-30.01;18.90;-13.50;-18.10;-21.53;9.60;2.40
10:33:38;-18.10;-30.00;-30.03;18.90;-13.50;-18.10;-21.54;9.60;2.30
10:33:40;-18.10;-30.00;-30.03;18.90;-13.50;-18.10;-21.55;9.60;2.40
10:33:42;-18.10;-30.00;-30.02;18.80;-13.50;-18.10;-21.55;9.60;2.40
10:33:44;-18.10;-30.00;-30.01;18.90;-13.50;-18.10;-21.55;9.60;2.30
10:33:46;-18.10;-30.00;-30.03;18.90;-13.50;-18.10;-21.55;9.60;2.40
10:33:48;-18.10;-30.00;-30.02;18.90;-13.50;-18.10;-21.54;9.60;2.30
10:33:50;-18.10;-30.00;-30.03;18.80;-13.60;-18.10;-21.53;9.50;2.30
10:33:52;-18.10;-30.00;-30.02;18.80;-13.50;-18.10;-21.53;9.60;2.30
10:33:54;-18.10;-30.00;-30.00;18.80;-13.50;-18.10;-21.51;9.60;2.30
10:33:56;-18.10;-30.00;-30.00;18.80;-13.50;-18.10;-21.53;9.60;2.30
10:33:58;-18.10;-30.00;-30.00;18.80;-13.50;-18.10;-21.53;9.60;2.40
10:34:00;-18.10;-30.00;-29.99;18.80;-13.50;-18.10;-21.54;9.60;2.40
10:34:02;-18.10;-30.00;-29.98;18.90;-13.50;-18.10;-21.54;9.60;2.30
10:34:04;-18.10;-30.00;-29.99;18.90;-13.60;-18.10;-21.54;9.60;2.40
10:34:06;-18.10;-30.00;-29.99;18.80;-13.50;-18.10;-21.54;9.60;2.30
10:34:08;-18.10;-30.00;-30.00;18.80;-13.50;-18.10;-21.54;9.60;2.30
10:34:10;-18.10;-30.00;-30.02;18.90;-13.50;-18.10;-21.54;9.60;2.30
10:34:12;-18.10;-30.00;-30.03;18.90;-13.60;-18.10;-21.54;9.60;2.30
10:34:14;-18.10;-30.00;-30.02;18.90;-13.50;-18.10;-21.53;9.60;2.30
10:34:16;-18.10;-30.00;-30.02;18.80;-13.50;-18.10;-21.54;9.60;2.30
10:34:18;-18.10;-30.00;-30.01;18.80;-13.50;-18.10;-21.55;9.60;2.30
10:34:20;-18.10;-30.00;-30.01;18.80;-13.50;-18.10;-21.53;9.60;2.30
10:34:22;-18.10;-30.00;-30.01;18.90;-13.50;-18.10;-21.53;9.60;2.30
10:34:24;-18.10;-30.00;-30.01;18.80;-13.50;-18.10;-21.54;9.60;2.30
10:34:26;-18.10;-30.00;-30.01;18.80;-13.50;-18.10;-21.56;9.60;2.40
