time (15.07.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:40:11;-18.10;-30.00;-29.98;18.30;-18.30;-18.10;-20.20;10.60;5.00
15:40:12;-18.10;-30.00;-29.98;18.30;-18.30;-18.10;-20.20;10.60;5.00
15:40:14;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.19;10.60;5.00
15:40:16;-18.10;-30.00;-30.01;18.30;-18.30;-18.10;-20.19;10.60;5.00
15:40:18;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.19;10.60;5.00
15:40:20;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.19;10.60;5.00
15:40:23;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.19;10.60;5.00
15:40:25;-18.10;-30.00;-30.00;18.30;-18.30;-18.20;-20.19;10.60;5.00
15:40:27;-18.10;-30.00;-30.01;18.30;-18.30;-18.10;-20.19;10.60;5.10
15:40:28;-18.10;-30.00;-30.02;18.30;-18.30;-18.10;-20.19;10.50;5.00
15:40:30;-18.10;-30.00;-30.02;18.30;-18.30;-18.10;-20.18;10.50;5.10
15:40:32;-18.10;-30.00;-30.01;18.30;-18.30;-18.10;-20.18;10.50;5.10
15:40:34;-18.10;-30.00;-30.00;18.30;-18.40;-18.10;-20.18;10.50;5.00
15:40:36;-18.10;-30.00;-30.01;18.30;-18.30;-18.10;-20.17;10.60;5.00
15:40:39;-18.10;-30.00;-30.01;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:40;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.10
15:40:43;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:44;-18.10;-30.00;-29.99;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:46;-18.10;-30.00;-29.98;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:49;-18.10;-30.00;-29.96;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:51;-18.10;-30.00;-29.97;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:53;-18.10;-30.00;-29.99;18.30;-18.30;-18.10;-20.16;10.50;5.00
15:40:55;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:57;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:40:59;-18.10;-30.00;-29.99;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:00;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:02;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.18;10.50;5.00
15:41:04;-18.10;-30.00;-30.01;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:07;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:09;-18.10;-30.00;-29.97;18.20;-18.30;-18.10;-20.17;10.50;5.10
15:41:10;-18.10;-30.00;-29.96;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:12;-18.10;-30.00;-29.98;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:14;-18.10;-30.00;-30.00;18.30;-18.30;-18.10;-20.17;10.50;5.00
15:41:16;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.17;10.50;5.00
15:41:18;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.16;10.50;5.00
15:41:21;-18.10;-30.00;-30.01;18.20;-18.30;-18.10;-20.16;10.50;5.00
15:41:23;-18.10;-30.00;-30.02;18.20;-18.40;-18.10;-20.16;10.50;5.00
15:41:25;-18.10;-30.00;-30.03;18.20;-18.30;-18.10;-20.16;10.40;5.00
15:41:26;-18.10;-30.00;-30.03;18.30;-18.30;-18.10;-20.16;10.50;5.00
15:41:28;-18.10;-30.00;-30.02;18.30;-18.30;-18.10;-20.15;10.40;5.00
15:41:31;-18.10;-30.00;-30.02;18.20;-18.30;-18.10;-20.15;10.40;5.00
15:41:32;-18.10;-30.00;-30.02;18.20;-18.30;-18.10;-20.15;10.40;5.00
15:41:34;-18.10;-30.00;-30.01;18.20;-18.30;-18.10;-20.15;10.40;5.00
15:41:37;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.15;10.40;5.10
15:41:39;-18.10;-30.00;-29.99;18.30;-18.30;-18.10;-20.15;10.40;5.00
15:41:41;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.14;10.40;5.00
15:41:42;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.14;10.40;5.00
15:41:44;-18.10;-30.00;-29.99;18.20;-18.30;-18.10;-20.14;10.40;5.00
15:41:47;-18.10;-30.00;-29.99;18.20;-18.30;-18.10;-20.14;10.40;5.00
15:41:49;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.14;10.40;5.10
15:41:50;-18.10;-30.00;-30.00;18.20;-18.30;-18.00;-20.14;10.40;5.10
15:41:53;-18.10;-30.00;-30.01;18.20;-18.30;-18.10;-20.13;10.30;5.00
15:41:55;-18.10;-30.00;-30.01;18.20;-18.30;-18.10;-20.13;10.30;5.00
15:41:56;-18.10;-30.00;-30.00;18.20;-18.30;-18.10;-20.13;10.40;5.00
15:41:58;-18.10;-30.00;-30.00;18.20;-18.30;-18.00;-20.13;10.30;5.10
