time (02.09.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:21:02;-18.10;-30.00;-29.99;18.00;-18.20;-18.20;-18.69;10.60;3.80
08:21:04;-18.10;-30.00;-30.00;18.00;-18.20;-18.20;-18.66;10.60;3.80
08:21:06;-18.10;-30.00;-29.98;18.00;-18.20;-18.20;-18.69;10.60;3.80
08:21:08;-18.10;-30.00;-29.96;18.00;-18.20;-18.10;-18.63;10.60;3.80
08:21:10;-18.10;-30.00;-29.98;18.00;-18.20;-18.10;-18.58;10.60;3.80
08:21:12;-18.10;-30.00;-29.98;18.00;-18.20;-18.10;-18.52;10.70;3.80
08:21:14;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-18.54;10.60;3.80
08:21:16;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-18.51;10.60;3.80
08:21:18;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-18.50;10.70;3.80
08:21:20;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-18.48;10.70;3.80
08:21:22;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-18.42;10.60;3.80
08:21:24;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-18.41;10.70;3.80
08:21:26;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-18.38;10.60;3.80
08:21:28;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-18.34;10.70;3.80
08:21:30;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-18.33;10.70;3.80
08:21:32;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-18.30;10.60;3.70
08:21:34;-18.10;-30.00;-30.02;18.00;-18.20;-18.10;-18.28;10.60;3.80
08:21:42;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-18.11;10.60;3.80
08:21:44;-18.10;-30.00;-30.02;18.00;-18.20;-18.10;-18.09;10.70;3.80
08:21:46;-18.10;-30.00;-30.04;18.00;-18.20;-18.10;-18.09;10.70;3.80
08:21:48;-18.10;-30.00;-30.04;18.00;-18.20;-18.10;-18.01;10.70;3.80
08:21:50;-18.10;-30.00;-30.03;18.00;-18.20;-18.10;-17.96;10.70;3.80
08:21:52;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.90;10.60;3.80
08:21:54;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.85;10.70;3.80
08:21:56;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.88;10.70;3.70
08:21:58;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.80;10.60;3.70
08:22:00;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.77;10.70;3.80
08:22:02;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.75;10.70;3.80
08:22:04;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.64;10.70;3.80
08:22:06;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.50;10.70;3.80
08:22:08;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.45;10.70;3.70
08:22:10;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.34;10.70;3.80
08:22:12;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.36;10.70;3.70
08:22:14;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.24;10.70;3.70
08:22:16;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.21;10.70;3.80
08:22:18;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.20;10.70;3.80
08:22:20;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-17.13;10.70;3.80
08:22:22;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.15;10.70;3.80
08:22:24;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-17.07;10.70;3.80
08:22:26;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.10;10.70;3.80
08:22:28;-18.10;-30.00;-30.00;18.00;-18.20;-18.10;-17.02;10.70;3.80
08:22:30;-18.10;-30.00;-30.01;18.00;-18.20;-18.10;-16.92;10.70;3.80
08:22:32;-18.10;-30.00;-30.02;18.00;-18.20;-18.10;-16.86;10.70;3.80
08:22:34;-18.10;-30.00;-30.02;17.90;-18.20;-18.10;-16.76;10.70;3.80
08:22:36;-18.10;-30.00;-30.00;17.90;-18.20;-18.10;-16.51;10.70;3.80
08:22:38;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-16.35;10.70;3.80
08:22:40;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-16.43;10.70;3.80
08:22:42;-18.10;-30.00;-29.99;18.00;-18.20;-18.10;-16.41;10.70;3.80
08:22:44;-18.10;-30.00;-30.00;17.90;-18.20;-18.10;-16.38;10.70;3.70
08:22:46;-18.10;-30.00;-30.00;17.90;-18.20;-18.10;-16.30;10.70;3.70
