time (22.07.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
07:58:37;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-18.34;12.70;4.70
07:58:39;-18.10;-30.00;-29.98;20.10;-18.50;-18.10;-18.35;12.70;4.70
07:58:41;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-18.35;12.70;4.70
07:58:43;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-18.31;12.70;4.70
07:58:45;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-18.26;12.70;4.80
07:58:47;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-18.25;12.60;4.70
07:58:49;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-18.22;12.70;4.70
07:58:51;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-18.20;12.60;4.80
07:58:53;-18.10;-30.00;-30.02;20.10;-18.50;-18.10;-18.19;12.60;4.80
07:58:55;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-18.15;12.60;4.70
07:58:57;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-18.13;12.60;4.70
07:58:59;-18.10;-30.00;-30.00;20.10;-18.50;-18.20;-18.14;12.60;4.70
07:59:01;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-18.14;12.60;4.80
07:59:03;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-18.12;12.60;4.70
07:59:05;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-18.09;12.60;4.70
07:59:07;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-18.07;12.60;4.80
07:59:09;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-18.03;12.60;4.80
07:59:11;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-18.00;12.60;4.80
07:59:13;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.99;12.60;4.80
07:59:15;-18.10;-30.00;-30.02;20.10;-18.50;-18.10;-17.93;12.60;4.80
07:59:17;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.90;12.50;4.70
07:59:19;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.86;12.50;4.80
07:59:21;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.89;12.50;4.70
07:59:23;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.86;12.60;4.70
07:59:25;-18.10;-30.00;-29.97;20.10;-18.50;-18.10;-17.85;12.50;4.80
07:59:27;-18.10;-30.00;-29.98;20.10;-18.50;-18.10;-17.86;12.50;4.80
07:59:29;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.86;12.50;4.80
07:59:31;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.89;12.50;4.70
07:59:33;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.91;12.50;4.70
07:59:35;-18.10;-30.00;-29.96;20.10;-18.50;-18.10;-17.89;12.50;4.80
07:59:37;-18.10;-30.00;-29.97;20.10;-18.50;-18.10;-17.90;12.50;4.80
07:59:39;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.88;12.50;4.70
07:59:41;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.88;12.50;4.80
07:59:43;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.89;12.50;4.80
07:59:45;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.88;12.50;4.70
07:59:47;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.89;12.50;4.80
07:59:49;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.85;12.50;4.80
07:59:51;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.86;12.40;4.70
07:59:53;-18.10;-30.00;-30.00;20.10;-18.40;-18.10;-17.87;12.50;4.80
07:59:55;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.84;12.50;4.70
07:59:57;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.85;12.40;4.70
07:59:59;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.85;12.50;4.80
08:00:01;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.79;12.50;4.80
08:00:03;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.79;12.50;4.80
08:00:05;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.81;12.50;4.80
08:00:07;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.80;12.50;4.70
08:00:09;-18.10;-30.00;-30.00;20.10;-18.50;-18.10;-17.81;12.40;4.70
08:00:11;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.79;12.40;4.80
08:00:13;-18.10;-30.00;-30.01;20.10;-18.50;-18.10;-17.76;12.40;4.80
08:00:15;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.74;12.40;4.80
08:00:17;-18.10;-30.00;-29.99;20.10;-18.50;-18.10;-17.75;12.40;4.70
08:00:19;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.71;12.50;4.70
08:00:21;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.74;12.40;4.80
08:00:23;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.74;12.40;4.80
08:00:25;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.74;12.40;4.70
08:00:27;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.72;12.40;4.80
08:00:29;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.76;12.40;4.80
08:00:31;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.72;12.40;4.80
08:00:33;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.71;12.40;4.80
08:00:35;-18.10;-30.00;-29.98;20.00;-18.50;-18.10;-17.67;12.40;4.80
08:00:37;-18.10;-30.00;-29.98;20.00;-18.50;-18.10;-17.68;12.40;4.80
08:00:39;-18.10;-30.00;-29.97;20.00;-18.50;-18.10;-17.68;12.30;4.80
08:00:41;-18.10;-30.00;-29.97;20.00;-18.50;-18.10;-17.67;12.30;4.80
08:00:43;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.65;12.40;4.80
08:00:45;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.65;12.40;4.70
08:00:47;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.64;12.30;4.70
08:00:49;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.65;12.30;4.80
08:00:51;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.68;12.30;4.70
08:00:53;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.66;12.30;4.80
08:00:55;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.61;12.30;4.80
08:00:57;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.64;12.30;4.80
08:00:59;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.58;12.30;4.80
08:01:02;-18.10;-30.00;-29.98;20.00;-18.50;-18.00;-17.57;12.30;4.80
08:01:03;-18.10;-30.00;-29.98;20.00;-18.50;-18.10;-17.57;12.40;4.80
08:01:05;-18.10;-30.00;-29.97;20.00;-18.50;-18.10;-17.57;12.30;4.80
08:01:07;-18.10;-30.00;-29.98;20.00;-18.50;-18.10;-17.55;12.30;4.80
08:01:09;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.55;12.30;4.80
08:01:11;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.54;12.30;4.80
08:01:13;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.55;12.30;4.80
08:01:15;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.55;12.30;4.80
08:01:17;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.57;12.30;4.80
08:01:19;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.50;12.30;4.80
08:01:21;-18.10;-30.00;-30.01;20.00;-18.50;-18.10;-17.51;12.30;4.80
08:01:23;-18.10;-30.00;-30.02;20.00;-18.50;-18.10;-17.49;12.30;4.80
08:01:25;-18.10;-30.00;-30.02;20.00;-18.50;-18.10;-17.47;12.30;4.80
08:01:27;-18.10;-30.00;-30.02;20.00;-18.50;-18.10;-17.46;12.30;4.80
08:01:29;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.48;12.30;4.80
08:01:31;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.47;12.30;4.80
08:01:33;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.49;12.30;4.80
08:01:35;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.49;12.30;4.70
08:01:37;-18.10;-30.00;-29.98;20.00;-18.50;-18.10;-17.52;12.30;4.80
08:01:39;-18.10;-30.00;-29.99;20.00;-18.50;-18.10;-17.49;12.30;4.80
08:01:41;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.55;12.30;4.80
08:01:43;-18.10;-30.00;-30.00;20.00;-18.50;-18.10;-17.44;12.30;4.80
