time (24.06.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:42:03;-18.10;-30.00;-30.00;16.70;-18.70;-18.10;-21.07;12.90;5.00
10:42:05;-18.10;-30.00;-30.00;16.70;-18.70;-18.10;-21.06;12.90;5.00
10:42:07;-18.10;-30.00;-30.00;16.70;-18.70;-18.10;-21.06;12.90;5.00
10:42:10;-18.10;-30.00;-30.01;16.70;-18.70;-18.10;-21.06;13.00;5.00
10:42:11;-18.10;-30.00;-30.02;16.70;-18.70;-18.10;-21.06;13.00;5.00
10:42:14;-18.10;-30.00;-30.02;16.70;-18.80;-18.10;-21.06;13.00;5.10
10:42:16;-18.10;-30.00;-30.01;16.70;-18.70;-18.10;-21.06;13.00;5.00
10:42:18;-18.10;-30.00;-29.99;16.70;-18.80;-18.10;-21.07;13.00;5.00
10:42:20;-18.10;-30.00;-30.00;16.70;-18.80;-18.10;-21.07;13.00;5.00
10:42:22;-18.10;-30.00;-30.00;16.70;-18.70;-18.10;-21.06;13.00;5.10
10:42:24;-18.10;-30.00;-30.00;16.70;-18.70;-18.10;-21.07;13.00;5.10
10:42:26;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.07;13.00;5.00
10:42:28;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.07;12.90;5.00
10:42:30;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.07;12.90;5.00
10:42:32;-18.10;-30.00;-30.01;16.70;-18.80;-18.10;-21.06;12.90;5.10
10:42:34;-18.10;-30.00;-30.05;16.60;-18.70;-18.10;-21.06;12.90;5.00
10:42:36;-18.10;-30.00;-30.04;16.60;-18.70;-18.10;-21.07;12.80;5.00
10:42:38;-18.10;-30.00;-30.02;16.60;-18.70;-18.10;-21.06;12.90;5.00
10:42:40;-18.10;-30.00;-30.02;16.60;-18.70;-18.10;-21.06;12.90;5.00
10:42:42;-18.10;-30.00;-30.02;16.60;-18.70;-18.10;-21.06;12.90;5.00
10:42:44;-18.10;-30.00;-30.00;16.60;-18.70;-18.10;-21.07;12.90;5.00
10:42:46;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.06;12.90;5.00
10:42:48;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.06;13.00;5.00
10:42:50;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.07;13.00;5.00
10:42:52;-18.10;-30.00;-29.98;16.60;-18.70;-18.10;-21.07;13.00;5.00
10:42:54;-18.10;-30.00;-29.99;16.60;-18.70;-18.10;-21.07;13.00;5.00
10:42:56;-18.10;-30.00;-30.00;16.60;-18.70;-18.10;-21.07;13.00;5.00
10:42:58;-18.10;-30.00;-30.01;16.60;-18.70;-18.10;-21.06;13.00;5.00
10:43:00;-18.10;-30.00;-30.02;16.60;-18.70;-18.10;-21.06;13.00;5.00
