time (24.06.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:09:16;-18.10;-30.00;-30.04;20.00;-18.80;-18.00;-20.59;16.70;4.70
10:09:18;-18.10;-30.00;-30.03;20.00;-18.80;-18.00;-20.59;16.70;4.70
10:09:20;-18.10;-30.00;-30.03;20.00;-18.80;-18.00;-20.59;16.70;4.70
10:09:22;-18.10;-30.00;-30.03;20.00;-18.80;-18.00;-20.58;16.70;4.70
10:09:25;-18.10;-30.00;-30.04;20.00;-18.80;-18.00;-20.58;16.70;4.70
10:09:26;-18.10;-30.00;-30.05;20.00;-18.80;-18.00;-20.58;16.70;4.70
10:09:28;-18.10;-30.00;-30.05;20.00;-18.80;-18.00;-20.57;16.60;4.70
10:09:30;-18.10;-30.00;-30.05;20.00;-18.80;-18.00;-20.57;16.60;4.70
10:09:32;-18.10;-30.00;-30.04;20.00;-18.80;-18.00;-20.57;16.60;4.70
10:09:35;-18.10;-30.00;-30.04;20.00;-18.80;-18.00;-20.56;16.60;4.60
10:09:37;-18.10;-30.00;-30.03;20.00;-18.80;-18.00;-20.57;16.60;4.70
10:09:39;-18.10;-30.00;-30.03;20.00;-18.80;-18.00;-20.56;16.60;4.70
10:09:41;-18.10;-30.00;-30.03;19.90;-18.80;-18.00;-20.56;16.50;4.70
10:09:42;-18.10;-30.00;-30.04;20.00;-18.80;-18.00;-20.56;16.50;4.70
10:09:45;-18.10;-30.00;-30.04;20.00;-18.80;-18.00;-20.56;16.50;4.70
10:09:47;-18.10;-30.00;-30.04;19.90;-18.80;-18.00;-20.56;16.50;4.70
10:09:49;-18.10;-30.00;-30.03;19.90;-18.80;-18.00;-20.56;16.50;4.60
10:09:51;-18.10;-30.00;-30.03;19.90;-18.70;-18.00;-20.56;16.50;4.70
10:09:53;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.56;16.50;4.70
10:09:55;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.56;16.50;4.70
10:09:57;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.55;16.50;4.70
10:10:00;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.53;16.50;4.70
10:10:02;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.52;16.40;4.70
10:10:04;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.52;16.50;4.70
10:10:06;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.52;16.40;4.70
10:10:08;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.52;16.50;4.70
10:10:10;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.53;16.40;4.70
10:10:12;-18.10;-30.00;-30.03;19.90;-18.70;-18.00;-20.52;16.40;4.70
10:10:14;-18.10;-30.00;-30.03;19.90;-18.70;-18.00;-20.52;16.40;4.70
10:10:16;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.51;16.40;4.70
10:10:18;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.52;16.30;4.70
10:10:20;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.52;16.30;4.70
10:10:22;-18.10;-30.00;-30.03;19.90;-18.70;-18.00;-20.52;16.30;4.70
10:10:24;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.51;16.20;4.70
10:10:27;-18.10;-30.00;-30.02;19.80;-18.70;-18.00;-20.51;16.20;4.70
10:10:28;-18.10;-30.00;-30.02;19.90;-18.70;-18.00;-20.50;16.30;4.80
10:10:30;-18.10;-30.00;-30.02;19.80;-18.70;-18.00;-20.50;16.20;4.70
10:10:32;-18.10;-30.00;-30.02;19.80;-18.70;-18.00;-20.49;16.30;4.70
10:10:34;-18.10;-30.00;-30.02;19.80;-18.70;-18.00;-20.50;16.30;4.70
