time (01.07.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:31:24;-18.10;-30.00;-30.03;16.60;-18.90;-18.10;-20.12;17.00;6.90
11:31:26;-18.10;-30.00;-30.04;16.60;-18.90;-18.10;-20.13;16.90;7.00
11:31:28;-18.10;-30.00;-30.03;16.60;-18.90;-18.10;-20.12;16.90;7.00
11:31:30;-18.10;-30.00;-30.03;16.60;-18.90;-18.00;-20.13;16.90;7.00
11:31:32;-18.10;-30.00;-30.03;16.60;-18.90;-18.00;-20.13;16.90;7.00
11:31:34;-18.10;-30.00;-30.03;16.60;-18.90;-18.10;-20.12;16.90;7.00
11:31:36;-18.10;-30.00;-30.03;16.60;-18.90;-18.10;-20.11;16.90;7.00
11:31:38;-18.10;-30.00;-30.04;16.60;-18.90;-18.10;-20.11;16.80;7.00
11:31:40;-18.10;-30.00;-30.04;16.60;-18.90;-18.10;-20.11;16.80;7.00
11:31:42;-18.10;-30.00;-30.05;16.60;-18.90;-18.00;-20.09;16.80;7.00
11:31:44;-18.10;-30.00;-30.05;16.60;-18.90;-18.00;-20.09;16.70;7.00
11:31:46;-18.10;-30.00;-30.04;16.60;-18.90;-18.00;-20.10;16.70;7.00
11:31:48;-18.10;-30.00;-30.04;16.60;-18.90;-18.00;-20.10;16.70;6.90
11:31:50;-18.10;-30.00;-30.05;16.60;-18.90;-18.00;-20.10;16.70;6.90
11:31:52;-18.10;-30.00;-30.06;16.60;-18.90;-18.00;-20.09;16.70;7.00
11:31:54;-18.10;-30.00;-30.06;16.60;-18.90;-18.00;-20.08;16.60;7.00
11:31:56;-18.10;-30.00;-30.05;16.60;-18.90;-18.00;-20.08;16.60;7.00
11:31:58;-18.10;-30.00;-30.04;16.60;-18.80;-18.00;-20.09;16.60;7.00
11:32:00;-18.10;-30.00;-30.04;16.60;-18.90;-18.00;-20.08;16.60;7.00
11:32:02;-18.10;-30.00;-30.04;16.60;-18.80;-18.00;-20.07;16.50;7.00
11:32:04;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.09;16.50;7.00
11:32:06;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.08;16.50;7.00
11:32:08;-18.10;-30.00;-30.06;16.60;-18.80;-18.10;-20.09;16.50;7.00
11:32:10;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.09;16.50;7.00
11:32:12;-18.10;-30.00;-30.04;16.60;-18.80;-18.00;-20.08;16.40;6.90
11:32:14;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.06;16.40;7.00
11:32:16;-18.10;-30.00;-30.06;16.60;-18.90;-18.00;-20.07;16.40;7.00
11:32:18;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.05;16.40;7.00
11:32:20;-18.10;-30.00;-30.04;16.60;-18.80;-18.00;-20.06;16.40;7.00
11:32:22;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.06;16.30;7.00
11:32:24;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.07;16.30;7.00
11:32:26;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.08;16.30;6.90
11:32:28;-18.10;-30.00;-30.05;16.60;-18.80;-18.00;-20.07;16.30;7.00
11:32:30;-18.10;-30.00;-30.04;16.50;-18.80;-18.00;-20.07;16.30;7.00
11:32:32;-18.10;-30.00;-30.04;16.50;-18.80;-18.00;-20.06;16.20;7.00
11:32:34;-18.10;-30.00;-30.03;16.50;-18.80;-18.00;-20.06;16.20;7.00
11:32:36;-18.10;-30.00;-30.03;16.50;-18.80;-18.00;-20.08;16.20;7.00
11:32:39;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.06;16.20;7.00
11:32:40;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.07;16.20;7.00
11:32:42;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.04;16.20;6.90
11:32:44;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.06;16.10;7.00
11:32:46;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.06;16.10;6.90
11:32:48;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.05;16.10;7.00
11:32:50;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.05;16.10;7.00
11:32:52;-18.10;-30.00;-30.01;16.50;-18.80;-18.00;-20.05;16.00;7.00
11:32:54;-18.10;-30.00;-30.01;16.50;-18.80;-18.00;-20.06;16.10;7.00
11:32:56;-18.10;-30.00;-30.01;16.50;-18.80;-18.00;-20.05;16.00;7.00
11:32:58;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.04;16.00;7.00
11:33:00;-18.10;-30.00;-30.03;16.50;-18.80;-18.00;-20.03;16.00;7.00
11:33:02;-18.10;-30.00;-30.02;16.50;-18.80;-18.00;-20.02;16.00;7.00
