time (19.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:02:46;-18.10;-30.00;-29.99;18.20;-17.40;-18.10;-14.47;7.90;3.30
11:02:48;-18.10;-30.00;-30.00;18.20;-17.30;-18.10;-14.48;7.90;3.30
11:02:50;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.50;7.90;3.30
11:02:52;-18.10;-30.00;-30.01;18.20;-17.40;-18.10;-14.47;7.90;3.30
11:02:54;-18.10;-30.00;-30.02;18.10;-17.40;-18.10;-14.46;7.90;3.30
11:02:56;-18.10;-30.00;-30.01;18.10;-17.40;-18.10;-14.47;7.90;3.30
11:02:58;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.45;7.90;3.30
11:03:00;-18.10;-30.00;-30.00;18.10;-17.40;-18.10;-14.46;7.90;3.30
11:03:02;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.45;7.90;3.30
11:03:04;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.47;7.90;3.30
11:03:06;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.46;7.90;3.20
11:03:08;-18.10;-30.00;-30.00;18.10;-17.40;-18.10;-14.45;7.90;3.30
11:03:10;-18.10;-30.00;-30.01;18.10;-17.40;-18.10;-14.45;7.90;3.30
11:03:12;-18.10;-30.00;-30.01;18.10;-17.30;-18.10;-14.45;7.90;3.30
11:03:14;-18.10;-30.00;-30.02;18.10;-17.30;-18.10;-14.44;7.90;3.30
11:03:16;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.44;7.90;3.30
11:03:18;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.45;7.90;3.30
11:03:20;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.50;7.90;3.30
11:03:22;-18.10;-30.00;-30.00;18.10;-17.30;-18.00;-14.51;7.80;3.30
11:03:24;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.51;7.80;3.30
11:03:26;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.49;7.90;3.30
11:03:28;-18.10;-30.00;-29.98;18.10;-17.30;-18.10;-14.47;7.90;3.20
11:03:30;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.48;7.80;3.30
11:03:32;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.48;7.90;3.20
11:03:34;-18.10;-30.00;-30.00;18.10;-17.30;-18.10;-14.47;7.80;3.30
