time (24.06.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:07:54;-18.10;-30.00;-30.01;11.00;-18.80;-18.10;-20.83;25.20;5.40
14:07:56;-18.10;-30.00;-30.01;11.00;-18.80;-18.10;-20.83;25.20;5.40
14:07:58;-18.10;-30.00;-30.00;11.00;-18.80;-18.10;-20.82;25.20;5.40
14:08:00;-18.10;-30.00;-30.01;11.00;-18.80;-18.10;-20.82;25.30;5.40
14:08:02;-18.10;-30.00;-30.02;11.00;-18.80;-18.10;-20.82;25.30;5.40
14:08:04;-18.10;-30.00;-30.03;11.00;-18.80;-18.10;-20.83;25.30;5.40
14:08:06;-18.10;-30.00;-30.00;11.00;-18.80;-18.10;-20.83;25.30;5.40
14:08:08;-18.10;-30.00;-29.97;11.00;-18.80;-18.10;-20.83;25.20;5.30
14:08:10;-18.10;-30.00;-29.98;11.00;-18.80;-18.10;-20.83;25.20;5.30
14:08:12;-18.10;-30.00;-30.00;11.00;-18.80;-18.10;-20.82;25.20;5.30
14:08:14;-18.10;-30.00;-30.00;11.00;-18.80;-18.10;-20.82;25.20;5.40
14:08:16;-18.10;-30.00;-29.99;11.00;-18.80;-18.10;-20.82;25.20;5.40
14:08:18;-18.10;-30.00;-29.99;11.00;-18.80;-18.10;-20.82;25.20;5.30
14:08:20;-18.10;-30.00;-29.99;11.00;-18.80;-18.10;-20.81;25.20;5.40
14:08:22;-18.10;-30.00;-29.98;11.00;-18.80;-18.10;-20.82;25.20;5.40
14:08:24;-18.10;-30.00;-29.94;11.00;-18.80;-18.10;-20.82;25.20;5.40
14:08:26;-18.10;-30.00;-29.97;11.00;-18.80;-18.00;-20.82;25.20;5.40
14:08:28;-18.10;-30.00;-29.99;11.00;-18.80;-18.10;-20.82;25.20;5.40
