time (25.02.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:36:44;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-20.01;11.30;3.60
12:36:46;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.30;3.60
12:36:48;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-20.01;11.30;3.70
12:36:50;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.01;11.30;3.60
12:36:52;-18.10;-30.00;-30.01;17.00;-17.80;-18.10;-20.02;11.30;3.60
12:36:54;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-20.02;11.30;3.60
12:36:56;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.30;3.60
12:36:58;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.20;3.60
12:37:00;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.20;3.60
12:37:02;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.20;3.60
12:37:04;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-20.02;11.20;3.70
12:37:06;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-20.01;11.20;3.60
12:37:08;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-20.01;11.20;3.60
12:37:10;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-20.02;11.20;3.60
12:37:12;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-20.02;11.20;3.60
12:37:14;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-20.03;11.20;3.60
12:37:16;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.03;11.10;3.60
12:37:18;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.10;3.60
12:37:20;-18.10;-30.00;-29.98;17.00;-17.80;-18.10;-20.02;11.10;3.60
12:37:22;-18.10;-30.00;-29.98;17.00;-17.80;-18.10;-20.02;11.10;3.70
12:37:24;-18.10;-30.00;-29.96;17.00;-17.80;-18.10;-20.01;11.10;3.60
12:37:26;-18.10;-30.00;-29.97;17.00;-17.70;-18.10;-20.00;11.10;3.60
12:37:28;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.10;3.70
12:37:30;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-20.03;11.10;3.60
12:37:32;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.03;11.10;3.60
12:37:34;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.10;3.60
12:37:36;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-20.02;11.10;3.60
