time (29.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:45:44;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.37;11.60;4.50
15:45:46;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.37;11.60;4.40
15:45:48;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.37;11.60;4.50
15:45:50;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-19.37;11.60;4.40
15:45:52;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-19.37;11.60;4.50
15:45:54;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.38;11.60;4.40
15:45:56;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.37;11.60;4.40
15:45:58;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.38;11.50;4.40
15:46:00;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.38;11.50;4.40
15:46:02;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.37;11.50;4.40
15:46:04;-18.10;-30.00;-29.99;17.50;-17.50;-18.10;-19.37;11.60;4.40
15:46:06;-18.10;-30.00;-29.99;17.50;-17.50;-18.10;-19.37;11.50;4.50
15:46:08;-18.10;-30.00;-29.99;17.50;-17.50;-18.10;-19.36;11.50;4.50
15:46:10;-18.10;-30.00;-30.00;17.40;-17.50;-18.10;-19.36;11.50;4.40
15:46:12;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.35;11.50;4.40
15:46:14;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.35;11.50;4.50
15:46:16;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.36;11.50;4.40
15:46:18;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.36;11.50;4.50
15:46:20;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.36;11.50;4.50
15:46:22;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.35;11.50;4.40
15:46:24;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.35;11.50;4.50
15:46:26;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.35;11.50;4.50
15:46:28;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.35;11.50;4.40
15:46:30;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.34;11.50;4.40
15:46:33;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.34;11.50;4.50
15:46:34;-18.10;-30.00;-29.99;17.50;-17.50;-18.10;-19.34;11.50;4.40
15:46:36;-18.10;-30.00;-29.99;17.50;-17.50;-18.10;-19.34;11.50;4.50
15:46:38;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.34;11.50;4.50
15:46:40;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.34;11.40;4.40
15:46:42;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.34;11.40;4.50
15:46:44;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.34;11.40;4.40
15:46:46;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.34;11.40;4.50
15:46:48;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.35;11.40;4.50
15:46:50;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.35;11.40;4.50
15:46:52;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.35;11.40;4.50
15:46:54;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.35;11.40;4.40
15:46:56;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.34;11.40;4.40
15:46:59;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.33;11.40;4.50
15:47:00;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.34;11.30;4.50
15:47:02;-18.10;-30.00;-30.00;17.40;-17.50;-18.10;-19.33;11.30;4.40
15:47:04;-18.10;-30.00;-30.00;17.50;-17.50;-18.10;-19.33;11.40;4.40
15:47:07;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.33;11.40;4.40
15:47:09;-18.10;-30.00;-30.01;17.40;-17.50;-18.10;-19.33;11.40;4.40
15:47:11;-18.10;-30.00;-30.02;17.50;-17.50;-18.10;-19.33;11.30;4.40
15:47:12;-18.10;-30.00;-30.01;17.50;-17.50;-18.10;-19.33;11.30;4.40
15:47:14;-18.10;-30.00;-30.00;17.50;-17.50;-18.00;-19.32;11.30;4.40
15:47:17;-18.10;-30.00;-30.00;17.40;-17.50;-18.10;-19.33;11.30;4.40
15:47:18;-18.10;-30.00;-29.99;17.40;-17.50;-18.10;-19.32;11.30;4.50
15:47:21;-18.10;-30.00;-29.99;17.40;-17.50;-18.10;-19.33;11.30;4.40
15:47:23;-18.10;-30.00;-30.00;17.40;-17.50;-18.10;-19.33;11.30;4.50
15:47:25;-18.10;-30.00;-30.00;17.40;-17.50;-18.10;-19.33;11.30;4.40
15:47:26;-18.10;-30.00;-30.01;17.40;-17.50;-18.10;-19.32;11.30;4.50
15:47:29;-18.10;-30.00;-30.02;17.40;-17.50;-18.10;-19.32;11.30;4.40
15:47:30;-18.10;-30.00;-30.01;17.40;-17.50;-18.10;-19.31;11.30;4.50
15:47:33;-18.10;-30.00;-30.00;17.40;-17.50;-18.10;-19.31;11.30;4.40
15:47:35;-18.10;-30.00;-30.00;17.40;-17.50;-18.00;-19.30;11.30;4.40
15:47:37;-18.10;-30.00;-29.97;17.40;-17.50;-18.10;-19.30;11.30;4.40
15:47:39;-18.10;-30.00;-29.96;17.40;-17.50;-18.00;-19.31;11.30;4.40
15:47:41;-18.10;-30.00;-29.97;17.40;-17.50;-18.00;-19.31;11.20;4.50
15:47:43;-18.10;-30.00;-29.99;17.40;-17.50;-18.00;-19.29;11.20;4.50
15:47:45;-18.10;-30.00;-30.00;17.40;-17.50;-18.00;-19.28;11.20;4.50
15:47:47;-18.10;-30.00;-29.99;17.40;-17.50;-18.00;-19.30;11.20;4.40
15:47:49;-18.10;-30.00;-29.99;17.40;-17.50;-18.00;-19.31;11.20;4.40
15:47:51;-18.10;-30.00;-30.01;17.40;-17.50;-18.00;-19.32;11.20;4.40
15:47:53;-18.10;-30.00;-30.01;17.40;-17.50;-18.00;-19.32;11.20;4.40
15:47:55;-18.10;-30.00;-30.00;17.40;-17.50;-18.00;-19.33;11.20;4.50
15:47:57;-18.10;-30.00;-30.00;17.40;-17.50;-18.00;-19.34;11.20;4.40
15:47:59;-18.10;-30.00;-29.99;17.40;-17.50;-18.00;-19.34;11.20;4.40
15:48:01;-18.10;-30.00;-29.99;17.40;-17.50;-18.00;-19.34;11.20;4.40
