time (29.04.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:27:22;-18.10;-30.00;-30.04;18.00;-17.50;-18.10;-19.46;16.80;4.70
15:27:24;-18.10;-30.00;-30.03;18.00;-17.50;-18.10;-19.47;16.80;4.70
15:27:26;-18.10;-30.00;-30.02;18.00;-17.50;-18.10;-19.47;16.90;4.70
15:27:28;-18.10;-30.00;-30.01;18.00;-17.50;-18.10;-19.44;16.80;4.70
15:27:30;-18.10;-30.00;-30.01;18.00;-17.50;-18.10;-19.46;16.80;4.70
15:27:32;-18.10;-30.00;-30.02;18.00;-17.50;-18.10;-19.46;16.80;4.70
15:27:34;-18.10;-30.00;-30.00;17.90;-17.50;-18.10;-19.47;16.70;4.70
15:27:36;-18.10;-30.00;-29.96;17.90;-17.50;-18.20;-19.48;16.70;4.70
15:27:38;-18.10;-30.00;-29.98;18.00;-17.50;-18.10;-19.49;16.70;4.70
15:27:40;-18.10;-30.00;-29.99;17.90;-17.50;-18.10;-19.48;16.70;4.70
15:27:42;-18.10;-30.00;-29.99;18.00;-17.50;-18.20;-19.49;16.60;4.70
15:27:44;-18.10;-30.00;-29.98;18.00;-17.50;-18.20;-19.49;16.60;4.70
15:27:46;-18.10;-30.00;-30.00;17.90;-17.50;-18.20;-19.48;16.60;4.70
15:27:49;-18.10;-30.00;-30.01;17.90;-17.50;-18.20;-19.48;16.60;4.70
15:27:50;-18.10;-30.00;-30.01;17.90;-17.50;-18.10;-19.49;16.60;4.70
15:27:52;-18.10;-30.00;-30.02;17.90;-17.50;-18.10;-19.49;16.60;4.70
15:27:54;-18.10;-30.00;-30.02;17.90;-17.50;-18.10;-19.48;16.60;4.70
15:27:56;-18.10;-30.00;-30.01;17.90;-17.50;-18.10;-19.48;16.50;4.70
15:27:58;-18.10;-30.00;-30.03;18.00;-17.50;-18.10;-19.47;16.50;4.70
15:28:00;-18.10;-30.00;-30.01;17.90;-17.50;-18.10;-19.46;16.50;4.70
15:28:02;-18.10;-30.00;-30.00;18.00;-17.50;-18.10;-19.45;16.50;4.70
15:28:04;-18.10;-30.00;-30.01;18.00;-17.50;-18.10;-19.45;16.50;4.70
15:28:06;-18.10;-30.00;-30.02;18.00;-17.50;-18.10;-19.48;16.50;4.70
15:28:08;-18.10;-30.00;-30.03;17.90;-17.50;-18.10;-19.49;16.50;4.70
15:28:10;-18.10;-30.00;-30.02;17.90;-17.50;-18.10;-19.50;16.50;4.70
15:28:12;-18.10;-30.00;-30.03;17.90;-17.50;-18.10;-19.51;16.50;4.70
15:28:14;-18.10;-30.00;-30.02;17.90;-17.50;-18.10;-19.52;16.50;4.70
15:28:16;-18.10;-30.00;-29.98;17.90;-17.50;-18.10;-19.52;16.40;4.70
15:28:18;-18.10;-30.00;-29.99;17.90;-17.50;-18.10;-19.53;16.40;4.70
15:28:20;-18.10;-30.00;-30.01;17.90;-17.50;-18.10;-19.53;16.40;4.70
15:28:22;-18.10;-30.00;-30.02;17.90;-17.50;-18.10;-19.51;16.40;4.70
15:28:24;-18.10;-30.00;-30.03;17.90;-17.50;-18.10;-19.51;16.40;4.70
15:28:26;-18.10;-30.00;-30.02;17.90;-17.50;-18.10;-19.51;16.40;4.70
15:28:28;-18.10;-30.00;-30.00;17.90;-17.50;-18.20;-19.52;16.40;4.70
15:28:30;-18.10;-30.00;-30.00;17.90;-17.50;-18.20;-19.52;16.40;4.70
15:28:32;-18.10;-30.00;-30.02;17.90;-17.50;-18.20;-19.51;16.40;4.70
15:28:34;-18.10;-30.00;-30.03;17.90;-17.50;-18.20;-19.52;16.40;4.70
15:28:36;-18.10;-30.00;-30.03;17.90;-17.50;-18.20;-19.51;16.30;4.70
15:28:38;-18.10;-30.00;-30.04;17.90;-17.50;-18.30;-19.51;16.30;4.70
15:28:40;-18.10;-30.00;-30.03;17.90;-17.50;-18.30;-19.52;16.30;4.70
