time (03.07.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:06:36;-18.10;-30.00;-30.02;21.10;-16.80;-17.60;-19.19;10.70;3.10
08:06:39;-18.10;-30.00;-30.03;21.10;-16.80;-17.60;-19.20;10.70;3.10
08:06:41;-18.10;-30.00;-30.04;21.10;-16.70;-17.60;-19.20;10.70;3.10
08:06:42;-18.10;-30.00;-30.04;21.10;-16.80;-17.60;-19.21;10.70;3.10
08:06:45;-18.10;-30.00;-30.04;21.10;-16.80;-17.60;-19.21;10.70;3.10
08:06:46;-18.10;-30.00;-30.04;21.10;-16.80;-17.60;-19.21;10.70;3.10
08:06:49;-18.10;-30.00;-30.04;21.10;-16.80;-17.60;-19.22;10.70;3.10
08:06:51;-18.10;-30.00;-30.02;21.10;-16.80;-17.60;-19.23;10.60;3.10
08:06:53;-18.10;-30.00;-30.02;21.10;-16.80;-17.70;-19.23;10.60;3.10
08:06:55;-18.10;-30.00;-30.03;21.10;-16.70;-17.70;-19.23;10.60;3.10
08:06:57;-18.10;-30.00;-30.03;21.10;-16.70;-17.60;-19.23;10.60;3.10
08:06:59;-18.10;-30.00;-30.02;21.10;-16.80;-17.60;-19.23;10.50;3.10
08:07:01;-18.10;-30.00;-30.02;21.10;-16.80;-17.70;-19.24;10.50;3.10
08:07:03;-18.10;-30.00;-30.02;21.10;-16.80;-17.70;-19.25;10.50;3.10
08:07:05;-18.10;-30.00;-30.01;21.10;-16.80;-17.70;-19.25;10.50;3.00
08:07:07;-18.10;-30.00;-30.00;21.10;-16.80;-17.70;-19.25;10.50;3.10
08:07:09;-18.10;-30.00;-29.99;21.10;-16.80;-17.70;-19.26;10.50;3.10
08:07:11;-18.10;-30.00;-30.00;21.10;-16.80;-17.70;-19.25;10.50;3.10
08:07:13;-18.10;-30.00;-30.00;21.10;-16.80;-17.70;-19.27;10.50;3.10
08:07:15;-18.10;-30.00;-30.02;21.10;-16.80;-17.70;-19.28;10.50;3.00
08:07:17;-18.10;-30.00;-30.02;21.10;-16.80;-17.70;-19.28;10.50;3.00
08:07:19;-18.10;-30.00;-30.01;21.10;-16.80;-17.70;-19.29;10.40;3.00
08:07:21;-18.10;-30.00;-30.02;21.10;-16.80;-17.70;-19.30;10.40;3.00
08:07:23;-18.10;-30.00;-30.03;21.10;-16.80;-17.70;-19.30;10.40;3.10
08:07:25;-18.10;-30.00;-30.04;21.10;-16.80;-17.70;-19.30;10.40;3.10
