time (27.01.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:01:42;-18.10;-30.00;-30.01;20.80;-17.50;-18.10;-19.46;6.60;2.90
08:01:44;-18.10;-30.00;-30.01;20.80;-17.50;-18.10;-19.48;6.60;2.90
08:01:46;-18.10;-30.00;-30.01;20.80;-17.50;-18.10;-19.49;6.60;2.90
08:01:48;-18.10;-30.00;-30.00;20.80;-17.50;-18.10;-19.49;6.60;2.90
08:01:50;-18.10;-30.00;-29.99;20.80;-17.50;-18.10;-19.50;6.50;2.80
08:01:52;-18.10;-30.00;-29.98;20.80;-17.50;-18.10;-19.48;6.60;2.80
08:01:54;-18.10;-30.00;-29.99;20.80;-17.50;-18.10;-19.48;6.60;2.90
08:01:56;-18.10;-30.00;-29.99;20.70;-17.50;-18.10;-19.47;6.60;2.80
08:01:58;-18.10;-30.00;-29.99;20.80;-17.50;-18.10;-19.47;6.60;2.80
08:02:00;-18.10;-30.00;-29.99;20.80;-17.50;-18.10;-19.49;6.50;2.80
08:02:02;-18.10;-30.00;-29.98;20.80;-17.50;-18.20;-19.49;6.50;2.80
08:02:04;-18.10;-30.00;-29.97;20.80;-17.50;-18.20;-19.49;6.50;2.80
08:02:06;-18.10;-30.00;-29.97;20.80;-17.50;-18.20;-19.49;6.50;2.90
08:02:08;-18.10;-30.00;-29.93;20.80;-17.50;-18.10;-19.50;6.50;2.90
08:02:10;-18.10;-30.00;-29.96;20.80;-17.50;-18.10;-19.49;6.50;2.80
08:02:12;-18.10;-30.00;-29.99;20.70;-17.50;-18.10;-19.50;6.50;2.90
08:02:14;-18.10;-30.00;-30.00;20.80;-17.50;-18.10;-19.50;6.50;2.90
08:02:16;-18.10;-30.00;-30.01;20.80;-17.50;-18.20;-19.50;6.50;2.80
08:02:18;-18.10;-30.00;-30.02;20.70;-17.50;-18.10;-19.50;6.50;2.90
08:02:21;-18.10;-30.00;-30.02;20.70;-17.50;-18.10;-19.50;6.50;2.90
08:02:22;-18.10;-30.00;-30.02;20.80;-17.50;-18.10;-19.49;6.50;2.90
08:02:25;-18.10;-30.00;-30.00;20.70;-17.50;-18.10;-19.48;6.50;2.80
08:02:26;-18.10;-30.00;-30.00;20.70;-17.50;-18.10;-19.48;6.50;2.80
08:02:28;-18.10;-30.00;-30.01;20.70;-17.50;-18.10;-19.49;6.50;2.80
08:02:31;-18.10;-30.00;-30.01;20.70;-17.50;-18.10;-19.49;6.50;2.80
08:02:33;-18.10;-30.00;-29.98;20.70;-17.50;-18.10;-19.49;6.50;2.80
08:02:34;-18.10;-30.00;-30.00;20.70;-17.50;-18.10;-19.48;6.50;2.80
