time (26.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:18:11;-18.10;-30.00;-30.04;18.50;-17.50;-18.30;-19.16;16.20;3.70
10:18:13;-18.10;-30.00;-30.04;18.40;-17.50;-18.30;-19.15;16.20;3.70
10:18:15;-18.10;-30.00;-30.04;18.40;-17.50;-18.30;-19.14;16.20;3.70
10:18:17;-18.10;-30.00;-30.05;18.50;-17.50;-18.30;-19.13;16.10;3.70
10:18:19;-18.10;-30.00;-30.06;18.50;-17.50;-18.30;-19.13;16.10;3.70
10:18:21;-18.10;-30.00;-30.06;18.40;-17.50;-18.20;-19.12;16.10;3.80
10:18:23;-18.10;-30.00;-30.06;18.40;-17.50;-18.30;-19.11;16.10;3.70
10:18:25;-18.10;-30.00;-30.07;18.40;-17.50;-18.20;-19.10;16.10;3.70
10:18:27;-18.10;-30.00;-30.07;18.40;-17.50;-18.20;-19.09;16.00;3.80
10:18:29;-18.10;-30.00;-30.07;18.40;-17.50;-18.20;-19.07;16.00;3.80
10:18:31;-18.10;-30.00;-30.07;18.40;-17.50;-18.20;-19.06;16.00;3.80
10:18:33;-18.10;-30.00;-30.08;18.40;-17.50;-18.20;-19.06;16.00;3.80
10:18:35;-18.10;-30.00;-30.08;18.40;-17.40;-18.10;-19.04;15.90;3.70
10:18:37;-18.10;-30.00;-30.07;18.40;-17.40;-18.20;-19.03;16.00;3.70
10:18:39;-18.10;-30.00;-30.07;18.40;-17.40;-18.10;-19.03;15.90;3.80
10:18:41;-18.10;-30.00;-30.07;18.40;-17.40;-18.10;-19.02;15.90;3.80
10:18:43;-18.10;-30.00;-30.07;18.40;-17.40;-18.10;-19.02;15.90;3.80
10:18:45;-18.10;-30.00;-30.08;18.40;-17.40;-18.10;-19.01;15.90;3.80
10:18:47;-18.10;-30.00;-30.09;18.40;-17.40;-18.10;-19.01;15.90;3.80
10:18:49;-18.10;-30.00;-30.10;18.40;-17.40;-18.10;-18.99;15.80;3.70
10:18:51;-18.10;-30.00;-30.11;18.40;-17.40;-18.10;-18.98;15.80;3.70
10:18:53;-18.10;-30.00;-30.10;18.40;-17.40;-18.10;-18.97;15.80;3.70
10:18:55;-18.10;-30.00;-30.10;18.40;-17.40;-18.10;-18.98;15.80;3.70
10:18:57;-18.10;-30.00;-30.10;18.40;-17.30;-18.10;-18.98;15.80;3.70
10:18:59;-18.10;-30.00;-30.10;18.40;-17.40;-18.10;-18.97;15.80;3.70
10:19:01;-18.10;-30.00;-30.10;18.40;-17.30;-18.10;-18.96;15.80;3.70
10:19:03;-18.10;-30.00;-30.10;18.40;-17.30;-18.10;-18.95;15.70;3.70
10:19:05;-18.10;-30.00;-30.08;18.40;-17.30;-18.10;-18.96;15.70;3.70
10:19:07;-18.10;-30.00;-30.09;18.40;-17.30;-18.10;-18.95;15.70;3.70
10:19:09;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.94;15.70;3.70
10:19:11;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.93;15.60;3.70
10:19:13;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.93;15.70;3.70
10:19:15;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.93;15.70;3.70
10:19:17;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.93;15.60;3.70
10:19:19;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.93;15.60;3.70
10:19:21;-18.10;-30.00;-30.08;18.40;-17.30;-18.00;-18.92;15.60;3.80
10:19:23;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.92;15.50;3.70
10:19:25;-18.10;-30.00;-30.10;18.40;-17.30;-18.00;-18.92;15.50;3.70
10:19:27;-18.10;-30.00;-30.10;18.40;-17.20;-18.00;-18.92;15.50;3.70
10:19:29;-18.10;-30.00;-30.09;18.40;-17.30;-18.00;-18.92;15.50;3.70
10:19:31;-18.10;-30.00;-30.09;18.40;-17.20;-18.00;-18.92;15.50;3.80
10:19:33;-18.10;-30.00;-30.09;18.40;-17.20;-18.00;-18.91;15.50;3.70
10:19:35;-18.10;-30.00;-30.08;18.40;-17.20;-18.00;-18.90;15.40;3.70
10:19:37;-18.10;-30.00;-30.07;18.40;-17.20;-18.00;-18.91;15.40;3.70
10:19:39;-18.10;-30.00;-30.07;18.40;-17.20;-18.00;-18.91;15.40;3.70
10:19:41;-18.10;-30.00;-30.07;18.40;-17.20;-18.00;-18.91;15.40;3.70
10:19:43;-18.10;-30.00;-30.08;18.40;-17.20;-18.00;-18.91;15.40;3.70
10:19:45;-18.10;-30.00;-30.08;18.40;-17.10;-18.00;-18.91;15.40;3.70
10:19:47;-18.10;-30.00;-30.07;18.40;-17.10;-18.00;-18.91;15.30;3.70
10:19:49;-18.10;-30.00;-30.07;18.40;-17.20;-18.00;-18.91;15.30;3.70
10:19:51;-18.10;-30.00;-30.07;18.40;-17.10;-24.90;-18.91;15.30;3.70
