time (31.01.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:03:35;-18.10;-30.00;-30.01;17.50;-17.90;-18.20;-19.64;10.90;4.20
11:03:37;-18.10;-30.00;-30.01;17.50;-17.90;-18.10;-19.63;10.90;4.20
11:03:39;-18.10;-30.00;-30.01;17.50;-17.90;-18.10;-19.64;10.80;4.30
11:03:41;-18.10;-30.00;-30.02;17.50;-17.90;-18.10;-19.63;10.80;4.20
11:03:43;-18.10;-30.00;-30.03;17.50;-17.90;-18.10;-19.63;10.80;4.20
11:03:45;-18.10;-30.00;-30.01;17.50;-17.90;-18.10;-19.64;10.80;4.20
11:03:47;-18.10;-30.00;-30.01;17.50;-17.90;-18.10;-19.63;10.80;4.20
11:03:49;-18.10;-30.00;-30.01;17.50;-17.90;-18.10;-19.64;10.80;4.20
11:03:51;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.64;10.80;4.20
11:03:53;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.64;10.80;4.20
11:03:55;-18.10;-30.00;-30.01;17.50;-17.90;-18.10;-19.64;10.80;4.20
11:03:57;-18.10;-30.00;-29.99;17.50;-17.90;-18.10;-19.65;10.80;4.30
11:03:59;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.65;10.80;4.20
11:04:01;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.65;10.80;4.20
11:04:03;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.65;10.80;4.20
11:04:05;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.65;10.70;4.20
11:04:07;-18.10;-30.00;-29.99;17.50;-17.90;-18.20;-19.66;10.70;4.20
11:04:09;-18.10;-30.00;-30.00;17.50;-17.90;-18.10;-19.66;10.80;4.20
11:04:11;-18.10;-30.00;-30.01;17.40;-17.90;-18.10;-19.66;10.70;4.20
11:04:13;-18.10;-30.00;-30.00;17.40;-17.90;-18.20;-19.66;10.70;4.20
11:04:16;-18.10;-30.00;-29.98;17.50;-17.90;-18.10;-19.66;10.70;4.20
11:04:17;-18.10;-30.00;-29.98;17.40;-17.90;-18.20;-19.65;10.70;4.20
11:04:19;-18.10;-30.00;-29.98;17.40;-17.90;-18.10;-19.65;10.70;4.20
11:04:21;-18.10;-30.00;-29.98;17.40;-17.90;-18.20;-19.64;10.70;4.20
11:04:23;-18.10;-30.00;-29.98;17.50;-17.90;-18.20;-19.64;10.70;4.20
11:04:25;-18.10;-30.00;-30.00;17.40;-17.90;-18.20;-19.64;10.70;4.20
11:04:27;-18.10;-30.00;-30.02;17.40;-17.90;-18.20;-19.64;10.70;4.20
11:04:29;-18.10;-30.00;-30.00;17.50;-17.90;-18.20;-19.64;10.70;4.20
11:04:32;-18.10;-30.00;-29.99;17.50;-17.90;-18.20;-19.65;10.70;4.20
11:04:33;-18.10;-30.00;-29.99;17.40;-17.90;-18.20;-19.64;10.70;4.10
11:04:36;-18.10;-30.00;-29.99;17.40;-17.90;-18.10;-19.64;10.70;4.20
11:04:37;-18.10;-30.00;-30.00;17.40;-17.90;-18.10;-19.63;10.70;4.20
11:04:39;-18.10;-30.00;-29.98;17.40;-17.90;-18.10;-19.63;10.70;4.10
11:04:41;-18.10;-30.00;-29.99;17.40;-17.90;-18.10;-19.62;10.70;4.10
11:04:43;-18.10;-30.00;-29.98;17.40;-17.90;-18.10;-19.62;10.70;4.10
11:04:45;-18.10;-30.00;-29.98;17.40;-17.90;-18.10;-19.62;10.70;4.20
11:04:47;-18.10;-30.00;-30.00;17.40;-17.90;-18.10;-19.62;10.70;4.20
11:04:49;-18.10;-30.00;-30.00;17.40;-17.90;-18.10;-19.62;10.70;4.20
11:04:52;-18.10;-30.00;-30.00;17.40;-17.90;-18.10;-19.61;10.70;4.20
11:04:53;-18.10;-30.00;-30.00;17.40;-17.90;-18.10;-19.61;10.70;4.20
