time (21.11.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
16:49:51;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.68;10.80;3.30
16:49:53;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.67;10.80;3.30
16:49:55;-18.10;-30.00;-30.01;18.80;-13.80;-18.10;-20.69;10.80;3.30
16:49:57;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.71;10.80;3.40
16:49:59;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.68;10.80;3.30
16:50:01;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.69;10.80;3.30
16:50:03;-18.10;-30.00;-29.98;18.80;-13.80;-18.10;-20.72;10.80;3.30
16:50:05;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.76;10.80;3.40
16:50:07;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.71;10.80;3.30
16:50:09;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.71;10.80;3.30
16:50:11;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.69;10.80;3.30
16:50:13;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.66;10.80;3.30
16:50:15;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.66;10.70;3.30
16:50:17;-18.10;-30.00;-29.99;18.80;-13.80;-18.10;-20.66;10.70;3.40
16:50:19;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.68;10.70;3.40
16:50:21;-18.10;-30.00;-30.01;18.80;-13.80;-18.10;-20.68;10.80;3.30
16:50:23;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.67;10.70;3.30
16:50:25;-18.10;-30.00;-30.00;18.80;-13.80;-18.10;-20.68;10.70;3.20
16:50:27;-18.10;-30.00;-30.01;18.80;-13.80;-18.10;-20.68;10.80;3.30
16:50:29;-18.10;-30.00;-30.01;18.80;-13.80;-18.10;-20.67;10.80;3.30
16:50:31;-18.10;-30.00;-30.01;18.80;-13.80;-18.10;-20.71;10.80;3.30
