time (28.08.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
13:08:42;-18.10;-30.00;-29.98;17.20;-16.20;-18.10;-18.34;7.20;5.80
13:08:44;-18.10;-30.00;-29.97;17.20;-16.10;-18.10;-18.33;7.30;5.80
13:08:46;-18.10;-30.00;-29.98;17.20;-16.20;-18.10;-18.32;7.20;5.80
13:08:48;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:08:50;-18.10;-30.00;-29.98;17.20;-16.20;-18.10;-18.31;7.30;5.80
13:08:52;-18.10;-30.00;-29.98;17.20;-16.20;-18.10;-18.30;7.30;5.90
13:08:54;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:08:56;-18.10;-30.00;-29.97;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:08:58;-18.10;-30.00;-29.96;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:09:01;-18.10;-30.00;-29.95;17.20;-16.10;-18.10;-18.32;7.30;5.80
13:09:02;-18.10;-30.00;-29.96;17.20;-16.20;-18.10;-18.31;7.20;5.90
13:09:04;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:09:06;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:09;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.33;7.20;5.80
13:09:10;-18.10;-30.00;-30.02;17.20;-16.10;-18.10;-18.34;7.30;5.80
13:09:12;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.33;7.20;5.80
13:09:14;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:16;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:19;-18.10;-30.00;-29.97;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:20;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.33;7.20;5.80
13:09:22;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:25;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:27;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.32;7.20;5.80
13:09:28;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:09:30;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:09:33;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.31;7.20;5.80
13:09:35;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.30;7.20;5.80
13:09:36;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.30;7.20;5.80
13:09:38;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.30;7.20;5.80
13:09:41;-18.10;-30.00;-29.99;17.20;-16.10;-18.00;-18.29;7.20;5.80
13:09:43;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.29;7.30;5.80
13:09:44;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.29;7.20;5.80
13:09:46;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.27;7.30;5.80
13:09:49;-18.10;-30.00;-29.99;17.20;-16.10;-18.00;-18.28;7.20;5.80
13:09:51;-18.10;-30.00;-30.00;17.20;-16.10;-18.00;-18.29;7.30;5.80
13:09:52;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.29;7.20;5.80
13:09:54;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.28;7.20;5.80
13:09:57;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.28;7.20;5.80
13:09:58;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.28;7.20;5.80
13:10:00;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.28;7.20;5.80
13:10:02;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.28;7.20;5.80
13:10:05;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.27;7.30;5.80
13:10:07;-18.10;-30.00;-29.99;17.20;-16.10;-18.00;-18.27;7.20;5.80
13:10:09;-18.10;-30.00;-29.99;17.20;-16.10;-18.00;-18.27;7.20;5.80
13:10:11;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.26;7.20;5.80
13:10:13;-18.10;-30.00;-29.99;17.20;-16.10;-18.00;-18.27;7.30;5.80
13:10:15;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:17;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.26;7.20;5.80
13:10:19;-18.10;-30.00;-29.97;17.20;-16.10;-18.10;-18.27;7.30;5.80
13:10:21;-18.10;-30.00;-29.98;17.20;-16.10;-18.10;-18.26;7.20;5.80
13:10:23;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:25;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.27;7.30;5.90
13:10:27;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.27;7.20;5.80
13:10:29;-18.10;-30.00;-30.02;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:31;-18.10;-30.00;-30.01;17.20;-16.10;-18.00;-18.27;7.30;5.80
13:10:33;-18.10;-30.00;-30.02;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:35;-18.10;-30.00;-30.00;17.20;-16.10;-18.00;-18.25;7.30;5.70
13:10:37;-18.10;-30.00;-29.98;17.20;-16.10;-18.00;-18.26;7.30;5.70
13:10:39;-18.10;-30.00;-29.97;17.20;-16.10;-18.00;-18.25;7.30;5.80
13:10:41;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.25;7.20;5.80
13:10:43;-18.10;-30.00;-30.00;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:45;-18.10;-30.00;-30.01;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:47;-18.10;-30.00;-30.00;17.20;-16.10;-18.00;-18.25;7.30;5.80
13:10:49;-18.10;-30.00;-29.99;17.20;-16.10;-18.10;-18.26;7.30;5.80
13:10:51;-18.10;-30.00;-30.00;17.20;-16.10;-18.00;-18.26;7.30;5.80
13:10:53;-18.10;-30.00;-30.00;17.20;-16.10;-18.00;-18.27;7.30;5.80
13:10:55;-18.10;-30.00;-29.99;17.20;-16.10;-18.00;-18.26;7.30;5.70
13:10:57;-18.10;-30.00;-30.00;17.20;-16.10;-18.00;-18.26;7.30;5.80
13:10:59;-18.10;-30.00;-30.02;17.20;-16.10;-18.10;-18.25;7.30;5.80
