time (30.08.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
07:54:47;-18.10;-30.00;-30.02;21.40;-17.10;-18.20;-21.67;5.90;4.20
07:54:49;-18.10;-30.00;-30.00;21.40;-17.10;-18.20;-21.68;5.90;4.10
07:54:51;-18.10;-30.00;-29.99;21.30;-17.10;-18.20;-21.68;6.00;4.20
07:54:53;-18.10;-30.00;-30.00;21.40;-17.10;-18.20;-21.68;5.90;4.30
07:54:55;-18.10;-30.00;-30.00;21.40;-17.10;-18.20;-21.68;5.90;4.30
07:54:57;-18.10;-30.00;-30.02;21.30;-17.10;-18.20;-21.67;5.90;4.20
07:54:59;-18.10;-30.00;-30.04;21.30;-17.10;-18.20;-21.67;5.90;4.20
07:55:01;-18.10;-30.00;-30.04;21.30;-17.10;-18.10;-21.67;5.90;4.20
07:55:03;-18.10;-30.00;-30.02;21.30;-17.10;-18.20;-21.66;5.90;4.20
07:55:05;-18.10;-30.00;-30.00;21.30;-17.10;-18.10;-21.66;5.90;4.20
07:55:07;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.65;5.90;4.20
07:55:09;-18.10;-30.00;-29.98;21.30;-17.10;-18.10;-21.65;5.90;4.20
07:55:11;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.65;5.90;4.20
07:55:13;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.64;5.90;4.20
07:55:15;-18.10;-30.00;-30.00;21.30;-17.10;-18.10;-21.65;5.90;4.20
07:55:17;-18.10;-30.00;-29.98;21.30;-17.10;-18.10;-21.65;5.90;4.20
07:55:19;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.66;5.90;4.20
07:55:21;-18.10;-30.00;-30.00;21.30;-17.10;-18.20;-21.65;5.90;4.10
07:55:23;-18.10;-30.00;-30.01;21.30;-17.10;-18.20;-21.65;5.90;4.10
07:55:25;-18.10;-30.00;-30.01;21.30;-17.10;-18.20;-21.65;5.90;4.10
07:55:27;-18.10;-30.00;-30.00;21.30;-17.10;-18.10;-21.66;5.90;4.20
07:55:29;-18.10;-30.00;-30.00;21.30;-17.10;-18.20;-21.66;5.90;4.20
07:55:31;-18.10;-30.00;-30.01;21.30;-17.10;-18.20;-21.66;5.80;4.20
07:55:33;-18.10;-30.00;-30.02;21.30;-17.10;-18.20;-21.65;5.80;4.20
07:55:35;-18.10;-30.00;-30.02;21.30;-17.10;-18.20;-21.65;5.80;4.20
07:55:37;-18.10;-30.00;-30.03;21.30;-17.10;-18.10;-21.64;5.80;4.20
07:55:39;-18.10;-30.00;-30.03;21.30;-17.10;-18.20;-21.64;5.80;4.20
07:55:41;-18.10;-30.00;-30.03;21.30;-17.10;-18.20;-21.63;5.80;4.20
07:55:43;-18.10;-30.00;-30.01;21.30;-17.10;-18.20;-21.63;5.80;4.20
07:55:45;-18.10;-30.00;-30.01;21.30;-17.10;-18.20;-21.62;5.80;4.20
07:55:47;-18.10;-30.00;-30.00;21.30;-17.10;-18.10;-21.61;5.80;4.20
07:55:49;-18.10;-30.00;-29.98;21.30;-17.10;-18.10;-21.61;5.80;4.20
07:55:51;-18.10;-30.00;-29.97;21.30;-17.10;-18.10;-21.61;5.80;4.20
07:55:53;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.60;5.80;4.20
07:55:55;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.60;5.80;4.20
07:55:57;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.60;5.80;4.20
07:55:59;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.59;5.80;4.20
07:56:01;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.59;5.80;4.20
07:56:03;-18.10;-30.00;-29.98;21.30;-17.10;-18.10;-21.59;5.80;4.20
07:56:05;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.59;5.80;4.20
07:56:07;-18.10;-30.00;-30.00;21.30;-17.10;-18.10;-21.60;5.80;4.20
07:56:09;-18.10;-30.00;-30.01;21.30;-17.10;-18.10;-21.60;5.70;4.20
07:56:11;-18.10;-30.00;-30.02;21.30;-17.10;-18.10;-21.59;5.70;4.20
07:56:13;-18.10;-30.00;-30.01;21.30;-17.10;-18.10;-21.59;5.80;4.20
07:56:15;-18.10;-30.00;-30.00;21.30;-17.10;-18.10;-21.60;5.80;4.30
07:56:17;-18.10;-30.00;-29.98;21.30;-17.10;-18.10;-21.60;5.70;4.20
07:56:19;-18.10;-30.00;-29.99;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:21;-18.10;-30.00;-29.98;21.20;-17.10;-18.10;-21.60;5.70;4.10
07:56:23;-18.10;-30.00;-29.98;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:25;-18.10;-30.00;-29.98;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:27;-18.10;-30.00;-29.98;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:29;-18.10;-30.00;-30.00;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:32;-18.10;-30.00;-29.99;21.30;-17.10;-18.10;-21.60;5.70;4.20
07:56:33;-18.10;-30.00;-29.99;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:35;-18.10;-30.00;-29.99;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:37;-18.10;-30.00;-30.00;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:39;-18.10;-30.00;-30.01;21.20;-17.10;-18.10;-21.61;5.70;4.20
07:56:41;-18.10;-30.00;-30.01;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:43;-18.10;-30.00;-30.02;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:45;-18.10;-30.00;-30.01;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:48;-18.10;-30.00;-30.02;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:49;-18.10;-30.00;-30.02;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:51;-18.10;-30.00;-30.02;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:53;-18.10;-30.00;-30.00;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:56;-18.10;-30.00;-29.97;21.20;-17.10;-18.10;-21.60;5.70;4.20
07:56:57;-18.10;-30.00;-29.97;21.20;-17.10;-18.10;-21.59;5.70;4.20
07:56:59;-18.10;-30.00;-29.97;21.20;-17.10;-18.10;-21.59;5.60;4.20
07:57:01;-18.10;-30.00;-29.96;21.20;-17.10;-18.10;-21.59;5.60;4.20
07:57:04;-18.10;-30.00;-29.98;21.10;-17.10;-18.10;-21.59;5.70;4.20
07:57:05;-18.10;-30.00;-30.00;21.10;-17.10;-18.10;-21.59;5.60;4.20
07:57:07;-18.10;-30.00;-30.00;21.10;-17.10;-18.10;-21.59;5.60;4.30
07:57:10;-18.10;-30.00;-30.01;21.10;-17.10;-18.10;-21.59;5.60;4.20
07:57:12;-18.10;-30.00;-29.99;21.10;-17.10;-18.10;-21.59;5.60;4.20
07:57:13;-18.10;-30.00;-29.97;21.10;-17.10;-18.10;-21.59;5.60;4.20
07:57:16;-18.10;-30.00;-29.98;21.10;-17.10;-18.10;-21.59;5.60;4.20
07:57:18;-18.10;-30.00;-30.00;21.10;-17.10;-18.10;-21.60;5.60;4.20
07:57:20;-18.10;-30.00;-29.97;21.10;-17.10;-18.10;-21.59;5.70;4.20
07:57:21;-18.10;-30.00;-29.93;21.10;-17.10;-18.00;-21.59;5.60;4.20
07:57:23;-18.10;-30.00;-29.95;21.10;-17.10;-18.10;-21.59;5.60;4.20
