time (02.10.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:28:32;-18.10;-30.00;-30.02;17.10;-19.60;-18.10;nan;19.90;6.30
11:28:34;-18.10;-30.00;-30.01;17.10;-19.60;-18.10;nan;19.90;6.30
11:28:36;-18.10;-30.00;-30.02;17.20;-19.60;-18.10;nan;19.90;6.40
11:28:38;-18.10;-30.00;-30.03;17.10;-19.60;-18.10;nan;19.80;6.20
11:28:40;-18.10;-30.00;-30.04;17.10;-19.60;-18.10;nan;19.80;6.30
11:28:42;-18.10;-30.00;-30.04;17.20;-19.60;-18.10;nan;19.80;6.20
11:28:44;-18.10;-30.00;-30.04;17.20;-19.60;-18.10;nan;19.70;6.20
11:28:46;-18.10;-30.00;-30.03;17.10;-19.60;-18.10;nan;19.70;6.30
11:28:48;-18.10;-30.00;-30.00;17.20;-19.60;-18.10;nan;19.60;6.20
11:28:50;-18.10;-30.00;-30.01;17.20;-19.60;-18.10;nan;19.60;6.30
11:28:52;-18.10;-30.00;-30.01;17.20;-19.60;-18.00;nan;19.60;6.20
11:28:54;-18.10;-30.00;-30.02;17.20;-19.60;-18.10;nan;19.50;6.20
11:28:56;-18.10;-30.00;-30.00;17.10;-19.60;-18.10;nan;19.50;6.30
11:28:58;-18.10;-30.00;-29.99;17.20;-19.60;-18.10;nan;19.50;6.20
11:29:00;-18.10;-30.00;-30.02;17.20;-19.60;-18.10;nan;19.50;6.20
11:29:02;-18.10;-30.00;-30.04;17.20;-19.60;-18.10;nan;19.50;6.20
11:29:04;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.40;6.20
11:29:06;-18.10;-30.00;-30.02;17.20;-19.60;-18.00;nan;19.40;6.20
11:29:08;-18.10;-30.00;-30.01;17.10;-19.60;-18.00;nan;19.40;6.20
11:29:10;-18.10;-30.00;-30.02;17.20;-19.60;-18.00;nan;19.40;6.20
11:29:12;-18.10;-30.00;-30.03;17.20;-19.60;-18.00;nan;19.40;6.30
11:29:14;-18.10;-30.00;-30.05;17.10;-19.60;-18.00;nan;19.30;6.20
11:29:16;-18.10;-30.00;-30.04;17.10;-19.60;-18.00;nan;19.30;6.20
11:29:18;-18.10;-30.00;-30.04;17.20;-19.60;-18.00;nan;19.30;6.20
11:29:20;-18.10;-30.00;-30.04;17.10;-19.60;-18.00;nan;19.30;6.30
11:29:22;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.20;6.20
11:29:24;-18.10;-30.00;-30.00;17.10;-19.60;-18.00;nan;19.20;6.20
11:29:26;-18.10;-30.00;-30.02;17.10;-19.60;-18.00;nan;19.20;6.30
11:29:28;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.20;6.20
11:29:30;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.20;6.20
11:29:32;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.20;6.20
11:29:34;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.10;6.20
11:29:36;-18.10;-30.00;-30.04;17.10;-19.60;-18.00;nan;19.10;6.20
11:29:38;-18.10;-30.00;-30.04;17.10;-19.60;-18.00;nan;19.00;6.20
11:29:40;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.00;6.30
11:29:42;-18.10;-30.00;-30.03;17.10;-19.60;-18.00;nan;19.00;6.20
11:29:44;-18.10;-30.00;-30.01;17.10;-19.60;-18.00;nan;19.00;6.20
11:29:46;-18.10;-30.00;-30.01;17.10;-19.60;-18.00;nan;18.90;6.20
11:29:48;-18.10;-30.00;-30.00;17.10;-19.60;-18.00;nan;18.90;6.20
11:29:50;-18.10;-30.00;-30.02;17.10;-19.60;-18.00;nan;18.90;6.20
11:29:52;-18.10;-30.00;-30.01;17.10;-19.60;-18.10;nan;18.90;6.20
11:29:54;-18.10;-30.00;-30.02;17.10;-19.60;-18.10;nan;18.90;6.20
11:29:56;-18.10;-30.00;-30.03;17.10;-19.60;-18.10;nan;18.80;6.20
11:29:58;-18.10;-30.00;-30.04;17.10;-19.60;-18.10;nan;18.80;6.20
11:30:00;-18.10;-30.00;-30.00;17.10;-19.60;-18.10;nan;18.70;6.20
11:30:02;-18.10;-30.00;-29.99;17.10;-19.60;-18.00;nan;18.70;6.20
11:30:04;-18.10;-30.00;-29.99;17.10;-19.60;-18.10;nan;18.70;6.20
11:30:06;-18.10;-30.00;-30.00;17.10;-19.50;-18.10;nan;18.60;6.20
11:30:08;-18.10;-30.00;-30.02;17.10;-19.60;-18.10;nan;18.60;6.20
11:30:10;-18.10;-30.00;-30.03;17.10;-19.60;-18.10;nan;18.60;6.20
11:30:12;-18.10;-30.00;-30.02;17.10;-19.60;-18.10;nan;18.60;6.20
11:30:14;-18.10;-30.00;-30.04;17.00;-19.60;-18.10;nan;18.60;6.20
11:30:16;-18.10;-30.00;-30.03;17.10;-19.60;-18.10;nan;18.50;6.20
11:30:18;-18.10;-30.00;-30.03;17.10;-19.60;-18.10;nan;18.50;6.20
11:30:20;-18.10;-30.00;-30.02;17.10;-19.60;-18.10;nan;18.50;6.20
11:30:22;-18.10;-30.00;-30.02;17.10;-19.60;-18.00;nan;18.50;6.20
11:30:24;-18.10;-30.00;-30.02;17.10;-19.50;-18.10;nan;18.50;6.20
11:30:26;-18.10;-30.00;-30.02;17.10;-19.50;-18.00;nan;18.50;6.20
11:30:28;-18.10;-30.00;-30.02;17.10;-19.50;-18.10;nan;18.50;6.20
11:30:30;-18.10;-30.00;-30.03;17.10;-19.50;-18.00;nan;18.50;6.20
11:30:32;-18.10;-30.00;-30.02;17.10;-19.60;-18.00;nan;18.40;6.20
11:30:34;-18.10;-30.00;-30.01;17.10;-19.60;-18.00;nan;18.40;6.20
11:30:36;-18.10;-30.00;-30.03;17.00;-19.50;-18.00;nan;18.40;6.20
11:30:38;-18.10;-30.00;-30.03;17.10;-19.50;-18.00;nan;18.30;6.20
11:30:40;-18.10;-30.00;-30.03;17.10;-19.50;-18.00;nan;18.30;6.20
11:30:42;-18.10;-30.00;-30.03;17.00;-19.50;-18.00;nan;18.30;6.20
11:30:44;-18.10;-30.00;-30.01;17.10;-19.50;-18.00;nan;18.20;6.20
11:30:46;-18.10;-30.00;-29.99;17.10;-19.50;-18.00;nan;18.20;6.20
11:30:48;-18.10;-30.00;-29.99;17.00;-19.50;-18.00;nan;18.20;6.20
11:30:50;-18.10;-30.00;-30.01;17.00;-19.50;-18.00;nan;18.20;6.20
11:30:52;-18.10;-30.00;-30.02;17.00;-19.50;-18.00;nan;18.20;6.20
11:30:54;-18.10;-30.00;-30.02;17.10;-19.50;-18.10;nan;18.20;6.20
11:30:56;-18.10;-30.00;-30.01;17.00;-19.50;-18.00;nan;18.20;6.20
11:30:58;-18.10;-30.00;-30.01;17.00;-19.50;-18.00;nan;18.10;6.20
11:31:00;-18.10;-30.00;-30.00;17.00;-19.50;-18.00;nan;18.10;6.20
11:31:02;-18.10;-30.00;-30.00;17.00;-19.50;-18.00;nan;18.10;6.20
11:31:04;-18.10;-30.00;-30.01;17.10;-19.60;-18.00;nan;18.00;6.20
11:31:06;-18.10;-30.00;-30.03;17.10;-19.50;-18.00;nan;18.00;6.20
11:31:08;-18.10;-30.00;-30.02;17.10;-19.50;-18.00;nan;18.00;6.10
11:31:10;-18.10;-30.00;-30.00;17.00;-19.50;-18.00;nan;18.00;6.20
11:31:12;-18.10;-30.00;-30.02;17.10;-19.50;-18.00;nan;17.90;6.20
11:31:14;-18.10;-30.00;-30.01;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:16;-18.10;-30.00;-30.01;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:18;-18.10;-30.00;-30.02;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:20;-18.10;-30.00;-30.04;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:22;-18.10;-30.00;-30.04;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:24;-18.10;-30.00;-30.03;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:26;-18.10;-30.00;-30.03;17.00;-19.50;-18.00;nan;17.90;6.20
11:31:28;-18.10;-30.00;-30.01;17.00;-19.50;-18.00;nan;17.80;6.20
11:31:30;-18.10;-30.00;-30.02;17.00;-19.50;-18.10;nan;17.80;6.20
11:31:32;-18.10;-30.00;-30.02;17.00;-19.50;-18.10;nan;17.80;6.10
11:31:34;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.80;6.20
11:31:36;-18.10;-30.00;-30.00;17.00;-19.50;-18.10;nan;17.70;6.20
11:31:38;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;17.80;6.20
11:31:40;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.70;6.10
11:31:42;-18.10;-30.00;-30.02;17.00;-19.50;-18.10;nan;17.70;6.20
11:31:44;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;17.70;6.20
11:31:46;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;17.70;6.20
11:31:48;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;17.70;6.20
11:31:50;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.60;6.20
11:31:52;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.60;6.20
11:31:54;-18.10;-30.00;-30.00;17.00;-19.50;-18.10;nan;17.50;6.20
11:31:56;-18.10;-30.00;-30.00;17.00;-19.50;-18.10;nan;17.50;6.20
11:31:58;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;17.50;6.20
11:32:00;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;17.50;6.20
11:32:02;-18.10;-30.00;-30.00;17.00;-19.50;-18.10;nan;17.50;6.10
11:32:04;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.50;6.20
11:32:06;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.50;6.20
11:32:08;-18.10;-30.00;-29.97;17.00;-19.60;-18.10;nan;17.40;6.10
11:32:10;-18.10;-30.00;-29.98;17.00;-19.50;-18.10;nan;17.40;6.10
11:32:12;-18.10;-30.00;-29.99;17.00;-19.50;-18.10;nan;17.40;6.10
11:32:14;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;17.40;6.20
11:32:16;-18.10;-30.00;-30.00;17.00;-19.50;-18.10;nan;17.40;6.20
11:32:18;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;17.30;6.30
11:32:20;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;17.30;6.20
11:32:22;-18.10;-30.00;-30.03;17.00;-19.60;-18.20;nan;17.30;6.20
11:32:24;-18.10;-30.00;-30.04;17.00;-19.50;-18.20;nan;17.30;6.20
11:32:26;-18.10;-30.00;-30.03;17.00;-19.50;-18.20;nan;17.20;6.20
11:32:28;-18.10;-30.00;-30.00;17.00;-19.50;-18.20;nan;17.20;6.20
11:32:30;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;17.20;6.20
11:32:32;-18.10;-30.00;-30.01;17.00;-19.50;-18.20;nan;17.20;6.20
11:32:34;-18.10;-30.00;-29.98;17.00;-19.50;-18.10;nan;17.20;6.20
11:32:36;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;17.20;6.10
11:32:38;-18.10;-30.00;-29.97;17.00;-19.60;-18.10;nan;17.20;6.10
11:32:40;-18.10;-30.00;-29.99;17.00;-19.50;-18.10;nan;17.10;6.10
11:32:42;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;17.10;6.20
11:32:44;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;17.10;6.10
11:32:46;-18.10;-30.00;-30.03;17.00;-19.50;-18.10;nan;17.10;6.20
11:32:48;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;17.10;6.10
11:32:50;-18.10;-30.00;-30.03;17.00;-19.50;-18.10;nan;17.00;6.10
11:32:52;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;17.00;6.20
11:32:54;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;17.00;6.10
11:32:56;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.90;6.20
11:32:58;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;16.90;6.20
11:33:00;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;16.90;6.20
11:33:02;-18.10;-30.00;-30.04;17.00;-19.50;-18.10;nan;16.90;6.20
11:33:04;-18.10;-30.00;-30.04;17.00;-19.50;-18.10;nan;16.90;6.20
11:33:06;-18.10;-30.00;-30.03;17.00;-19.50;-18.10;nan;16.90;6.20
11:33:08;-18.10;-30.00;-30.04;17.00;-19.60;-18.10;nan;16.90;6.10
11:33:11;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;16.90;6.10
11:33:13;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;16.90;6.20
11:33:14;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.90;6.20
11:33:16;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;16.90;6.20
11:33:18;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;16.90;6.10
11:33:20;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.90;6.20
11:33:23;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.80;6.20
11:33:25;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;16.80;6.10
11:33:27;-18.10;-30.00;-30.00;17.00;-19.60;-18.20;nan;16.80;6.20
11:33:29;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;16.70;6.10
11:33:31;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;16.70;6.10
11:33:33;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;16.70;6.20
11:33:35;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;16.70;6.10
11:33:37;-18.10;-30.00;-30.02;17.00;-19.60;-18.20;nan;16.70;6.10
11:33:39;-18.10;-30.00;-30.00;17.00;-19.60;-18.20;nan;16.70;6.10
11:33:41;-18.10;-30.00;-29.97;17.00;-19.60;-18.10;nan;16.60;6.20
11:33:43;-18.10;-30.00;-29.95;17.00;-19.60;-18.10;nan;16.60;6.10
11:33:45;-18.10;-30.00;-29.98;17.00;-19.60;-18.10;nan;16.50;6.10
11:33:47;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.50;6.20
11:33:49;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;16.50;6.10
11:33:51;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.50;6.10
11:33:53;-18.10;-30.00;-30.01;17.00;-19.60;-18.30;nan;16.50;6.10
11:33:55;-18.10;-30.00;-30.02;17.00;-19.60;-18.20;nan;16.50;6.20
11:33:57;-18.10;-30.00;-30.03;17.00;-19.50;-18.20;nan;16.50;6.20
11:33:59;-18.10;-30.00;-30.03;17.00;-19.60;-18.20;nan;16.40;6.20
11:34:01;-18.10;-30.00;-30.03;17.00;-19.60;-18.20;nan;16.40;6.20
11:34:03;-18.10;-30.00;-30.03;17.00;-19.60;-18.20;nan;16.40;6.10
11:34:05;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;16.40;6.10
11:34:07;-18.10;-30.00;-30.01;17.00;-19.60;-18.20;nan;16.40;6.10
11:34:09;-18.10;-30.00;-30.00;17.00;-19.60;-18.20;nan;16.40;6.10
11:34:11;-18.10;-30.00;-29.99;17.00;-19.60;-18.20;nan;16.40;6.10
11:34:13;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.40;6.20
11:34:15;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;16.40;6.10
11:34:17;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;16.40;6.20
11:34:19;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;16.30;6.20
11:34:21;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.30;6.10
11:34:23;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.20;6.10
11:34:25;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.20;6.10
11:34:27;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;16.20;6.10
11:34:29;-18.10;-30.00;-30.01;17.00;-19.50;-18.10;nan;16.20;6.10
11:34:31;-18.10;-30.00;-30.00;17.00;-19.50;-18.10;nan;16.20;6.10
11:34:33;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;16.20;6.10
11:34:35;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;16.10;6.10
11:34:37;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;16.10;6.10
11:34:39;-18.10;-30.00;-30.02;17.00;-19.60;-18.10;nan;16.10;6.10
11:34:41;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.10;6.10
11:34:43;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;16.00;6.10
11:34:45;-18.10;-30.00;-29.99;17.00;-19.60;-18.10;nan;16.00;6.10
11:34:47;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.00;6.10
11:34:49;-18.10;-30.00;-30.00;17.00;-19.60;-18.10;nan;16.00;6.10
11:34:51;-18.10;-30.00;-30.01;17.00;-19.60;-18.10;nan;16.00;6.10
11:34:53;-18.10;-30.00;-30.01;17.00;-19.60;-18.20;nan;16.00;6.10
11:34:55;-18.10;-30.00;-30.01;17.00;-19.60;-18.20;nan;15.90;6.10
11:34:57;-18.10;-30.00;-30.01;17.00;-19.60;-18.20;nan;15.90;6.20
11:34:59;-18.10;-30.00;-29.99;17.00;-19.60;-18.20;nan;15.90;6.20
11:35:01;-18.10;-30.00;-29.99;17.00;-19.60;-18.20;nan;15.90;6.10
11:35:03;-18.10;-30.00;-30.01;17.00;-19.60;-18.20;nan;15.90;6.10
11:35:05;-18.10;-30.00;-30.02;17.00;-19.60;-18.20;nan;15.80;6.10
11:35:07;-18.10;-30.00;-30.02;17.00;-19.60;-18.20;nan;15.80;6.10
11:35:09;-18.10;-30.00;-30.01;17.00;-19.60;-18.20;nan;15.80;6.10
11:35:11;-18.10;-30.00;-30.00;17.00;-19.60;-18.20;nan;15.80;6.10
11:35:13;-18.10;-30.00;-30.03;17.00;-19.60;-18.10;nan;15.80;6.10
11:35:15;-18.10;-30.00;-30.04;17.00;-19.60;-18.10;nan;15.80;6.10
