time (19.03.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:57:04;-18.10;-30.00;-30.01;17.50;-19.10;-18.10;-20.38;18.40;7.20
15:57:06;-18.10;-30.00;-30.01;17.50;-19.10;-18.10;-20.38;18.40;7.10
15:57:08;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.38;18.40;7.20
15:57:10;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.38;18.40;7.10
15:57:12;-18.10;-30.00;-30.01;17.50;-19.10;-18.10;-20.38;18.40;7.20
15:57:14;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.38;18.40;7.20
15:57:16;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.37;18.40;7.20
15:57:18;-18.10;-30.00;-29.97;17.50;-19.10;-18.10;-20.37;18.40;7.10
15:57:20;-18.10;-30.00;-29.98;17.50;-19.10;-18.10;-20.37;18.40;7.20
15:57:22;-18.10;-30.00;-29.97;17.50;-19.10;-18.10;-20.37;18.40;7.10
15:57:24;-18.10;-30.00;-29.95;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:26;-18.10;-30.00;-29.98;17.50;-19.10;-18.10;-20.38;18.30;7.20
15:57:28;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.37;18.40;7.10
15:57:30;-18.10;-30.00;-29.96;17.50;-19.10;-18.10;-20.38;18.30;7.10
15:57:32;-18.10;-30.00;-29.96;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:34;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:36;-18.10;-30.00;-30.01;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:38;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.37;18.30;7.20
15:57:40;-18.10;-30.00;-29.98;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:42;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:44;-18.10;-30.00;-30.00;17.50;-19.10;-18.10;-20.37;18.30;7.10
15:57:46;-18.10;-30.00;-30.01;17.50;-19.10;-18.10;-20.37;18.30;7.10
