time (05.07.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:06:03;-18.10;-30.00;-30.01;16.60;-18.60;-18.10;-17.20;11.90;6.00
09:06:05;-18.10;-30.00;-29.98;16.60;-18.60;-18.10;-17.16;11.90;6.00
09:06:07;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.18;12.00;6.00
09:06:09;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.18;11.90;6.00
09:06:11;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.18;11.90;6.00
09:06:13;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.19;11.90;6.00
09:06:17;-18.10;-30.00;-29.99;16.60;-18.60;-18.20;-17.19;11.90;6.00
09:06:19;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.20;11.90;6.00
09:06:21;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.17;11.90;6.00
09:06:23;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.17;11.90;6.10
09:06:25;-18.10;-30.00;-30.01;16.60;-18.60;-18.10;-17.12;11.90;6.00
09:06:27;-18.10;-30.00;-30.01;16.60;-18.60;-18.10;-17.16;11.90;6.00
09:06:29;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.13;11.80;6.00
09:06:31;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.14;11.80;6.00
09:06:35;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.18;11.80;6.00
09:06:37;-18.10;-30.00;-29.99;16.60;-18.60;-18.10;-17.17;11.80;6.00
09:06:39;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.16;11.80;6.00
09:06:41;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.17;11.80;6.00
09:06:43;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.12;11.80;6.00
09:06:45;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.12;11.80;6.00
09:06:47;-18.10;-30.00;-30.01;16.60;-18.60;-18.10;-17.16;11.70;6.00
09:06:49;-18.10;-30.00;-30.00;16.60;-18.60;-18.10;-17.15;11.70;6.00
09:06:51;-18.10;-30.00;-30.00;16.50;-18.60;-18.10;-17.12;11.70;6.00
09:06:53;-18.10;-30.00;-30.01;16.50;-18.60;-18.10;-17.12;11.70;6.00
09:06:55;-18.10;-30.00;-30.01;16.50;-18.60;-18.10;-17.17;11.70;6.00
09:06:57;-18.10;-30.00;-30.00;16.50;-18.60;-18.10;-17.16;11.60;6.00
09:06:59;-18.10;-30.00;-30.01;16.50;-18.60;-18.10;-17.16;11.60;6.00
09:07:01;-18.10;-30.00;-30.01;16.50;-18.60;-18.10;-17.16;11.60;6.10
09:07:03;-18.10;-30.00;-30.01;16.50;-18.60;-18.10;-17.12;11.60;6.00
09:07:05;-18.10;-30.00;-30.00;16.50;-18.60;-18.10;-17.11;11.60;6.00
09:07:07;-18.10;-30.00;-30.02;16.50;-18.60;-18.10;-17.12;11.60;6.00
09:07:09;-18.10;-30.00;-30.02;16.50;-18.60;-18.20;-17.15;11.60;6.00
09:07:11;-18.10;-30.00;-30.03;16.50;-18.60;-18.10;-17.15;11.60;6.00
09:07:13;-18.10;-30.00;-30.01;16.50;-18.60;-18.20;-17.11;11.60;6.00
09:07:15;-18.10;-30.00;-30.00;16.50;-18.60;-18.10;-17.12;11.60;6.00
09:07:17;-18.10;-30.00;-30.01;16.50;-18.60;-18.10;-17.15;11.60;6.10
09:07:19;-18.10;-30.00;-30.03;16.50;-18.60;-18.10;-17.16;11.60;6.00
09:07:21;-18.10;-30.00;-30.02;16.50;-18.60;-18.10;-17.15;11.50;6.00
09:07:23;-18.10;-30.00;-30.02;16.50;-18.60;-18.10;-17.17;11.50;6.00
09:07:25;-18.10;-30.00;-30.02;16.50;-18.60;-18.10;-17.16;11.50;6.00
09:07:27;-18.10;-30.00;-30.03;16.50;-18.60;-18.10;-17.14;11.50;6.00
09:07:29;-18.10;-30.00;-30.02;16.50;-18.60;-18.10;-17.14;11.50;6.00
09:07:31;-18.10;-30.00;-30.00;16.50;-18.60;-18.10;-17.13;11.50;6.00
09:07:33;-18.10;-30.00;-30.00;16.50;-18.60;-18.10;-17.13;11.50;6.00
