time (23.01.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
07:42:35;-18.10;-30.00;-30.01;21.10;-15.70;-18.10;-20.96;9.10;2.40
07:42:37;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-20.98;9.20;2.40
07:42:39;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.00;9.20;2.30
07:42:41;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.01;9.10;2.40
07:42:43;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.02;9.10;2.40
07:42:45;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.00;9.10;2.40
07:42:47;-18.10;-30.00;-30.01;21.10;-15.70;-18.10;-21.02;9.10;2.40
07:42:49;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.03;9.10;2.30
07:42:51;-18.10;-30.00;-30.00;21.10;-15.70;-18.20;-21.04;9.10;2.30
07:42:53;-18.10;-30.00;-29.98;21.10;-15.70;-18.10;-21.01;9.10;2.30
07:42:55;-18.10;-30.00;-29.99;21.10;-15.70;-18.10;-21.00;9.10;2.40
07:42:57;-18.10;-30.00;-30.01;21.10;-15.70;-18.10;-21.00;9.10;2.40
07:42:59;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.00;9.10;2.40
07:43:01;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.00;9.10;2.30
07:43:03;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.00;9.10;2.30
07:43:06;-18.10;-30.00;-29.99;21.10;-15.60;-18.10;-21.01;9.10;2.30
07:43:07;-18.10;-30.00;-30.00;21.10;-15.70;-18.10;-21.02;9.10;2.30
07:43:10;-18.10;-30.00;-30.01;21.10;-15.70;-18.10;-21.04;9.10;2.40
07:43:11;-18.10;-30.00;-30.02;21.10;-15.70;-18.10;-21.05;9.00;2.40
07:43:14;-18.10;-30.00;-30.03;21.10;-15.70;-18.10;-21.03;9.00;2.40
07:43:16;-18.10;-30.00;-30.04;21.10;-15.70;-18.10;-21.00;9.00;2.40
07:43:18;-18.10;-30.00;-30.02;21.10;-15.70;-18.10;-21.02;9.10;2.40
07:43:19;-18.10;-30.00;-30.03;21.10;-15.70;-18.10;-21.03;9.00;2.30
07:43:22;-18.10;-30.00;-30.02;21.10;-15.70;-18.10;-20.99;9.00;2.30
