time (05.03.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:13:22;-18.10;-30.00;-29.98;17.50;-18.30;-18.10;-20.51;10.50;4.30
15:13:24;-18.10;-30.00;-29.98;17.50;-18.30;-18.10;-20.52;10.50;4.30
15:13:26;-18.10;-30.00;-29.96;17.50;-18.30;-18.10;-20.52;10.50;4.30
15:13:28;-18.10;-30.00;-29.97;17.50;-18.30;-18.10;-20.53;10.50;4.40
15:13:30;-18.10;-30.00;-29.98;17.50;-18.30;-18.10;-20.53;10.50;4.30
15:13:32;-18.10;-30.00;-29.99;17.50;-18.30;-18.10;-20.53;10.50;4.30
15:13:34;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.52;10.50;4.30
15:13:36;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.51;10.50;4.30
15:13:38;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.48;10.50;4.30
15:13:43;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:13:44;-18.10;-30.00;-30.03;17.50;-18.30;-18.10;-20.48;10.50;4.40
15:13:46;-18.10;-30.00;-30.02;17.50;-18.30;-18.10;-20.48;10.50;4.40
15:13:48;-18.10;-30.00;-30.03;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:13:50;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:13:54;-18.10;-30.00;-29.99;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:13:56;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:13:58;-18.10;-30.00;-30.03;17.50;-18.30;-18.10;-20.46;10.50;4.30
15:14:00;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:14:02;-18.10;-30.00;-29.99;17.50;-18.30;-18.10;-20.48;10.50;4.30
15:14:04;-18.10;-30.00;-29.99;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:14:06;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.48;10.50;4.30
15:14:08;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.48;10.40;4.30
15:14:10;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.49;10.40;4.30
15:14:12;-18.10;-30.00;-30.03;17.50;-18.30;-18.10;-20.49;10.50;4.30
15:14:14;-18.10;-30.00;-30.02;17.50;-18.30;-18.10;-20.48;10.50;4.30
15:14:16;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:14:18;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.49;10.50;4.30
15:14:20;-18.10;-30.00;-30.01;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:14:22;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.48;10.50;4.30
15:14:24;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.48;10.50;4.30
15:14:26;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:14:28;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.49;10.50;4.30
15:14:30;-18.10;-30.00;-30.00;17.50;-18.30;-18.10;-20.47;10.50;4.30
15:14:32;-18.10;-30.00;-29.99;17.50;-18.30;-18.10;-20.47;10.50;4.30
