time (17.09.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:28:01;-18.10;-30.00;-29.98;14.60;-18.60;-18.30;-20.92;22.20;4.00
15:28:04;-18.10;-30.00;-29.97;14.70;-18.60;-18.30;-20.90;22.20;3.90
15:28:05;-18.10;-30.00;-30.00;14.60;-18.60;-18.30;-20.88;22.10;4.00
15:28:07;-18.10;-30.00;-30.00;14.60;-18.60;-18.30;-20.87;22.20;4.00
15:28:09;-18.10;-30.00;-30.00;14.60;-18.60;-18.30;-20.88;22.10;4.00
15:28:11;-18.10;-30.00;-30.02;14.60;-18.60;-18.30;-20.87;22.10;4.00
15:28:13;-18.10;-30.00;-30.02;14.60;-18.60;-18.30;-20.88;22.00;3.90
15:28:15;-18.10;-30.00;-30.02;14.60;-18.60;-18.20;-20.90;22.00;3.90
15:28:17;-18.10;-30.00;-30.03;14.60;-18.60;-18.30;-20.89;22.00;4.00
15:28:20;-18.10;-30.00;-30.03;14.60;-18.60;-18.30;-20.87;22.00;4.00
15:28:21;-18.10;-30.00;-30.03;14.60;-18.60;-18.20;-20.86;22.00;4.00
15:28:23;-18.10;-30.00;-30.03;14.60;-18.60;-18.20;-20.83;22.00;4.00
15:28:25;-18.10;-30.00;-30.02;14.60;-18.60;-18.20;-20.82;21.90;4.00
15:28:27;-18.10;-30.00;-30.03;14.60;-18.60;-18.20;-20.81;21.90;4.00
15:28:29;-18.10;-30.00;-30.04;14.60;-18.60;-18.10;-20.78;21.90;4.00
15:28:31;-18.10;-30.00;-30.02;14.60;-18.60;-18.10;-20.77;21.90;4.00
15:28:33;-18.10;-30.00;-30.00;14.60;-18.60;-18.10;-20.78;21.90;4.00
15:28:35;-18.10;-30.00;-29.99;14.60;-18.60;-18.10;-20.77;21.90;3.90
15:28:37;-18.10;-30.00;-29.98;14.60;-18.60;-18.10;-20.78;21.90;4.00
15:28:39;-18.10;-30.00;-29.98;14.60;-18.60;-18.10;-20.78;21.90;4.00
15:28:41;-18.10;-30.00;-29.98;14.60;-18.60;-18.10;-20.80;21.90;4.00
15:28:43;-18.10;-30.00;-29.99;14.70;-18.60;-18.10;-20.80;21.80;4.00
15:28:45;-18.10;-30.00;-30.00;14.70;-18.60;-18.10;-20.78;21.80;4.00
15:28:47;-18.10;-30.00;-29.98;14.60;-18.60;-18.10;-20.80;21.80;4.00
15:28:49;-18.10;-30.00;-29.96;14.60;-18.50;-18.10;-20.76;21.80;4.00
15:28:51;-18.10;-30.00;-29.98;14.70;-18.60;-18.10;-20.76;21.80;3.90
15:28:53;-18.10;-30.00;-29.97;14.60;-18.50;-18.10;-20.75;21.80;3.90
15:28:55;-18.10;-30.00;-29.97;14.60;-18.50;-18.10;-20.76;21.70;4.00
15:28:57;-18.10;-30.00;-29.99;14.60;-18.50;-18.10;-20.76;21.80;3.90
15:28:59;-18.10;-30.00;-29.94;14.60;-18.50;-18.10;-20.77;21.70;4.00
15:29:01;-18.10;-30.00;-29.96;14.60;-18.50;-18.10;-20.75;21.70;4.00
15:29:03;-18.10;-30.00;-29.98;14.60;-18.50;-18.10;-20.76;21.70;3.90
15:29:05;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.76;21.70;4.00
15:29:07;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.78;21.70;4.00
15:29:09;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.78;21.60;4.00
15:29:11;-18.10;-30.00;-30.03;14.60;-18.50;-18.20;-20.77;21.60;4.00
15:29:13;-18.10;-30.00;-30.00;14.60;-18.50;-18.20;-20.78;21.60;4.00
15:29:15;-18.10;-30.00;-29.97;14.60;-18.50;-18.10;-20.79;21.60;4.00
15:29:17;-18.10;-30.00;-29.99;14.60;-18.50;-18.10;-20.80;21.60;4.00
15:29:19;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.80;21.60;4.00
15:29:21;-18.10;-30.00;-30.01;14.60;-18.50;-18.20;-20.80;21.60;4.00
15:29:23;-18.10;-30.00;-29.99;14.60;-18.50;-18.20;-20.80;21.60;4.00
15:29:25;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.79;21.50;4.00
15:29:27;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.77;21.50;4.00
15:29:29;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.78;21.50;4.00
15:29:31;-18.10;-30.00;-30.04;14.60;-18.50;-18.10;-20.79;21.50;4.00
