time (17.09.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:31:27;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.67;20.70;4.00
15:31:29;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.67;20.70;4.00
15:31:31;-18.10;-30.00;-30.02;14.60;-18.50;-18.00;-20.69;20.70;4.00
15:31:33;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.68;20.70;4.00
15:31:35;-18.10;-30.00;-30.03;14.60;-18.50;-18.10;-20.70;20.70;4.00
15:31:37;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.71;20.70;4.00
15:31:39;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.71;20.70;4.00
15:31:41;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.71;20.60;4.00
15:31:43;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.73;20.60;4.00
15:31:45;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.60;4.00
15:31:48;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.60;4.00
15:31:49;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.72;20.60;4.00
15:31:51;-18.10;-30.00;-29.98;14.60;-18.50;-18.10;-20.71;20.50;4.00
15:31:53;-18.10;-30.00;-29.98;14.60;-18.50;-18.10;-20.71;20.50;4.00
15:31:55;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.70;20.50;4.10
15:31:57;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.70;20.50;4.00
15:31:59;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.68;20.40;4.00
15:32:01;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.66;20.40;4.00
15:32:03;-18.10;-30.00;-29.99;14.60;-18.50;-18.10;-20.67;20.40;4.00
15:32:05;-18.10;-30.00;-29.98;14.60;-18.50;-18.00;-20.66;20.40;4.00
15:32:07;-18.10;-30.00;-29.99;14.60;-18.50;-18.00;-20.65;20.40;4.10
15:32:09;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.67;20.40;4.10
15:32:11;-18.10;-30.00;-29.99;14.60;-18.50;-18.10;-20.66;20.40;4.00
15:32:13;-18.10;-30.00;-30.00;14.60;-18.50;-18.00;-20.68;20.40;4.00
15:32:15;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.68;20.40;4.00
15:32:17;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.68;20.40;4.10
15:32:19;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.68;20.40;4.10
15:32:21;-18.10;-30.00;-30.01;14.60;-18.50;-18.00;-20.68;20.40;4.00
15:32:23;-18.10;-30.00;-29.99;14.60;-18.50;-18.00;-20.70;20.40;4.00
15:32:25;-18.10;-30.00;-29.98;14.60;-18.50;-18.00;-20.72;20.40;4.00
15:32:27;-18.10;-30.00;-29.98;14.60;-18.50;-18.00;-20.74;20.30;4.00
15:32:29;-18.10;-30.00;-29.99;14.60;-18.50;-18.10;-20.74;20.30;4.00
15:32:31;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.74;20.30;4.00
15:32:33;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.73;20.30;4.00
15:32:35;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.71;20.30;4.00
15:32:37;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.71;20.30;4.00
15:32:39;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.30;4.00
15:32:41;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.74;20.30;3.90
15:32:43;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.71;20.30;4.00
15:32:45;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.71;20.30;4.00
15:32:47;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.30;4.00
15:32:49;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.72;20.30;4.00
15:32:51;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.30;4.10
15:32:53;-18.10;-30.00;-30.01;14.60;-18.50;-18.10;-20.73;20.30;4.00
15:32:55;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.20;4.00
15:32:57;-18.10;-30.00;-30.02;14.60;-18.50;-18.10;-20.72;20.20;4.00
15:32:59;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.72;20.20;4.00
15:33:01;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.71;20.20;4.00
15:33:03;-18.10;-30.00;-30.00;14.60;-18.50;-18.10;-20.71;20.20;4.00
