time (02.10.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:05:06;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.01;14.20;6.20
14:05:08;-18.10;-30.00;-30.01;16.40;-19.50;-18.10;-19.00;14.20;6.20
14:05:10;-18.10;-30.00;-30.01;16.40;-19.50;-18.10;-19.00;14.10;6.30
14:05:12;-18.10;-30.00;-30.02;16.40;-19.50;-18.10;-19.01;14.10;6.20
14:05:14;-18.10;-30.00;-30.02;16.40;-19.50;-18.10;-19.01;14.10;6.20
14:05:16;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.02;14.10;6.20
14:05:18;-18.10;-30.00;-29.98;16.40;-19.50;-18.10;-19.04;14.10;6.30
14:05:20;-18.10;-30.00;-29.98;16.40;-19.50;-18.20;-19.04;14.10;6.20
14:05:22;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.02;14.10;6.20
14:05:24;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.01;14.10;6.20
14:05:27;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.02;14.00;6.40
14:05:29;-18.10;-30.00;-30.00;16.40;-19.50;-18.20;-19.02;14.00;6.20
14:05:30;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.02;14.00;6.20
14:05:32;-18.10;-30.00;-29.99;16.40;-19.50;-18.10;-19.01;14.00;6.20
14:05:34;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.00;14.00;6.20
14:05:36;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.02;14.00;6.20
14:05:38;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.02;14.00;6.20
14:05:40;-18.10;-30.00;-30.01;16.40;-19.50;-18.10;-19.02;14.00;6.20
14:05:42;-18.10;-30.00;-30.02;16.30;-19.50;-18.10;-19.00;14.00;6.20
14:05:45;-18.10;-30.00;-30.02;16.30;-19.50;-18.10;-19.00;14.00;6.20
14:05:47;-18.10;-30.00;-30.01;16.40;-19.50;-18.10;-19.00;14.00;6.20
14:05:49;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-18.99;14.00;6.20
14:05:51;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.01;14.00;6.20
14:05:53;-18.10;-30.00;-29.99;16.40;-19.50;-18.10;-19.02;14.00;6.30
14:05:54;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.02;13.90;6.30
14:05:57;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.01;13.90;6.20
14:05:58;-18.10;-30.00;-30.00;16.40;-19.50;-18.10;-19.01;13.90;6.20
14:06:01;-18.10;-30.00;-30.01;16.40;-19.50;-18.10;-19.01;13.90;6.20
14:06:03;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.03;13.90;6.20
14:06:04;-18.10;-30.00;-30.01;16.40;-19.50;-18.10;-19.04;13.90;6.20
14:06:07;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.02;13.90;6.20
14:06:09;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.01;13.90;6.20
14:06:10;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.02;13.80;6.30
14:06:13;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.02;13.80;6.20
14:06:14;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.03;13.80;6.20
14:06:16;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.03;13.80;6.30
14:06:19;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.03;13.80;6.20
14:06:20;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.04;13.80;6.20
14:06:23;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.05;13.80;6.20
14:06:25;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.04;13.80;6.20
14:06:27;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.04;13.80;6.20
14:06:29;-18.10;-30.00;-29.99;16.30;-19.50;-18.10;-19.06;13.70;6.20
14:06:31;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.06;13.70;6.20
14:06:33;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.05;13.70;6.30
14:06:35;-18.10;-30.00;-30.01;16.30;-19.50;-18.10;-19.05;13.70;6.20
14:06:37;-18.10;-30.00;-30.02;16.30;-19.50;-18.10;-19.05;13.70;6.20
14:06:39;-18.10;-30.00;-30.02;16.30;-19.50;-18.10;-19.06;13.70;6.20
14:06:41;-18.10;-30.00;-30.02;16.30;-19.50;-18.10;-19.05;13.70;6.20
14:06:43;-18.10;-30.00;-30.02;16.30;-19.50;-18.20;-19.05;13.70;6.20
14:06:45;-18.10;-30.00;-30.02;16.30;-19.50;-18.10;-19.05;13.70;6.20
14:06:47;-18.10;-30.00;-30.00;16.30;-19.50;-18.20;-19.02;13.70;6.20
14:06:49;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.03;13.70;6.20
14:06:51;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.03;13.70;6.20
14:06:53;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.02;13.60;6.20
14:06:55;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.02;13.70;6.20
14:06:57;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.03;13.60;6.20
14:06:59;-18.10;-30.00;-30.00;16.30;-19.50;-18.10;-19.03;13.60;6.20
