time (23.11.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:47:18;-18.10;-30.00;-30.01;20.10;-13.60;-18.10;-21.74;4.60;1.40
08:47:20;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:47:22;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:24;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.74;4.60;1.40
08:47:26;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:47:28;-18.10;-30.00;-30.01;20.10;-13.60;-18.10;-21.74;4.60;1.40
08:47:30;-18.10;-30.00;-30.00;20.10;-13.60;-18.10;-21.75;4.60;1.40
08:47:32;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.75;4.50;1.50
08:47:34;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:36;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:38;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:40;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.74;4.50;1.50
08:47:42;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:44;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.74;4.50;1.40
08:47:46;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:48;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:50;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:52;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:47:54;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.76;4.60;1.40
08:47:56;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:47:58;-18.10;-30.00;-29.99;20.00;-13.60;-18.20;-21.76;4.60;1.50
08:48:00;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:02;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:04;-18.10;-30.00;-30.04;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:48:06;-18.10;-30.00;-30.03;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:08;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.76;4.60;1.40
08:48:10;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:12;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:48:14;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:48:16;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:48:18;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:20;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:22;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:48:24;-18.10;-30.00;-30.03;20.00;-13.60;-18.20;-21.76;4.60;1.50
08:48:26;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:28;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:30;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.76;4.60;1.50
08:48:32;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.75;4.60;1.50
08:48:34;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:36;-18.10;-30.00;-30.03;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:38;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:40;-18.10;-30.00;-29.95;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:42;-18.10;-30.00;-29.95;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:44;-18.10;-30.00;-29.97;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:46;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.74;4.60;1.40
08:48:48;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:50;-18.10;-30.00;-30.01;20.00;-13.60;-18.10;-21.74;4.60;1.40
08:48:52;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.74;4.60;1.50
08:48:54;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.74;4.60;1.40
08:48:56;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.74;4.60;1.40
08:48:58;-18.10;-30.00;-30.00;20.00;-13.60;-18.10;-21.73;4.60;1.50
08:49:00;-18.10;-30.00;-30.01;20.00;-13.60;-18.20;-21.73;4.60;1.50
08:49:02;-18.10;-30.00;-30.02;20.00;-13.60;-18.10;-21.73;4.60;1.50
08:49:04;-18.10;-30.00;-30.01;20.00;-13.60;-18.20;-21.74;4.60;1.50
08:49:06;-18.10;-30.00;-30.03;20.00;-13.60;-18.20;-21.75;4.60;1.50
08:49:08;-18.10;-30.00;-30.03;20.00;-13.60;-18.20;-21.74;4.60;1.50
08:49:10;-18.10;-30.00;-30.03;20.00;-13.60;-18.20;-21.74;4.60;1.40
08:49:12;-18.10;-30.00;-30.03;20.00;-13.60;-18.20;-21.74;4.70;1.40
08:49:14;-18.10;-30.00;-30.02;20.00;-13.60;-18.20;-21.73;4.60;1.40
08:49:16;-18.10;-30.00;-29.99;20.00;-13.60;-18.20;-21.73;4.60;1.40
08:49:18;-18.10;-30.00;-29.97;20.00;-13.60;-18.20;-21.73;4.60;1.40
08:49:20;-18.10;-30.00;-29.98;20.00;-13.60;-18.10;-21.72;4.60;1.50
08:49:22;-18.10;-30.00;-29.99;20.00;-13.60;-18.10;-21.72;4.60;1.50
