time (03.11.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:24:13;-18.10;-30.00;-30.01;17.60;-16.00;-18.20;-17.34;9.00;2.60
10:24:15;-18.10;-30.00;-29.99;17.60;-16.00;-18.10;-17.35;9.10;2.70
10:24:17;-18.10;-30.00;-29.97;17.60;-16.00;-18.10;-17.40;9.10;2.70
10:24:19;-18.10;-30.00;-29.97;17.60;-15.90;-18.10;-17.36;9.00;2.60
10:24:21;-18.10;-30.00;-30.00;17.60;-15.90;-18.10;-17.38;9.10;2.60
10:24:23;-18.10;-30.00;-30.01;17.60;-16.00;-18.10;-17.40;9.00;2.60
10:24:25;-18.10;-30.00;-30.01;17.60;-16.00;-18.10;-17.36;9.00;2.60
10:24:27;-18.10;-30.00;-30.01;17.60;-16.00;-18.10;-17.32;9.00;2.60
10:24:29;-18.10;-30.00;-30.01;17.60;-16.00;-18.10;-17.32;9.00;2.50
10:24:31;-18.10;-30.00;-30.00;17.60;-16.00;-18.10;-17.31;9.00;2.60
10:24:33;-18.10;-30.00;-29.97;17.60;-15.90;-18.10;-17.37;9.00;2.60
10:24:35;-18.10;-30.00;-29.97;17.60;-16.00;-18.10;-17.33;9.00;2.60
10:24:37;-18.10;-30.00;-29.97;17.60;-16.00;-18.10;-17.37;9.00;2.60
10:24:39;-18.10;-30.00;-29.98;17.60;-15.90;-18.20;-17.36;9.10;2.60
10:24:41;-18.10;-30.00;-30.00;17.60;-16.00;-18.10;-17.43;9.00;2.60
10:24:43;-18.10;-30.00;-30.02;17.60;-16.00;-18.10;-17.38;9.00;2.60
10:24:45;-18.10;-30.00;-29.99;17.60;-16.00;-18.10;-17.41;9.00;2.60
10:24:47;-18.10;-30.00;-29.99;17.60;-16.00;-18.10;-17.40;9.00;2.60
10:24:49;-18.10;-30.00;-30.00;17.60;-16.00;-18.10;-17.39;9.00;2.60
10:24:51;-18.10;-30.00;-30.02;17.60;-16.00;-18.10;-17.42;9.00;2.60
10:24:53;-18.10;-30.00;-30.02;17.60;-15.90;-18.10;-17.44;9.00;2.60
10:24:55;-18.10;-30.00;-30.01;17.60;-16.00;-18.10;-17.47;9.00;2.50
10:24:57;-18.10;-30.00;-30.00;17.60;-15.90;-18.10;-17.43;9.00;2.60
10:24:59;-18.10;-30.00;-30.00;17.60;-16.00;-18.10;-17.46;9.10;2.60
10:25:01;-18.10;-30.00;-29.99;17.60;-16.00;-18.10;-17.49;9.00;2.60
10:25:03;-18.10;-30.00;-30.01;17.60;-16.00;-18.10;-17.45;9.10;2.60
10:25:05;-18.10;-30.00;-30.04;17.60;-16.00;-18.10;-17.43;9.10;2.60
10:25:07;-18.10;-30.00;-30.03;17.60;-16.00;-18.10;-17.47;9.00;2.60
10:25:09;-18.10;-30.00;-30.02;17.60;-16.00;-18.10;-17.43;9.00;2.60
10:25:11;-18.10;-30.00;-30.00;17.60;-15.90;-18.10;-17.50;9.00;2.60
10:25:13;-18.10;-30.00;-30.00;17.60;-15.90;-18.10;-17.50;9.10;2.60
