time (27.09.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
08:58:30;-18.10;-30.00;-30.01;21.00;-19.60;-18.10;-21.53;10.40;4.10
08:58:32;-18.10;-30.00;-30.01;21.00;-19.60;-18.10;-21.53;10.40;4.10
08:58:34;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.54;10.40;4.10
08:58:36;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.53;10.40;4.10
08:58:38;-18.10;-30.00;-30.03;21.00;-19.60;-18.10;-21.53;10.40;4.10
08:58:40;-18.10;-30.00;-30.03;21.00;-19.60;-18.10;-21.54;10.40;4.00
08:58:42;-18.10;-30.00;-30.00;21.00;-19.60;-18.10;-21.53;10.40;4.10
08:58:44;-18.10;-30.00;-30.00;21.00;-19.60;-18.10;-21.53;10.30;4.10
08:58:46;-18.10;-30.00;-30.01;21.00;-19.60;-18.10;-21.52;10.30;4.10
08:58:48;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.52;10.30;4.10
08:58:50;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.53;10.30;4.10
08:58:52;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.52;10.30;4.00
08:58:54;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.49;10.20;4.10
08:58:56;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.49;10.20;4.10
08:58:58;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.50;10.20;4.10
08:59:00;-18.10;-30.00;-29.99;21.00;-19.60;-18.10;-21.50;10.20;4.10
08:59:02;-18.10;-30.00;-30.00;21.00;-19.60;-18.10;-21.49;10.20;4.10
08:59:04;-18.10;-30.00;-30.02;21.00;-19.60;-18.10;-21.48;10.20;4.10
08:59:06;-18.10;-30.00;-30.03;21.00;-19.60;-18.10;-21.47;10.20;4.10
08:59:08;-18.10;-30.00;-30.04;21.00;-19.60;-18.00;-21.46;10.20;4.10
08:59:10;-18.10;-30.00;-30.03;21.00;-19.60;-18.00;-21.46;10.10;4.10
08:59:12;-18.10;-30.00;-30.04;21.00;-19.60;-18.00;-21.46;10.10;4.00
08:59:14;-18.10;-30.00;-30.03;21.00;-19.60;-18.00;-21.48;10.10;4.00
08:59:16;-18.10;-30.00;-30.02;20.90;-19.60;-18.00;-21.47;10.20;4.10
08:59:18;-18.10;-30.00;-30.04;20.90;-19.60;-18.00;-21.47;10.20;4.00
08:59:20;-18.10;-30.00;-30.04;20.90;-19.60;-18.00;-21.48;10.10;4.00
08:59:22;-18.10;-30.00;-30.04;20.90;-19.60;-18.00;-21.48;10.10;4.10
08:59:24;-18.10;-30.00;-30.03;20.90;-19.60;-18.00;-21.46;10.10;4.00
08:59:26;-18.10;-30.00;-30.03;20.90;-19.60;-18.00;-21.46;10.10;4.10
08:59:28;-18.10;-30.00;-30.03;20.90;-19.60;-18.00;-21.48;10.10;4.10
08:59:30;-18.10;-30.00;-30.04;20.90;-19.60;-18.00;-21.48;10.00;4.10
08:59:32;-18.10;-30.00;-30.05;20.90;-19.60;-18.00;-21.45;10.00;4.10
08:59:34;-18.10;-30.00;-30.05;20.90;-19.60;-18.00;-21.45;10.00;4.10
08:59:36;-18.10;-30.00;-30.06;20.90;-19.60;-18.00;-21.47;10.00;4.10
08:59:38;-18.10;-30.00;-30.06;20.90;-19.60;-18.00;-21.48;10.00;4.10
08:59:40;-18.10;-30.00;-30.05;20.90;-19.60;-18.00;-21.51;10.00;4.00
08:59:42;-18.10;-30.00;-30.03;20.90;-19.60;-18.00;-21.52;10.00;4.10
08:59:44;-18.10;-30.00;-30.01;20.90;-19.60;-18.00;-21.52;10.00;4.10
08:59:46;-18.10;-30.00;-30.02;20.90;-19.60;-18.00;-21.51;10.00;4.10
08:59:48;-18.10;-30.00;-30.01;20.90;-19.60;-18.00;-21.52;10.00;4.10
08:59:50;-18.10;-30.00;-30.01;20.90;-19.60;-18.10;-21.51;10.00;4.10
08:59:52;-18.10;-30.00;-30.01;20.90;-19.60;-18.10;-21.52;10.00;4.00
08:59:54;-18.10;-30.00;-30.00;20.90;-19.60;-18.10;-21.52;9.90;4.00
08:59:56;-18.10;-30.00;-30.01;20.90;-19.60;-18.00;-21.53;9.90;4.10
08:59:58;-18.10;-30.00;-30.02;20.90;-19.60;-18.10;-21.55;9.90;4.10
09:00:00;-18.10;-30.00;-30.02;20.90;-19.60;-18.10;-21.54;9.80;4.10
09:00:02;-18.10;-30.00;-30.02;20.90;-19.60;-18.10;-21.53;9.80;4.00
09:00:04;-18.10;-30.00;-30.03;20.90;-19.60;-18.10;-21.51;9.80;4.10
09:00:06;-18.10;-30.00;-30.02;20.90;-19.60;-18.10;-21.48;9.80;4.10
09:00:08;-18.10;-30.00;-30.02;20.90;-19.60;-18.10;-21.48;9.80;4.10
09:00:10;-18.10;-30.00;-30.02;20.90;-19.60;-18.10;-21.48;9.80;4.10
09:00:12;-18.10;-30.00;-30.03;20.90;-19.60;-18.00;-21.49;9.80;4.10
09:00:14;-18.10;-30.00;-30.02;20.90;-19.60;-18.00;-21.47;9.80;4.10
09:00:16;-18.10;-30.00;-30.02;20.90;-19.60;-18.00;-21.47;9.80;4.10
