time (04.10.2023);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:36:04;-18.10;-30.00;-29.98;18.30;-16.30;-18.10;-21.30;11.70;11.80
15:36:06;-18.10;-30.00;-30.01;18.30;-16.30;-18.10;-21.28;11.60;11.80
15:36:08;-18.10;-30.00;-30.02;18.20;-16.30;-18.10;-21.28;11.70;11.80
15:36:10;-18.10;-30.00;-30.00;18.30;-16.30;-18.10;-21.30;11.70;11.90
15:36:12;-18.10;-30.00;-29.99;18.20;-16.30;-18.00;-21.29;11.70;11.80
15:36:14;-18.10;-30.00;-30.01;18.30;-16.30;-18.00;-21.25;11.70;11.80
15:36:16;-18.10;-30.00;-30.02;18.30;-16.30;-18.00;-21.28;11.70;11.90
15:36:18;-18.10;-30.00;-30.02;18.20;-16.30;-18.00;-21.33;11.70;11.80
15:36:20;-18.10;-30.00;-30.01;18.20;-16.30;-18.00;-21.31;11.70;11.80
15:36:22;-18.10;-30.00;-30.01;18.30;-16.30;-18.00;-21.36;11.70;11.80
15:36:24;-18.10;-30.00;-30.02;18.20;-16.30;-18.10;-21.39;11.70;11.90
15:36:26;-18.10;-30.00;-30.02;18.20;-16.30;-18.10;-21.36;11.70;11.90
15:36:28;-18.10;-30.00;-29.97;18.30;-16.30;-18.10;-21.35;11.70;11.90
15:36:30;-18.10;-30.00;-29.98;18.20;-16.30;-18.10;-21.34;11.70;11.80
15:36:32;-18.10;-30.00;-30.01;18.20;-16.30;-18.10;-21.37;11.70;11.80
15:36:34;-18.10;-30.00;-30.02;18.20;-16.30;-18.10;-21.36;11.70;11.90
15:36:36;-18.10;-30.00;-30.03;18.20;-16.30;-18.10;-21.40;11.70;11.90
15:36:38;-18.10;-30.00;-30.03;18.20;-16.30;-18.10;-21.39;11.70;12.00
15:36:40;-18.10;-30.00;-30.00;18.20;-16.30;-18.10;-21.36;11.70;11.90
15:36:42;-18.10;-30.00;-30.01;18.20;-16.30;-18.10;-21.36;11.80;11.90
15:36:44;-18.10;-30.00;-30.01;18.20;-16.30;-18.10;-21.37;11.80;12.00
15:36:50;-18.10;-30.00;-29.98;18.20;-16.30;-18.10;-21.37;11.70;11.90
15:36:52;-18.10;-30.00;-30.00;18.20;-16.30;-18.20;-21.36;11.80;11.90
15:36:54;-18.10;-30.00;-29.99;18.20;-16.30;-18.10;-21.35;11.80;12.00
15:36:56;-18.10;-30.00;-30.01;18.20;-16.30;-18.10;-21.34;11.80;12.00
15:36:58;-18.10;-30.00;-30.02;18.20;-16.30;-18.10;-21.34;11.80;11.90
15:37:00;-18.10;-30.00;-30.00;18.20;-16.30;-18.10;-21.36;11.80;11.90
15:37:02;-18.10;-30.00;-30.00;18.20;-16.30;-18.10;-21.35;11.70;12.00
15:37:04;-18.10;-30.00;-30.00;18.20;-16.30;-18.10;-21.36;11.80;12.00
