time (01.02.2024);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:00:13;-18.10;-30.00;-30.00;18.80;-18.60;-18.00;-20.59;12.80;6.40
12:00:15;-18.10;-30.00;-30.03;18.80;-18.70;-18.10;-20.59;12.80;6.50
12:00:17;-18.10;-30.00;-30.03;18.80;-18.60;-18.00;-20.58;12.90;6.40
12:00:19;-18.10;-30.00;-30.00;18.80;-18.60;-18.00;-20.58;12.90;6.40
12:00:21;-18.10;-30.00;-29.98;18.80;-18.60;-18.10;-20.59;12.90;6.40
12:00:23;-18.10;-30.00;-29.98;18.80;-18.60;-18.10;-20.59;12.80;6.40
12:00:25;-18.10;-30.00;-29.99;18.90;-18.70;-18.10;-20.59;12.80;6.50
12:00:27;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.59;12.90;6.50
12:00:29;-18.10;-30.00;-30.00;18.80;-18.60;-18.10;-20.60;12.80;6.40
12:00:31;-18.10;-30.00;-29.99;18.80;-18.60;-18.10;-20.60;12.80;6.40
12:00:33;-18.10;-30.00;-29.99;18.80;-18.60;-18.10;-20.60;12.90;6.40
12:00:35;-18.10;-30.00;-30.01;18.80;-18.60;-18.10;-20.60;12.90;6.40
12:00:37;-18.10;-30.00;-30.00;18.80;-18.60;-18.10;-20.60;12.90;6.50
12:00:39;-18.10;-30.00;-30.00;18.80;-18.60;-18.10;-20.60;12.90;6.50
12:00:41;-18.10;-30.00;-30.01;18.80;-18.70;-18.10;-20.60;12.80;6.50
12:00:43;-18.10;-30.00;-30.01;18.80;-18.70;-18.10;-20.60;12.90;6.50
12:00:45;-18.10;-30.00;-30.01;18.80;-18.70;-18.10;-20.60;12.90;6.50
12:00:47;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.60;12.80;6.50
12:00:49;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.60;12.80;6.50
12:00:51;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.60;12.90;6.50
12:00:53;-18.10;-30.00;-29.99;18.80;-18.60;-18.10;-20.60;12.80;6.50
12:00:55;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.60;12.90;6.50
12:00:57;-18.10;-30.00;-30.01;18.80;-18.60;-18.00;-20.60;12.90;6.50
12:00:59;-18.10;-30.00;-30.00;18.80;-18.60;-18.10;-20.60;12.80;6.50
12:01:01;-18.10;-30.00;-30.00;18.80;-18.60;-18.10;-20.60;12.80;6.50
12:01:03;-18.10;-30.00;-29.98;18.80;-18.70;-18.00;-20.60;12.90;6.50
12:01:05;-18.10;-30.00;-29.99;18.80;-18.70;-18.00;-20.60;12.90;6.50
12:01:07;-18.10;-30.00;-29.99;18.80;-18.60;-18.00;-20.60;12.90;6.40
12:01:09;-18.10;-30.00;-29.98;18.80;-18.60;-18.00;-20.60;12.90;6.50
12:01:11;-18.10;-30.00;-29.98;18.80;-18.70;-18.00;-20.60;12.90;6.40
12:01:13;-18.10;-30.00;-29.96;18.80;-18.70;-18.10;-20.61;12.90;6.40
12:01:15;-18.10;-30.00;-29.98;18.80;-18.60;-18.10;-20.61;12.90;6.40
12:01:17;-18.10;-30.00;-29.99;18.80;-18.60;-18.10;-20.61;12.90;6.40
12:01:19;-18.10;-30.00;-30.00;18.80;-18.60;-18.10;-20.62;12.90;6.50
12:01:21;-18.10;-30.00;-30.01;18.80;-18.60;-18.10;-20.63;12.90;6.50
12:01:23;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.63;12.90;6.50
12:01:25;-18.10;-30.00;-30.00;18.80;-18.70;-18.10;-20.63;12.90;6.40
12:01:27;-18.10;-30.00;-29.99;18.80;-18.70;-18.10;-20.63;12.90;6.50
