time (23.01.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
07:57:57;-18.10;-30.00;-30.00;21.10;-17.90;-18.00;-19.52;8.40;3.10
07:57:59;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.53;8.40;3.10
07:58:01;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.53;8.40;3.10
07:58:03;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.52;8.40;3.20
07:58:05;-18.10;-30.00;-30.01;21.10;-17.90;-18.00;-19.51;8.40;3.10
07:58:07;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.52;8.40;3.20
07:58:09;-18.10;-30.00;-30.00;21.10;-17.90;-18.00;-19.52;8.40;3.20
07:58:11;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.52;8.40;3.20
07:58:13;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.52;8.30;3.20
07:58:15;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.52;8.30;3.20
07:58:17;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.52;8.30;3.10
07:58:19;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.52;8.30;3.20
07:58:21;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.53;8.30;3.20
07:58:23;-18.10;-30.00;-29.99;21.10;-17.90;-18.10;-19.53;8.30;3.10
07:58:25;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.53;8.30;3.20
07:58:27;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.55;8.20;3.10
07:58:29;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.55;8.30;3.10
07:58:31;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.54;8.30;3.10
07:58:33;-18.10;-30.00;-29.99;21.10;-17.90;-18.10;-19.53;8.20;3.10
07:58:35;-18.10;-30.00;-29.98;21.10;-17.90;-18.10;-19.53;8.20;3.20
07:58:37;-18.10;-30.00;-29.98;21.10;-17.90;-18.10;-19.54;8.20;3.10
07:58:39;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.54;8.20;3.20
07:58:41;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.54;8.20;3.20
07:58:43;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.55;8.20;3.20
07:58:45;-18.10;-30.00;-30.03;21.10;-17.90;-18.10;-19.56;8.20;3.20
07:58:47;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.56;8.20;3.20
07:58:49;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.56;8.20;3.20
07:58:51;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.56;8.10;3.20
07:58:53;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.57;8.20;3.20
07:58:55;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.56;8.10;3.20
07:58:57;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.56;8.10;3.20
07:58:59;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.55;8.10;3.20
07:59:01;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.55;8.10;3.20
07:59:03;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.55;8.10;3.20
07:59:05;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.54;8.00;3.10
07:59:07;-18.10;-30.00;-30.02;21.10;-17.90;-18.10;-19.54;8.00;3.20
07:59:09;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.55;8.10;3.20
07:59:11;-18.10;-30.00;-30.00;21.10;-17.90;-18.10;-19.56;8.00;3.20
07:59:13;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.55;8.00;3.20
07:59:15;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.56;8.00;3.10
07:59:17;-18.10;-30.00;-30.03;21.10;-17.90;-18.10;-19.56;8.00;3.20
07:59:19;-18.10;-30.00;-30.02;21.00;-17.90;-18.10;-19.56;8.00;3.20
07:59:21;-18.10;-30.00;-30.01;21.10;-17.90;-18.10;-19.56;8.00;3.20
07:59:23;-18.10;-30.00;-30.01;21.00;-17.90;-18.10;-19.56;8.00;3.10
07:59:25;-18.10;-30.00;-30.02;21.00;-17.90;-18.10;-19.56;8.00;3.20
07:59:27;-18.10;-30.00;-30.02;21.00;-17.90;-18.10;-19.56;7.90;3.20
07:59:29;-18.10;-30.00;-29.99;21.00;-17.90;-18.10;-19.55;7.90;3.20
07:59:31;-18.10;-30.00;-29.99;21.00;-17.90;-18.10;-19.55;8.00;3.20
07:59:33;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.55;7.90;3.10
07:59:35;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.55;7.90;3.10
07:59:37;-18.10;-30.00;-29.99;21.00;-17.90;-18.10;-19.55;7.90;3.20
07:59:39;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.55;7.90;3.20
07:59:41;-18.10;-30.00;-29.99;21.00;-17.90;-18.10;-19.56;7.90;3.10
07:59:43;-18.10;-30.00;-29.99;21.00;-17.90;-18.10;-19.57;7.80;3.20
07:59:45;-18.10;-30.00;-29.97;21.00;-17.90;-18.10;-19.58;7.80;3.20
07:59:47;-18.10;-30.00;-29.98;21.00;-17.90;-18.10;-19.58;7.80;3.20
07:59:49;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.59;7.90;3.20
07:59:51;-18.10;-30.00;-30.00;21.00;-17.90;-18.20;-19.59;7.80;3.20
07:59:53;-18.10;-30.00;-30.01;21.00;-17.90;-18.10;-19.59;7.80;3.20
07:59:55;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.58;7.80;3.10
07:59:57;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.59;7.80;3.20
07:59:59;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.59;7.80;3.20
08:00:01;-18.10;-30.00;-30.00;21.00;-17.90;-18.20;-19.59;7.80;3.20
08:00:03;-18.10;-30.00;-30.00;21.00;-17.90;-18.10;-19.59;7.80;3.20
08:00:05;-18.10;-30.00;-29.98;21.00;-17.90;-18.20;-19.59;7.80;3.20
08:00:07;-18.10;-30.00;-29.99;21.00;-17.90;-18.20;-19.60;7.80;3.20
08:00:09;-18.10;-30.00;-30.00;21.00;-17.90;-18.20;-19.60;7.70;3.20
08:00:11;-18.10;-30.00;-30.01;21.00;-17.90;-18.20;-19.60;7.80;3.20
08:00:13;-18.10;-30.00;-30.03;21.00;-17.90;-18.10;-19.60;7.70;3.20
08:00:15;-18.10;-30.00;-30.04;21.00;-17.90;-18.10;-19.60;7.70;3.20
08:00:17;-18.10;-30.00;-30.03;21.00;-17.90;-18.10;-19.59;7.70;3.20
08:00:19;-18.10;-30.00;-30.01;21.00;-17.90;-18.10;-19.59;7.70;3.20
08:00:21;-18.10;-30.00;-30.02;21.00;-17.90;-18.10;-19.60;7.70;3.20
08:00:23;-18.10;-30.00;-30.02;21.00;-18.00;-18.20;-19.59;7.70;3.20
08:00:25;-18.10;-30.00;-30.01;21.00;-17.90;-18.10;-19.58;7.60;3.20
08:00:27;-18.10;-30.00;-30.00;21.00;-17.90;-18.20;-19.58;7.70;3.20
08:00:29;-18.10;-30.00;-30.01;21.00;-17.90;-18.20;-19.58;7.70;3.20
08:00:31;-18.10;-30.00;-30.01;21.00;-17.90;-18.10;-19.58;7.60;3.20
08:00:33;-18.10;-30.00;-29.99;21.00;-17.90;-18.20;-19.59;7.70;3.20
08:00:35;-18.10;-30.00;-29.98;21.00;-18.00;-18.20;-19.58;7.60;3.20
08:00:37;-18.10;-30.00;-29.99;21.00;-18.00;-18.20;-19.57;7.60;3.20
08:00:39;-18.10;-30.00;-30.00;21.00;-18.00;-18.20;-19.58;7.60;3.20
08:00:41;-18.10;-30.00;-30.01;21.00;-18.00;-18.20;-19.58;7.60;3.20
08:00:43;-18.10;-30.00;-30.00;21.00;-18.00;-18.10;-19.57;7.60;3.20
08:00:45;-18.10;-30.00;-29.99;20.90;-18.00;-18.10;-19.59;7.60;3.20
08:00:47;-18.10;-30.00;-29.99;21.00;-17.90;-18.10;-19.57;7.60;3.20
08:00:49;-18.10;-30.00;-30.00;21.00;-18.00;-18.10;-19.57;7.60;3.20
08:00:51;-18.10;-30.00;-30.02;21.00;-18.00;-18.20;-19.56;7.50;3.20
08:00:53;-18.10;-30.00;-30.01;21.00;-18.00;-18.10;-19.56;7.50;3.20
08:00:55;-18.10;-30.00;-30.01;20.90;-17.90;-18.10;-19.57;7.50;3.20
08:00:57;-18.10;-30.00;-30.01;21.00;-18.00;-18.10;-19.56;7.50;3.20
08:00:59;-18.10;-30.00;-30.02;21.00;-18.00;-18.20;-19.57;7.50;3.20
08:01:01;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.56;7.50;3.20
08:01:03;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.57;7.50;3.20
08:01:05;-18.10;-30.00;-29.99;20.90;-18.00;-18.10;-19.57;7.50;3.10
08:01:07;-18.10;-30.00;-29.98;20.90;-18.00;-18.10;-19.56;7.50;3.30
08:01:09;-18.10;-30.00;-29.98;20.90;-18.00;-18.10;-19.56;7.50;3.20
08:01:11;-18.10;-30.00;-29.99;20.90;-18.00;-18.20;-19.57;7.50;3.20
08:01:13;-18.10;-30.00;-29.96;20.90;-18.00;-18.20;-19.57;7.50;3.20
08:01:15;-18.10;-30.00;-29.98;20.90;-18.00;-18.20;-19.56;7.40;3.20
08:01:17;-18.10;-30.00;-30.01;20.90;-18.00;-18.20;-19.56;7.40;3.20
08:01:19;-18.10;-30.00;-30.01;20.90;-18.00;-18.20;-19.57;7.40;3.20
08:01:21;-18.10;-30.00;-30.00;20.90;-18.00;-18.10;-19.56;7.40;3.20
08:01:23;-18.10;-30.00;-30.01;20.90;-18.00;-18.20;-19.57;7.40;3.20
08:01:25;-18.10;-30.00;-30.01;20.90;-17.90;-18.20;-19.57;7.40;3.20
08:01:27;-18.10;-30.00;-30.01;20.90;-17.90;-18.20;-19.57;7.40;3.20
08:01:29;-18.10;-30.00;-30.02;20.90;-18.00;-18.20;-19.56;7.40;3.20
08:01:31;-18.10;-30.00;-30.02;20.90;-18.00;-18.10;-19.56;7.40;3.20
08:01:33;-18.10;-30.00;-30.01;20.90;-18.00;-18.20;-19.56;7.40;3.20
08:01:35;-18.10;-30.00;-29.99;20.90;-18.00;-18.20;-19.55;7.40;3.20
08:01:37;-18.10;-30.00;-30.00;20.90;-18.00;-18.10;-19.56;7.30;3.20
08:01:39;-18.10;-30.00;-30.00;20.90;-18.00;-18.10;-19.56;7.30;3.20
08:01:41;-18.10;-30.00;-29.99;20.90;-18.00;-18.20;-19.55;7.30;3.20
08:01:43;-18.10;-30.00;-29.98;20.90;-18.00;-18.20;-19.55;7.30;3.20
08:01:45;-18.10;-30.00;-30.00;20.90;-18.00;-18.20;-19.56;7.30;3.20
08:01:47;-18.10;-30.00;-30.00;20.90;-18.00;-18.20;-19.56;7.30;3.20
08:01:49;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.56;7.30;3.20
08:01:52;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.55;7.30;3.20
08:01:54;-18.10;-30.00;-30.02;20.90;-18.00;-18.10;-19.54;7.30;3.20
08:01:55;-18.10;-30.00;-30.02;20.90;-18.00;-18.10;-19.53;7.30;3.20
08:01:57;-18.10;-30.00;-30.02;20.90;-18.00;-18.10;-19.52;7.30;3.20
08:01:59;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.53;7.30;3.20
08:02:01;-18.10;-30.00;-30.02;20.90;-18.00;-18.10;-19.53;7.30;3.20
08:02:03;-18.10;-30.00;-30.02;20.90;-18.00;-18.10;-19.53;7.30;3.20
08:02:05;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.52;7.30;3.20
08:02:08;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.52;7.20;3.20
08:02:10;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.53;7.20;3.20
08:02:11;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.53;7.20;3.30
08:02:13;-18.10;-30.00;-30.01;20.90;-18.00;-18.10;-19.53;7.20;3.20
08:02:15;-18.10;-30.00;-29.99;20.90;-18.00;-18.10;-19.53;7.20;3.20
08:02:18;-18.10;-30.00;-29.98;20.90;-18.00;-18.10;-19.52;7.20;3.30
08:02:20;-18.10;-30.00;-29.99;20.80;-18.00;-18.10;-19.52;7.20;3.20
08:02:22;-18.10;-30.00;-29.99;20.80;-18.00;-18.10;-19.53;7.20;3.20
08:02:24;-18.10;-30.00;-29.99;20.80;-18.00;-18.10;-19.53;7.20;3.20
08:02:26;-18.10;-30.00;-30.00;20.80;-18.00;-18.10;-19.53;7.20;3.20
08:02:27;-18.10;-30.00;-29.98;20.80;-18.00;-18.10;-19.53;7.20;3.20
08:02:30;-18.10;-30.00;-30.00;20.80;-18.00;-18.10;-19.53;7.20;3.20
08:02:32;-18.10;-30.00;-30.00;20.80;-18.00;-18.10;-19.53;7.10;3.20
08:02:34;-18.10;-30.00;-30.00;20.80;-18.00;-18.20;-19.52;7.10;3.20
08:02:36;-18.10;-30.00;-30.00;20.80;-18.00;-18.10;-19.53;7.10;3.20
08:02:38;-18.10;-30.00;-30.01;20.80;-18.00;-18.10;-19.52;7.10;3.20
08:02:40;-18.10;-30.00;-30.02;20.80;-18.00;-18.10;-19.53;7.10;3.30
08:02:42;-18.10;-30.00;-30.02;20.80;-18.00;-18.10;-19.52;7.10;3.30
08:02:43;-18.10;-30.00;-30.02;20.80;-18.00;-18.10;-19.52;7.10;3.20
