time (23.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:12:51;-18.10;-30.00;-30.10;21.10;-17.10;-18.30;-19.68;10.10;2.80
09:12:53;-18.10;-30.00;-30.11;21.10;-17.10;-18.30;-19.69;10.10;2.80
09:12:55;-18.10;-30.00;-30.11;21.10;-17.10;-18.30;-19.69;10.10;2.80
09:12:57;-18.10;-30.00;-30.10;21.10;-17.10;-18.30;-19.68;10.10;2.80
09:12:59;-18.10;-30.00;-30.10;21.10;-17.10;-18.30;-19.67;10.10;2.80
09:13:01;-18.10;-30.00;-30.10;21.10;-17.10;-18.30;-19.66;10.10;2.80
09:13:03;-18.10;-30.00;-30.09;21.10;-17.10;-18.30;-19.66;10.00;2.90
09:13:05;-18.10;-30.00;-30.09;21.10;-17.10;-18.20;-19.65;10.00;2.80
09:13:07;-18.10;-30.00;-30.09;21.10;-17.10;-18.30;-19.65;10.00;2.90
09:13:09;-18.10;-30.00;-30.08;21.10;-17.10;-18.30;-19.64;10.00;2.80
09:13:11;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.63;10.00;2.90
09:13:13;-18.10;-30.00;-30.07;21.10;-17.10;-18.20;-19.63;10.00;2.90
09:13:15;-18.10;-30.00;-30.07;21.10;-17.10;-18.20;-19.62;9.90;2.80
09:13:17;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.59;10.00;2.80
09:13:19;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.59;9.90;2.80
09:13:21;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.60;9.90;2.80
09:13:23;-18.10;-30.00;-30.09;21.10;-17.10;-18.20;-19.59;9.90;2.80
09:13:25;-18.10;-30.00;-30.09;21.10;-17.10;-18.20;-19.59;9.90;2.80
09:13:27;-18.10;-30.00;-30.08;21.10;-17.10;-18.10;-19.58;9.90;2.80
09:13:29;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.57;9.90;2.80
09:13:31;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.57;9.90;2.80
09:13:33;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.57;9.90;2.80
09:13:35;-18.10;-30.00;-30.07;21.10;-17.10;-18.20;-19.56;9.80;2.80
09:13:37;-18.10;-30.00;-30.06;21.10;-17.10;-18.20;-19.56;9.80;2.80
09:13:39;-18.10;-30.00;-30.07;21.10;-17.10;-18.20;-19.56;9.80;2.80
09:13:41;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.56;9.80;2.90
09:13:43;-18.10;-30.00;-30.09;21.10;-17.10;-18.20;-19.56;9.70;2.80
09:13:45;-18.10;-30.00;-30.09;21.10;-17.10;-18.20;-19.55;9.80;2.90
09:13:47;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.53;9.70;2.90
09:13:49;-18.10;-30.00;-30.06;21.10;-17.10;-18.20;-19.53;9.70;2.80
09:13:51;-18.10;-30.00;-30.05;21.10;-17.10;-18.20;-19.53;9.70;2.80
09:13:53;-18.10;-30.00;-30.05;21.10;-17.10;-18.20;-19.53;9.70;2.90
09:13:55;-18.10;-30.00;-30.07;21.10;-17.10;-18.10;-19.52;9.70;2.80
09:13:57;-18.10;-30.00;-30.08;21.10;-17.10;-18.20;-19.50;9.70;2.80
09:13:59;-18.10;-30.00;-30.07;21.10;-17.10;-18.10;-19.50;9.70;2.80
09:14:01;-18.10;-30.00;-30.07;21.10;-17.10;-18.10;-19.51;9.60;2.80
09:14:03;-18.10;-30.00;-30.07;21.10;-17.10;-18.10;-19.51;9.60;2.90
09:14:05;-18.10;-30.00;-30.07;21.10;-17.10;-18.10;-19.50;9.60;2.90
09:14:07;-18.10;-30.00;-30.07;21.10;-17.10;-18.10;-19.49;9.60;2.80
09:14:09;-18.10;-30.00;-30.05;21.10;-17.10;-18.10;-19.48;9.60;2.90
09:14:11;-18.10;-30.00;-30.06;21.10;-17.10;-18.10;-19.49;9.60;2.90
09:14:13;-18.10;-30.00;-30.08;21.10;-17.10;-18.10;-19.48;9.60;2.90
09:14:15;-18.10;-30.00;-30.10;21.00;-17.10;-18.10;-19.47;9.60;2.80
09:14:17;-18.10;-30.00;-30.11;21.10;-17.10;-18.10;-19.47;9.60;2.80
09:14:19;-18.10;-30.00;-30.12;21.00;-17.10;-18.10;-19.47;9.60;2.80
09:14:21;-18.10;-30.00;-30.12;21.00;-17.10;-18.10;-19.47;9.50;2.90
09:14:23;-18.10;-30.00;-30.12;21.00;-17.00;-18.10;-19.46;9.50;2.90
09:14:25;-18.10;-30.00;-30.12;21.10;-17.00;-18.10;-19.47;9.50;2.80
09:14:27;-18.10;-30.00;-30.11;21.10;-17.00;-18.10;-19.47;9.50;2.80
09:14:29;-18.10;-30.00;-30.10;21.00;-17.00;-18.10;-19.46;9.50;2.80
09:14:31;-18.10;-30.00;-30.08;21.00;-17.00;-18.10;-19.45;9.50;2.80
09:14:33;-18.10;-30.00;-30.06;21.00;-17.00;-18.10;-19.46;9.50;2.90
09:14:35;-18.10;-30.00;-30.06;21.00;-17.00;-18.10;-19.46;9.50;2.90
09:14:37;-18.10;-30.00;-30.03;21.00;-17.00;-18.10;-19.46;9.50;2.80
09:14:39;-18.10;-30.00;-30.03;21.00;-17.00;-18.10;-19.46;9.40;2.80
09:14:41;-18.10;-30.00;-30.03;21.00;-17.00;-18.10;-19.45;9.40;2.80
09:14:43;-18.10;-30.00;-30.02;21.00;-17.00;-18.10;-19.45;9.50;2.80
09:14:45;-18.10;-30.00;-30.02;21.00;-17.00;-18.10;-19.45;9.40;2.90
09:14:47;-18.10;-30.00;-30.01;21.00;-17.00;-18.10;-19.44;9.40;2.80
09:14:49;-18.10;-30.00;-30.01;21.00;-17.00;-18.10;-19.45;9.40;2.80
09:14:51;-18.10;-30.00;-30.02;21.00;-17.00;-18.10;-19.45;9.40;2.90
09:14:53;-18.10;-30.00;-30.02;21.00;-17.00;-18.10;-19.44;9.40;2.90
09:14:55;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.43;9.40;2.90
09:14:57;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.43;9.40;2.90
09:14:59;-18.10;-30.00;-29.99;21.00;-17.00;-18.10;-19.44;9.30;2.90
09:15:01;-18.10;-30.00;-29.99;21.00;-17.00;-18.10;-19.43;9.30;2.90
09:15:03;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.42;9.30;2.90
09:15:05;-18.10;-30.00;-30.01;21.00;-17.00;-18.10;-19.43;9.30;2.80
09:15:07;-18.10;-30.00;-30.01;21.00;-17.00;-18.10;-19.42;9.30;2.80
09:15:09;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.41;9.30;2.80
09:15:11;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.42;9.30;2.80
09:15:13;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.42;9.30;2.80
09:15:15;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.42;9.30;2.90
09:15:17;-18.10;-30.00;-29.98;21.00;-17.00;-18.10;-19.42;9.30;2.90
09:15:19;-18.10;-30.00;-29.99;21.00;-17.00;-18.10;-19.41;9.20;2.90
09:15:21;-18.10;-30.00;-29.99;21.00;-17.00;-18.10;-19.41;9.20;2.80
09:15:23;-18.10;-30.00;-30.00;21.00;-17.00;-18.10;-19.42;9.20;2.90
