time (27.01.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:58:07;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.30;12.00;4.40
14:58:10;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.30;12.10;4.40
14:58:11;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.30;12.10;4.40
14:58:14;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.29;12.10;4.50
14:58:15;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.30;12.00;4.40
14:58:17;-18.10;-30.00;-29.98;17.10;-17.70;-18.10;-19.31;12.00;4.40
14:58:20;-18.10;-30.00;-29.97;17.10;-17.70;-18.10;-19.31;12.00;4.50
14:58:22;-18.10;-30.00;-29.99;17.10;-17.70;-18.10;-19.31;12.00;4.50
14:58:23;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.30;12.00;4.50
14:58:26;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.29;12.00;4.50
14:58:28;-18.10;-30.00;-29.99;17.10;-17.70;-18.20;-19.30;12.00;4.50
14:58:30;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.30;12.00;4.50
14:58:31;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.31;11.90;4.50
14:58:33;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.31;11.90;4.50
14:58:36;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.31;11.90;4.50
14:58:37;-18.10;-30.00;-30.02;17.10;-17.70;-18.10;-19.31;11.90;4.50
14:58:40;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.31;11.90;4.50
14:58:42;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.90;4.40
14:58:43;-18.10;-30.00;-30.02;17.10;-17.70;-18.10;-19.33;11.90;4.40
14:58:46;-18.10;-30.00;-30.02;17.10;-17.70;-18.10;-19.32;11.90;4.40
14:58:48;-18.10;-30.00;-30.02;17.10;-17.70;-18.10;-19.31;11.90;4.50
14:58:50;-18.10;-30.00;-30.02;17.10;-17.70;-18.10;-19.31;11.90;4.40
14:58:52;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.90;4.40
14:58:53;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.90;4.40
14:58:56;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.90;4.50
14:58:58;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.80;4.40
14:58:59;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.90;4.50
14:59:02;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.90;4.40
14:59:04;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.90;4.50
14:59:06;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.33;11.90;4.50
14:59:08;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.34;11.90;4.40
14:59:10;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.33;11.90;4.50
14:59:11;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.80;4.40
14:59:14;-18.10;-30.00;-29.99;17.10;-17.70;-18.10;-19.32;11.80;4.40
14:59:15;-18.10;-30.00;-29.99;17.10;-17.70;-18.20;-19.32;11.80;4.40
14:59:18;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.80;4.40
14:59:20;-18.10;-30.00;-29.99;17.10;-17.70;-18.10;-19.32;11.80;4.50
14:59:22;-18.10;-30.00;-29.99;17.10;-17.70;-18.20;-19.32;11.80;4.50
14:59:24;-18.10;-30.00;-30.00;17.10;-17.70;-18.20;-19.32;11.80;4.40
14:59:26;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.80;4.40
14:59:28;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.33;11.80;4.40
14:59:30;-18.10;-30.00;-30.01;17.10;-17.70;-18.20;-19.32;11.80;4.40
14:59:31;-18.10;-30.00;-30.01;17.10;-17.70;-18.20;-19.32;11.80;4.50
14:59:34;-18.10;-30.00;-30.01;17.10;-17.70;-18.20;-19.31;11.80;4.40
14:59:36;-18.10;-30.00;-30.00;17.10;-17.70;-18.20;-19.29;11.70;4.40
14:59:38;-18.10;-30.00;-30.00;17.10;-17.70;-18.20;-19.31;11.80;4.50
14:59:40;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.33;11.70;4.40
14:59:41;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.70;4.50
14:59:44;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.70;4.50
14:59:46;-18.10;-30.00;-30.00;17.10;-17.70;-18.20;-19.32;11.70;4.40
14:59:48;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.32;11.70;4.40
14:59:50;-18.10;-30.00;-29.99;17.10;-17.70;-18.10;-19.32;11.70;4.50
14:59:51;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.32;11.70;4.40
14:59:54;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.31;11.70;4.40
14:59:56;-18.10;-30.00;-29.99;17.10;-17.70;-18.20;-19.31;11.70;4.40
14:59:57;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.32;11.70;4.40
14:59:59;-18.10;-30.00;-30.00;17.10;-17.70;-18.10;-19.33;11.70;4.40
15:00:02;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.32;11.70;4.40
15:00:04;-18.10;-30.00;-30.01;17.10;-17.70;-18.10;-19.32;11.70;4.40
15:00:06;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-19.31;11.70;4.40
15:00:08;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.32;11.70;4.40
15:00:10;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.32;11.70;4.40
15:00:12;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.33;11.70;4.40
15:00:13;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.34;11.70;4.40
15:00:15;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-19.33;11.70;4.50
15:00:18;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.33;11.60;4.50
15:00:19;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.33;11.70;4.50
15:00:22;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.33;11.60;4.50
15:00:24;-18.10;-30.00;-30.00;17.10;-17.70;-18.20;-19.32;11.60;4.40
15:00:26;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.33;11.60;4.50
15:00:28;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.33;11.70;4.50
15:00:29;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.34;11.60;4.40
15:00:31;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.34;11.60;4.40
15:00:34;-18.10;-30.00;-29.98;17.00;-17.70;-18.20;-19.34;11.60;4.50
15:00:35;-18.10;-30.00;-29.98;17.00;-17.70;-18.10;-19.34;11.60;4.40
15:00:38;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-19.33;11.60;4.40
15:00:39;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.33;11.60;4.40
15:00:42;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.33;11.60;4.40
15:00:44;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.34;11.60;4.40
15:00:46;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.33;11.60;4.50
15:00:47;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.32;11.60;4.40
15:00:50;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.32;11.60;4.40
15:00:52;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.32;11.60;4.40
15:00:54;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.31;11.60;4.40
15:00:55;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.31;11.50;4.50
15:00:58;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-19.32;11.50;4.40
15:01:00;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-19.33;11.50;4.40
15:01:01;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.33;11.50;4.40
15:01:04;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.32;11.50;4.50
15:01:06;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.31;11.50;4.40
15:01:07;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.31;11.50;4.40
15:01:10;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.32;11.50;4.40
15:01:11;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.33;11.50;4.40
15:01:13;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.32;11.50;4.50
15:01:16;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.31;11.50;4.40
15:01:17;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.30;11.50;4.40
15:01:20;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.29;11.50;4.40
15:01:22;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.30;11.40;4.50
15:01:24;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.30;11.40;4.50
15:01:26;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.30;11.40;4.50
15:01:27;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.31;11.40;4.50
15:01:29;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.30;11.40;4.40
15:01:32;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-19.30;11.40;4.40
15:01:33;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.29;11.40;4.40
15:01:36;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.29;11.40;4.40
15:01:38;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-19.30;11.40;4.40
15:01:39;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.32;11.40;4.40
15:01:42;-18.10;-30.00;-30.00;17.00;-17.80;-18.10;-19.32;11.40;4.40
15:01:44;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.31;11.40;4.40
15:01:46;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.32;11.40;4.40
15:01:48;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.31;11.40;4.50
15:01:49;-18.10;-30.00;-29.99;17.00;-17.80;-18.10;-19.30;11.40;4.40
15:01:51;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-19.30;11.40;4.40
15:01:54;-18.10;-30.00;-29.99;17.00;-17.70;-18.20;-19.31;11.40;4.40
15:01:55;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.31;11.40;4.40
15:01:58;-18.10;-30.00;-30.00;17.00;-17.80;-18.20;-19.32;11.40;4.40
15:01:59;-18.10;-30.00;-30.01;17.00;-17.80;-18.20;-19.32;11.40;4.40
15:02:02;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-19.32;11.40;4.40
15:02:04;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.33;11.30;4.40
15:02:05;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.32;11.40;4.40
15:02:07;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-19.32;11.40;4.40
15:02:10;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-19.32;11.30;4.50
15:02:11;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-19.31;11.30;4.40
15:02:13;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.30;11.30;4.40
15:02:16;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.29;11.30;4.40
15:02:18;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.28;11.30;4.40
15:02:19;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.29;11.30;4.40
15:02:22;-18.10;-30.00;-29.98;17.00;-17.70;-18.20;-19.29;11.30;4.40
15:02:23;-18.10;-30.00;-30.00;17.00;-17.70;-18.20;-19.30;11.30;4.40
15:02:26;-18.10;-30.00;-30.01;17.00;-17.70;-18.20;-19.29;11.20;4.40
15:02:27;-18.10;-30.00;-30.02;17.00;-17.70;-18.20;-19.27;11.20;4.40
15:02:29;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.28;11.20;4.40
15:02:32;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.28;11.20;4.40
15:02:34;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.27;11.20;4.40
15:02:35;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.26;11.20;4.40
15:02:38;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.25;11.20;4.40
15:02:40;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.23;11.20;4.40
15:02:42;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.23;11.20;4.40
15:02:43;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.24;11.20;4.40
15:02:45;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.24;11.20;4.50
15:02:48;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.24;11.20;4.40
15:02:50;-18.10;-30.00;-29.98;17.00;-17.70;-18.10;-19.23;11.20;4.30
15:02:52;-18.10;-30.00;-29.98;17.00;-17.70;-18.10;-19.24;11.10;4.40
15:02:54;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.23;11.20;4.40
15:02:55;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.24;11.20;4.40
15:02:58;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.24;11.20;4.40
15:03:00;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.24;11.10;4.40
15:03:02;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.23;11.10;4.40
15:03:04;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.23;11.10;4.40
15:03:05;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.22;11.10;4.40
15:03:08;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.20;11.10;4.40
15:03:10;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.20;11.10;4.30
15:03:11;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.21;11.10;4.40
15:03:14;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.21;11.10;4.40
15:03:16;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.22;11.10;4.40
15:03:18;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.23;11.10;4.40
15:03:20;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.22;11.10;4.40
15:03:22;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.20;11.10;4.40
15:03:23;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.20;11.10;4.40
15:03:26;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.20;11.10;4.40
15:03:27;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.21;11.10;4.30
15:03:30;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.21;11.10;4.40
15:03:31;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.21;11.10;4.40
15:03:34;-18.10;-30.00;-30.01;17.00;-17.70;-18.00;-19.21;11.10;4.40
15:03:36;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.21;11.00;4.40
15:03:38;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.22;11.00;4.40
15:03:40;-18.10;-30.00;-30.02;17.00;-17.70;-18.00;-19.22;11.00;4.40
15:03:42;-18.10;-30.00;-30.02;17.00;-17.70;-18.00;-19.22;11.00;4.40
15:03:43;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.22;11.00;4.40
15:03:46;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.21;11.00;4.30
15:03:47;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.21;11.00;4.40
15:03:50;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.22;11.00;4.40
15:03:52;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.20;11.00;4.40
15:03:53;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.21;11.00;4.40
15:03:55;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.22;11.00;4.40
15:03:58;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.21;11.00;4.40
15:04:00;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.20;11.00;4.30
15:04:02;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.20;11.00;4.40
15:04:03;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.20;11.00;4.40
15:04:06;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.19;10.90;4.40
15:04:08;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.20;10.90;4.30
15:04:09;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.21;10.90;4.40
15:04:11;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.21;10.90;4.40
15:04:14;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.19;10.90;4.40
15:04:16;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:18;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:20;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.20;10.90;4.30
15:04:22;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:24;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.21;10.90;4.40
15:04:25;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.20;10.90;4.40
15:04:27;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:30;-18.10;-30.00;-29.99;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:31;-18.10;-30.00;-29.97;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:34;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.21;10.90;4.40
15:04:36;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.22;10.90;4.30
15:04:38;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.20;10.90;4.40
15:04:40;-18.10;-30.00;-30.00;17.00;-17.70;-18.00;-19.22;10.90;4.40
15:04:41;-18.10;-30.00;-30.02;17.00;-17.70;-18.00;-19.23;10.90;4.40
15:04:43;-18.10;-30.00;-30.03;17.00;-17.70;-18.10;-19.24;10.90;4.40
15:04:46;-18.10;-30.00;-30.03;17.00;-17.70;-18.10;-19.25;10.90;4.40
15:04:47;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.25;10.90;4.30
15:04:50;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.26;10.80;4.40
15:04:52;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.25;10.80;4.40
15:04:54;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.26;10.80;4.40
15:04:56;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.26;10.80;4.30
15:04:58;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.26;10.80;4.40
15:04:59;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.26;10.80;4.30
15:05:02;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.27;10.80;4.30
15:05:03;-18.10;-30.00;-29.99;17.00;-17.70;-18.10;-19.27;10.80;4.30
15:05:06;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.27;10.80;4.40
15:05:07;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.27;10.70;4.40
15:05:10;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.25;10.80;4.30
15:05:12;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.26;10.70;4.40
15:05:13;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.26;10.70;4.40
15:05:16;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.24;10.70;4.40
15:05:18;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.24;10.70;4.30
15:05:19;-18.10;-30.00;-30.02;17.00;-17.70;-18.10;-19.25;10.70;4.30
15:05:22;-18.10;-30.00;-30.01;16.90;-17.70;-18.10;-19.25;10.70;4.40
15:05:23;-18.10;-30.00;-30.00;17.00;-17.70;-18.10;-19.25;10.70;4.30
15:05:26;-18.10;-30.00;-30.01;17.00;-17.70;-18.10;-19.25;10.70;4.40
15:05:28;-18.10;-30.00;-30.01;16.90;-17.70;-18.10;-19.26;10.70;4.30
15:05:29;-18.10;-30.00;-30.01;16.90;-17.70;-18.10;-19.26;10.70;4.30
