time (20.02.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:21:23;-18.10;-30.00;-30.02;17.40;-17.70;-18.20;-15.81;11.20;4.10
15:21:25;-18.10;-30.00;-30.02;17.40;-17.70;-18.20;-15.80;11.20;4.10
15:21:27;-18.10;-30.00;-30.02;17.40;-17.70;-18.20;-15.79;11.20;4.10
15:21:29;-18.10;-30.00;-30.01;17.40;-17.70;-18.20;-15.78;11.20;4.00
15:21:31;-18.10;-30.00;-30.00;17.40;-17.70;-18.20;-15.81;11.20;4.10
15:21:33;-18.10;-30.00;-29.99;17.40;-17.70;-18.10;-15.79;11.20;4.00
15:21:35;-18.10;-30.00;-30.00;17.40;-17.70;-18.20;-15.79;11.20;4.10
15:21:37;-18.10;-30.00;-30.01;17.40;-17.70;-18.20;-15.80;11.20;4.10
15:21:39;-18.10;-30.00;-30.00;17.40;-17.70;-18.20;-15.80;11.20;4.00
15:21:41;-18.10;-30.00;-30.00;17.40;-17.70;-18.20;-15.79;11.20;4.10
15:21:43;-18.10;-30.00;-29.98;17.30;-17.70;-18.20;-15.80;11.10;4.10
15:21:45;-18.10;-30.00;-29.96;17.30;-17.70;-18.20;-15.83;11.10;4.10
15:21:47;-18.10;-30.00;-29.98;17.40;-17.70;-18.10;-15.81;11.10;4.10
15:21:49;-18.10;-30.00;-30.00;17.40;-17.70;-18.10;-15.80;11.10;4.10
15:21:51;-18.10;-30.00;-30.01;17.40;-17.70;-18.10;-15.80;11.10;4.10
15:21:53;-18.10;-30.00;-30.01;17.40;-17.70;-18.10;-15.80;11.10;4.10
15:21:55;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.77;11.10;4.10
15:21:57;-18.10;-30.00;-30.00;17.40;-17.70;-18.10;-15.75;11.10;4.10
15:21:59;-18.10;-30.00;-29.97;17.40;-17.70;-18.10;-15.80;11.10;4.10
15:22:01;-18.10;-30.00;-29.99;17.40;-17.70;-18.10;-15.81;11.10;4.10
15:22:03;-18.10;-30.00;-30.00;17.40;-17.70;-18.10;-15.82;11.00;4.10
15:22:05;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.77;11.10;4.10
15:22:07;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.78;11.00;4.10
15:22:09;-18.10;-30.00;-30.00;17.40;-17.70;-18.10;-15.78;11.00;4.10
15:22:11;-18.10;-30.00;-29.99;17.40;-17.70;-18.10;-15.76;11.00;4.10
15:22:13;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.78;11.00;4.10
15:22:15;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.77;11.00;4.10
15:22:17;-18.10;-30.00;-30.00;17.40;-17.70;-18.10;-15.77;11.00;4.10
15:22:19;-18.10;-30.00;-30.01;17.40;-17.70;-18.10;-15.80;11.00;4.10
15:22:21;-18.10;-30.00;-30.02;17.30;-17.70;-18.10;-15.77;11.00;4.00
15:22:23;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.80;11.00;4.00
15:22:25;-18.10;-30.00;-30.02;17.40;-17.70;-18.10;-15.78;11.00;4.10
15:22:27;-18.10;-30.00;-30.01;17.40;-17.70;-18.10;-15.76;11.00;4.00
15:22:29;-18.10;-30.00;-30.01;17.40;-17.70;-18.10;-15.75;11.00;4.10
15:22:31;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.78;11.00;4.10
15:22:33;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.75;11.00;4.10
15:22:35;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.74;11.00;4.10
15:22:37;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.78;11.00;4.00
15:22:39;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.82;11.00;4.10
15:22:41;-18.10;-30.00;-30.00;17.40;-17.70;-18.10;-15.81;11.00;4.10
15:22:43;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.78;11.00;4.10
15:22:45;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.77;10.90;4.00
15:22:47;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.75;10.90;4.10
15:22:49;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.77;10.90;4.10
15:22:51;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.75;10.90;4.10
15:22:53;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.75;10.90;4.10
15:22:55;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.77;10.90;4.00
15:22:57;-18.10;-30.00;-29.99;17.30;-17.70;-18.00;-15.79;10.90;4.00
15:22:59;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.80;10.90;4.10
15:23:01;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.81;10.90;4.10
15:23:03;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.77;10.90;4.10
15:23:05;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.77;10.90;4.10
15:23:07;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.78;10.90;4.00
15:23:09;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.75;10.90;4.00
15:23:11;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.76;10.90;4.00
15:23:13;-18.10;-30.00;-30.02;17.30;-17.70;-18.10;-15.78;10.90;4.10
15:23:15;-18.10;-30.00;-30.02;17.30;-17.70;-18.00;-15.77;10.90;4.00
15:23:17;-18.10;-30.00;-30.02;17.30;-17.70;-18.10;-15.77;10.90;4.10
15:23:19;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.79;10.80;4.00
15:23:21;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.79;10.80;4.10
15:23:23;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.77;10.80;4.10
15:23:25;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.80;10.80;4.00
15:23:27;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.79;10.80;4.00
15:23:29;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.81;10.80;4.00
15:23:31;-18.10;-30.00;-30.02;17.30;-17.70;-18.10;-15.76;10.80;4.10
15:23:33;-18.10;-30.00;-30.03;17.30;-17.70;-18.10;-15.79;10.80;4.00
15:23:35;-18.10;-30.00;-30.02;17.30;-17.70;-18.10;-15.74;10.80;4.10
15:23:37;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.75;10.80;4.00
15:23:39;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.78;10.80;4.10
15:23:41;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.75;10.80;4.00
15:23:43;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.76;10.80;4.00
15:23:45;-18.10;-30.00;-30.01;17.30;-17.70;-18.00;-15.73;10.70;4.10
15:23:47;-18.10;-30.00;-30.01;17.30;-17.70;-18.00;-15.71;10.70;4.00
15:23:49;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.69;10.80;4.00
15:23:51;-18.10;-30.00;-29.98;17.20;-17.70;-18.00;-15.63;10.80;4.10
15:23:53;-18.10;-30.00;-29.96;17.20;-17.70;-18.00;-15.67;10.80;4.10
15:23:55;-18.10;-30.00;-29.97;17.30;-17.70;-18.10;-15.70;10.80;4.00
15:23:58;-18.10;-30.00;-30.00;17.20;-17.70;-18.00;-15.70;10.70;4.00
15:23:59;-18.10;-30.00;-30.00;17.30;-17.70;-18.00;-15.71;10.70;4.00
15:24:02;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.73;10.70;4.10
15:24:04;-18.10;-30.00;-30.01;17.30;-17.70;-18.00;-15.75;10.70;4.00
15:24:06;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.73;10.70;4.00
15:24:07;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.75;10.70;4.00
15:24:09;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.78;10.70;4.00
15:24:11;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.73;10.70;4.00
15:24:14;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.76;10.70;4.10
15:24:15;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.73;10.70;4.10
15:24:18;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.77;10.70;4.00
15:24:20;-18.10;-30.00;-29.98;17.30;-17.70;-18.10;-15.74;10.70;4.10
15:24:22;-18.10;-30.00;-29.98;17.30;-17.70;-18.10;-15.73;10.70;4.00
15:24:23;-18.10;-30.00;-29.99;17.30;-17.70;-18.00;-15.77;10.70;4.00
15:24:25;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.75;10.70;4.00
15:24:27;-18.10;-30.00;-29.99;17.30;-17.70;-18.00;-15.76;10.70;4.00
15:24:29;-18.10;-30.00;-29.99;17.20;-17.70;-18.00;-15.75;10.70;4.00
15:24:32;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.70;10.70;4.10
15:24:33;-18.10;-30.00;-29.98;17.30;-17.70;-18.10;-15.71;10.70;4.10
15:24:35;-18.10;-30.00;-29.98;17.30;-17.70;-18.10;-15.71;10.70;4.00
15:24:38;-18.10;-30.00;-29.97;17.30;-17.70;-18.10;-15.70;10.70;4.00
15:24:40;-18.10;-30.00;-29.99;17.20;-17.70;-18.10;-15.71;10.70;4.00
15:24:42;-18.10;-30.00;-29.98;17.30;-17.70;-18.10;-15.72;10.70;4.00
15:24:43;-18.10;-30.00;-29.96;17.20;-17.70;-18.10;-15.72;10.70;4.00
15:24:45;-18.10;-30.00;-29.96;17.30;-17.70;-18.00;-15.74;10.70;4.00
15:24:48;-18.10;-30.00;-29.98;17.30;-17.70;-18.10;-15.72;10.70;4.00
15:24:50;-18.10;-30.00;-30.00;17.30;-17.70;-18.10;-15.71;10.70;4.00
15:24:52;-18.10;-30.00;-30.01;17.20;-17.70;-18.10;-15.71;10.70;4.00
15:24:54;-18.10;-30.00;-30.01;17.20;-17.70;-18.00;-15.74;10.70;4.00
15:24:56;-18.10;-30.00;-30.01;17.30;-17.70;-18.00;-15.72;10.70;4.00
15:24:58;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.77;10.70;4.00
15:25:00;-18.10;-30.00;-30.01;17.30;-17.70;-18.00;-15.74;10.70;4.00
15:25:02;-18.10;-30.00;-30.01;17.30;-17.70;-18.00;-15.79;10.60;4.00
15:25:04;-18.10;-30.00;-30.01;17.20;-17.70;-18.10;-15.76;10.70;4.00
15:25:06;-18.10;-30.00;-30.02;17.20;-17.70;-18.10;-15.74;10.70;4.00
15:25:08;-18.10;-30.00;-30.01;17.30;-17.70;-18.10;-15.73;10.60;4.10
15:25:10;-18.10;-30.00;-30.02;17.20;-17.70;-18.10;-15.73;10.70;4.00
15:25:12;-18.10;-30.00;-30.03;17.20;-17.70;-18.10;-15.74;10.60;4.10
15:25:14;-18.10;-30.00;-30.03;17.20;-17.70;-18.10;-15.75;10.60;4.00
15:25:16;-18.10;-30.00;-30.02;17.20;-17.70;-18.10;-15.71;10.60;4.00
15:25:18;-18.10;-30.00;-30.02;17.20;-17.70;-18.10;-15.77;10.60;4.00
15:25:20;-18.10;-30.00;-29.98;17.20;-17.70;-18.10;-15.80;10.60;4.00
15:25:22;-18.10;-30.00;-29.98;17.20;-17.70;-18.10;-15.76;10.60;4.00
15:25:24;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.75;10.60;4.00
15:25:26;-18.10;-30.00;-30.01;17.20;-17.70;-18.10;-15.78;10.60;4.00
15:25:28;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.78;10.60;4.00
15:25:30;-18.10;-30.00;-29.99;17.20;-17.70;-18.10;-15.74;10.60;4.00
15:25:32;-18.10;-30.00;-29.99;17.20;-17.70;-18.10;-15.77;10.60;4.00
15:25:34;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.77;10.60;4.10
15:25:36;-18.10;-30.00;-29.99;17.20;-17.70;-18.10;-15.75;10.60;4.10
15:25:38;-18.10;-30.00;-29.99;17.20;-17.70;-18.10;-15.73;10.60;4.00
15:25:40;-18.10;-30.00;-29.99;17.30;-17.70;-18.10;-15.74;10.60;4.00
15:25:42;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.70;10.60;4.00
15:25:44;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.73;10.60;4.00
15:25:46;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.74;10.60;4.00
15:25:48;-18.10;-30.00;-30.00;17.20;-17.70;-18.00;-15.76;10.60;4.00
15:25:50;-18.10;-30.00;-30.00;17.20;-17.70;-18.10;-15.74;10.50;4.00
