time (26.05.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
15:17:54;-18.10;-30.00;-30.06;17.50;-17.50;-18.30;-17.89;18.80;4.20
15:17:56;-18.10;-30.00;-30.06;17.50;-17.50;-18.20;-17.88;18.70;4.20
15:17:58;-18.10;-30.00;-30.06;17.50;-17.50;-18.10;-17.86;18.70;4.20
15:18:00;-18.10;-30.00;-30.05;17.50;-17.50;-18.10;-17.84;18.70;4.30
15:18:02;-18.10;-30.00;-30.04;17.50;-17.50;-18.10;-17.83;18.70;4.30
15:18:04;-18.10;-30.00;-30.04;17.50;-17.50;-18.10;-17.83;18.70;4.30
15:18:06;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-17.83;18.60;4.20
15:18:08;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-17.82;18.60;4.20
15:18:10;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-17.81;18.60;4.20
15:18:13;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-17.81;18.50;4.20
15:18:15;-18.10;-30.00;-30.02;17.50;-17.40;-18.10;-17.81;18.50;4.20
15:18:16;-18.10;-30.00;-30.03;17.50;-17.50;-18.10;-17.80;18.40;4.30
15:18:18;-18.10;-30.00;-30.03;17.50;-17.40;-18.10;-17.79;18.40;4.20
15:18:20;-18.10;-30.00;-30.05;17.50;-17.40;-18.10;-17.79;18.30;4.30
15:18:22;-18.10;-30.00;-30.05;17.50;-17.40;-18.10;-17.79;18.30;4.20
15:18:24;-18.10;-30.00;-30.06;17.50;-17.40;-18.10;-17.79;18.30;4.20
15:18:26;-18.10;-30.00;-30.06;17.50;-17.40;-18.10;-17.79;18.30;4.20
15:18:28;-18.10;-30.00;-30.06;17.50;-17.40;-18.10;-17.76;18.20;4.20
15:18:30;-18.10;-30.00;-30.06;17.50;-17.40;-18.00;-17.77;18.20;4.30
15:18:32;-18.10;-30.00;-30.05;17.50;-17.40;-18.00;-17.77;18.20;4.30
15:18:34;-18.10;-30.00;-30.05;17.50;-17.40;-18.00;-17.77;18.20;4.30
15:18:37;-18.10;-30.00;-30.05;17.50;-17.40;-18.00;-17.76;18.10;4.20
15:18:38;-18.10;-30.00;-30.05;17.50;-17.40;-18.00;-17.76;18.10;4.20
