time (03.02.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
10:49:20;-18.10;-30.00;-30.08;17.90;-18.10;-18.00;-19.07;16.70;4.00
10:49:22;-18.10;-30.00;-30.08;17.90;-18.10;-18.00;-19.06;16.70;4.00
10:49:24;-18.10;-30.00;-30.09;17.90;-18.10;-18.10;-19.05;16.70;4.10
10:49:26;-18.10;-30.00;-30.09;17.90;-18.10;-18.00;-19.05;16.70;4.00
10:49:28;-18.10;-30.00;-30.09;17.90;-18.10;-18.00;-19.04;16.70;4.00
10:49:30;-18.10;-30.00;-30.10;17.90;-18.10;-18.00;-19.03;16.70;4.00
10:49:32;-18.10;-30.00;-30.09;17.90;-18.10;-18.00;-19.04;16.60;4.00
10:49:34;-18.10;-30.00;-30.08;17.90;-18.10;-18.00;-19.04;16.70;4.00
10:49:36;-18.10;-30.00;-30.07;17.90;-18.10;-18.00;-19.04;16.60;4.00
10:49:38;-18.10;-30.00;-30.07;17.90;-18.10;-18.00;-19.03;16.60;4.00
10:49:40;-18.10;-30.00;-30.07;17.90;-18.10;-18.00;-19.04;16.50;4.00
10:49:42;-18.10;-30.00;-30.07;17.90;-18.10;-18.00;-19.03;16.50;4.10
10:49:44;-18.10;-30.00;-30.06;17.90;-18.00;-18.00;-19.02;16.50;3.90
10:49:46;-18.10;-30.00;-30.05;17.90;-18.00;-18.00;-19.03;16.40;4.00
10:49:48;-18.10;-30.00;-30.06;17.90;-18.00;-18.00;-19.02;16.40;4.00
10:49:50;-18.10;-30.00;-30.05;17.90;-18.00;-18.00;-19.02;16.40;4.00
10:49:52;-18.10;-30.00;-30.06;17.90;-18.00;-18.00;-19.02;16.40;4.00
10:49:54;-18.10;-30.00;-30.07;17.90;-18.00;-18.00;-19.02;16.40;4.00
10:49:56;-18.10;-30.00;-30.06;17.90;-17.90;-18.00;-19.02;16.40;4.00
10:49:58;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-19.02;16.30;4.00
10:50:00;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-19.01;16.30;4.00
10:50:02;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-19.01;16.30;4.00
10:50:04;-18.10;-30.00;-30.04;17.90;-17.90;-18.00;-19.01;16.30;4.00
10:50:06;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-19.00;16.20;4.00
10:50:08;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-19.01;16.20;4.00
10:50:10;-18.10;-30.00;-30.06;17.90;-17.90;-18.00;-19.00;16.20;4.00
10:50:12;-18.10;-30.00;-30.06;17.90;-17.90;-18.00;-18.99;16.20;4.00
10:50:14;-18.10;-30.00;-30.07;17.90;-17.90;-18.00;-18.99;16.20;3.90
10:50:16;-18.10;-30.00;-30.07;17.90;-17.90;-18.00;-18.99;16.20;3.90
10:50:18;-18.10;-30.00;-30.07;17.80;-17.90;-18.00;-18.98;16.10;4.00
10:50:20;-18.10;-30.00;-30.06;17.90;-17.90;-17.90;-18.98;16.10;4.00
10:50:22;-18.10;-30.00;-30.06;17.90;-17.90;-18.00;-18.97;16.10;4.00
10:50:24;-18.10;-30.00;-30.05;17.90;-17.90;-17.90;-18.97;16.10;4.00
10:50:26;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-18.98;16.00;4.00
10:50:28;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-18.97;16.00;4.00
10:50:30;-18.10;-30.00;-30.07;17.90;-17.90;-18.00;-18.96;16.00;4.00
10:50:32;-18.10;-30.00;-30.08;17.80;-17.90;-18.00;-18.95;16.00;4.00
10:50:34;-18.10;-30.00;-30.08;17.90;-17.90;-18.00;-18.96;16.00;4.00
10:50:36;-18.10;-30.00;-30.07;17.90;-17.90;-18.00;-18.96;15.90;4.00
10:50:38;-18.10;-30.00;-30.07;17.90;-17.90;-17.90;-18.97;15.90;4.00
10:50:40;-18.10;-30.00;-30.07;17.80;-17.90;-17.90;-18.97;15.90;4.00
10:50:42;-18.10;-30.00;-30.07;17.90;-17.90;-18.00;-18.97;15.80;4.00
10:50:44;-18.10;-30.00;-30.05;17.80;-17.90;-18.00;-18.96;15.80;4.00
10:50:46;-18.10;-30.00;-30.04;17.80;-17.90;-18.00;-18.96;15.80;4.00
10:50:48;-18.10;-30.00;-30.03;17.80;-17.90;-18.00;-18.96;15.80;3.90
10:50:50;-18.10;-30.00;-30.04;17.80;-17.90;-18.00;-18.95;15.70;3.90
10:50:52;-18.10;-30.00;-30.05;17.90;-17.90;-17.90;-18.96;15.80;4.00
10:50:54;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-18.96;15.70;4.00
10:50:56;-18.10;-30.00;-30.05;17.80;-17.90;-17.90;-18.96;15.70;4.00
10:50:58;-18.10;-30.00;-30.05;17.90;-17.90;-18.00;-18.96;15.70;4.00
10:51:00;-18.10;-30.00;-30.04;17.80;-17.90;-18.00;-18.96;15.60;4.00
10:51:02;-18.10;-30.00;-30.04;17.80;-17.90;-18.00;-18.96;15.60;3.90
10:51:04;-18.10;-30.00;-30.04;17.90;-17.80;-18.00;-18.96;15.60;3.90
10:51:06;-18.10;-30.00;-30.06;17.80;-17.90;-18.00;-18.96;15.60;4.00
10:51:08;-18.10;-30.00;-30.06;17.80;-17.80;-18.00;-18.96;15.50;4.00
10:51:10;-18.10;-30.00;-30.05;17.90;-17.80;-18.00;-18.95;15.50;4.00
10:51:12;-18.10;-30.00;-30.05;17.90;-17.80;-17.90;-18.95;15.50;4.00
10:51:14;-18.10;-30.00;-30.06;17.90;-17.80;-17.90;-18.96;15.50;4.00
10:51:16;-18.10;-30.00;-30.04;17.80;-17.90;-18.00;-18.96;15.50;4.00
10:51:18;-18.10;-30.00;-30.02;17.90;-17.80;-17.90;-18.95;15.40;4.00
10:51:20;-18.10;-30.00;-30.04;17.90;-17.80;-17.90;-18.95;15.40;3.90
10:51:22;-18.10;-30.00;-30.05;17.80;-17.80;-17.90;-18.95;15.40;4.00
10:51:24;-18.10;-30.00;-30.05;17.80;-17.80;-17.90;-18.95;15.40;3.90
10:51:26;-18.10;-30.00;-30.05;17.80;-17.80;-18.00;-18.96;15.30;3.90
10:51:28;-18.10;-30.00;-30.04;17.80;-17.80;-17.90;-18.97;15.30;4.00
10:51:30;-18.10;-30.00;-30.05;17.80;-17.80;-17.90;-18.96;15.30;4.00
10:51:32;-18.10;-30.00;-30.05;17.80;-17.70;-17.90;-18.96;15.30;3.90
10:51:34;-18.10;-30.00;-30.07;17.80;-17.80;-17.90;-18.95;15.30;4.00
10:51:36;-18.10;-30.00;-30.06;17.80;-17.80;-17.90;-18.96;15.20;4.00
10:51:38;-18.10;-30.00;-30.06;17.80;-17.80;-17.90;-18.97;15.20;4.00
10:51:40;-18.10;-30.00;-30.07;17.90;-17.80;-18.00;-18.96;15.20;4.00
10:51:42;-18.10;-30.00;-30.06;17.80;-17.80;-18.00;-18.98;15.20;4.00
10:51:44;-18.10;-30.00;-30.07;17.80;-17.80;-18.00;-18.98;15.20;4.00
10:51:46;-18.10;-30.00;-30.06;17.80;-17.80;-18.00;-18.99;15.10;4.00
10:51:48;-18.10;-30.00;-30.07;17.80;-17.80;-18.00;-18.99;15.10;4.00
10:51:50;-18.10;-30.00;-30.06;17.80;-17.80;-18.00;-19.00;15.10;3.90
10:51:52;-18.10;-30.00;-30.05;17.80;-17.80;-18.00;-19.00;15.10;3.90
10:51:54;-18.10;-30.00;-30.05;17.80;-17.80;-18.00;-19.00;15.00;4.00
10:51:56;-18.10;-30.00;-30.04;17.80;-17.80;-18.00;-19.01;15.00;3.90
10:51:58;-18.10;-30.00;-30.03;17.80;-17.80;-18.00;-19.00;15.00;3.90
10:52:00;-18.10;-30.00;-30.03;17.80;-17.80;-18.00;-19.00;15.00;3.90
10:52:02;-18.10;-30.00;-30.02;17.80;-17.70;-18.00;-19.01;14.90;3.90
10:52:04;-18.10;-30.00;-30.03;17.80;-17.80;-18.00;-19.02;15.00;4.00
10:52:06;-18.10;-30.00;-30.04;17.80;-17.80;-18.00;-19.02;14.90;3.90
10:52:08;-18.10;-30.00;-30.03;17.80;-17.80;-18.00;-19.01;14.90;4.00
10:52:10;-18.10;-30.00;-30.03;17.80;-17.70;-18.00;-19.01;14.90;4.00
10:52:12;-18.10;-30.00;-30.02;17.80;-17.70;-18.00;-19.01;14.90;4.00
10:52:14;-18.10;-30.00;-30.01;17.80;-17.80;-18.00;-19.02;14.90;4.00
10:52:16;-18.10;-30.00;-30.01;17.80;-17.80;-18.00;-19.02;14.80;4.00
10:52:18;-18.10;-30.00;-30.02;17.80;-17.80;-18.00;-19.02;14.80;3.90
10:52:20;-18.10;-30.00;-30.02;17.80;-17.80;-18.00;-19.03;14.80;4.00
10:52:22;-18.10;-30.00;-30.03;17.80;-17.70;-18.00;-19.03;14.80;4.00
10:52:24;-18.10;-30.00;-30.03;17.80;-17.80;-18.00;-19.03;14.80;3.90
10:52:26;-18.10;-30.00;-30.02;17.80;-17.80;-18.00;-19.02;14.70;3.90
10:52:28;-18.10;-30.00;-30.02;17.80;-17.70;-18.00;-19.02;14.70;3.90
10:52:30;-18.10;-30.00;-30.02;17.80;-17.70;-18.00;-19.03;14.70;3.90
10:52:32;-18.10;-30.00;-30.02;17.80;-17.80;-18.00;-19.03;14.70;3.90
10:52:34;-18.10;-30.00;-30.02;17.80;-17.70;-18.00;-19.04;14.70;3.90
10:52:36;-18.10;-30.00;-30.03;17.80;-17.70;-18.00;-19.05;14.70;3.90
10:52:38;-18.10;-30.00;-30.01;17.80;-17.80;-18.00;-19.05;14.60;3.90
10:52:40;-18.10;-30.00;-30.00;17.80;-17.80;-18.00;-19.06;14.60;3.90
10:52:42;-18.10;-30.00;-30.00;17.80;-17.80;-18.00;-19.07;14.60;3.90
10:52:44;-18.10;-30.00;-30.02;17.80;-17.70;-18.00;-19.06;14.60;4.00
10:52:46;-18.10;-30.00;-30.04;17.80;-17.70;-18.00;-19.08;14.50;3.90
10:52:48;-18.10;-30.00;-30.04;17.80;-17.80;-18.00;-19.08;14.60;4.00
10:52:50;-18.10;-30.00;-30.03;17.80;-17.80;-18.10;-19.08;14.50;4.00
10:52:52;-18.10;-30.00;-30.03;17.80;-17.80;-18.00;-19.09;14.50;4.00
10:52:54;-18.10;-30.00;-30.05;17.80;-17.80;-18.10;-19.09;14.50;4.00
10:52:56;-18.10;-30.00;-30.04;17.80;-17.70;-18.10;-19.10;14.50;3.90
10:52:58;-18.10;-30.00;-30.05;17.80;-17.80;-18.10;-19.09;14.50;4.00
10:53:00;-18.10;-30.00;-30.04;17.80;-17.80;-18.10;-19.10;14.50;3.90
10:53:02;-18.10;-30.00;-30.04;17.80;-17.80;-18.10;-19.09;14.40;3.90
10:53:04;-18.10;-30.00;-30.04;17.80;-17.80;-18.10;-19.10;14.40;4.00
10:53:06;-18.10;-30.00;-30.03;17.80;-17.80;-18.10;-19.08;14.40;4.00
10:53:08;-18.10;-30.00;-30.02;17.80;-17.80;-18.10;-19.10;14.40;3.90
10:53:10;-18.10;-30.00;-30.02;17.80;-17.80;-18.10;-19.08;14.40;3.90
10:53:12;-18.10;-30.00;-30.01;17.80;-17.80;-18.10;-19.09;14.30;3.90
10:53:14;-18.10;-30.00;-30.02;17.80;-17.70;-18.10;-19.10;14.30;3.90
10:53:16;-18.10;-30.00;-30.02;17.80;-17.70;-18.10;-19.10;14.30;3.90
10:53:18;-18.10;-30.00;-30.02;17.80;-17.70;-18.10;-19.10;14.30;4.00
10:53:20;-18.10;-30.00;-30.04;17.80;-17.80;-18.10;-19.10;14.30;3.90
10:53:22;-18.10;-30.00;-30.03;17.80;-17.70;-18.10;-19.10;14.30;3.90
10:53:24;-18.10;-30.00;-30.02;17.80;-17.80;-18.10;-19.10;14.20;3.90
10:53:26;-18.10;-30.00;-30.01;17.80;-17.80;-18.10;-19.10;14.20;3.90
10:53:28;-18.10;-30.00;-30.00;17.80;-17.80;-18.10;-19.10;14.20;4.00
10:53:30;-18.10;-30.00;-30.00;17.80;-17.80;-18.10;-19.10;14.20;4.00
10:53:32;-18.10;-30.00;-30.03;17.80;-17.80;-18.10;-19.11;14.20;4.00
10:53:34;-18.10;-30.00;-30.05;17.80;-17.80;-18.10;-19.11;14.20;4.00
10:53:36;-18.10;-30.00;-30.04;17.80;-17.80;-18.10;-19.11;14.10;3.90
10:53:38;-18.10;-30.00;-30.01;17.80;-17.80;-18.10;-19.11;14.10;3.90
