time (14.02.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:03:26;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.20;7.80;3.50
12:03:28;-18.10;-30.00;-29.99;18.30;-18.10;-18.10;-18.21;7.80;3.50
12:03:30;-18.10;-30.00;-29.98;18.30;-18.10;-18.10;-18.20;7.80;3.50
12:03:33;-18.10;-30.00;-29.99;18.30;-18.10;-18.10;-18.19;7.80;3.50
12:03:35;-18.10;-30.00;-29.98;18.30;-18.10;-18.10;-18.20;7.80;3.50
12:03:36;-18.10;-30.00;-29.98;18.30;-18.10;-18.10;-18.19;7.80;3.50
12:03:39;-18.10;-30.00;-29.98;18.30;-18.10;-18.10;-18.20;7.80;3.50
12:03:40;-18.10;-30.00;-29.99;18.30;-18.10;-18.10;-18.20;7.70;3.50
12:03:43;-18.10;-30.00;-29.99;18.30;-18.10;-18.20;-18.20;7.80;3.50
12:03:45;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.21;7.80;3.50
12:03:47;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.21;7.80;3.50
12:03:49;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.21;7.70;3.50
12:03:51;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.20;7.70;3.50
12:03:53;-18.10;-30.00;-30.01;18.30;-18.10;-18.10;-18.22;7.70;3.50
12:03:55;-18.10;-30.00;-30.01;18.30;-18.10;-18.10;-18.22;7.80;3.50
12:03:56;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.21;7.70;3.50
12:03:59;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.20;7.80;3.50
12:04:01;-18.10;-30.00;-30.00;18.30;-18.10;-18.10;-18.20;7.80;3.40
12:04:02;-18.10;-30.00;-29.99;18.20;-18.10;-18.20;-18.21;7.70;3.50
12:04:05;-18.10;-30.00;-29.98;18.20;-18.10;-18.20;-18.20;7.70;3.50
12:04:07;-18.10;-30.00;-29.99;18.20;-18.10;-18.20;-18.21;7.70;3.50
12:04:09;-18.10;-30.00;-29.99;18.20;-18.10;-18.20;-18.21;7.70;3.50
12:04:11;-18.10;-30.00;-29.99;18.20;-18.10;-18.20;-18.21;7.70;3.50
12:04:12;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.22;7.70;3.50
12:04:15;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.22;7.70;3.50
12:04:17;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.21;7.70;3.50
12:04:19;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.21;7.70;3.40
12:04:21;-18.10;-30.00;-29.99;18.20;-18.10;-18.20;-18.20;7.70;3.40
12:04:23;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.20;7.70;3.50
12:04:25;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.21;7.70;3.50
12:04:27;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.21;7.70;3.50
12:04:29;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.20;7.70;3.50
12:04:31;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.21;7.70;3.50
12:04:33;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.20;7.70;3.50
12:04:35;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.19;7.60;3.50
12:04:37;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.21;7.70;3.50
12:04:39;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.21;7.60;3.50
12:04:41;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.22;7.60;3.50
12:04:43;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.22;7.60;3.50
12:04:45;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.21;7.60;3.50
12:04:47;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.21;7.60;3.50
12:04:49;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.22;7.60;3.50
12:04:51;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.23;7.60;3.50
12:04:53;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.21;7.60;3.50
12:04:55;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.22;7.60;3.50
12:04:57;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.22;7.60;3.50
12:04:59;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.23;7.60;3.50
12:05:01;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.22;7.60;3.50
12:05:03;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.24;7.60;3.50
12:05:05;-18.10;-30.00;-30.00;18.20;-18.20;-18.10;-18.22;7.60;3.40
12:05:07;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.23;7.60;3.50
12:05:09;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.23;7.60;3.50
12:05:11;-18.10;-30.00;-30.01;18.20;-18.20;-18.10;-18.23;7.60;3.50
12:05:13;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.23;7.60;3.60
12:05:15;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.24;7.60;3.60
12:05:17;-18.10;-30.00;-30.00;18.20;-18.20;-18.10;-18.23;7.60;3.50
12:05:19;-18.10;-30.00;-30.00;18.20;-18.20;-18.20;-18.24;7.60;3.50
12:05:21;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.24;7.60;3.50
12:05:23;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.23;7.60;3.50
12:05:25;-18.10;-30.00;-29.99;18.20;-18.20;-18.20;-18.23;7.50;3.50
12:05:27;-18.10;-30.00;-30.00;18.20;-18.20;-18.20;-18.24;7.50;3.60
12:05:29;-18.10;-30.00;-30.01;18.20;-18.10;-18.20;-18.26;7.50;3.50
12:05:31;-18.10;-30.00;-30.01;18.20;-18.20;-18.20;-18.25;7.50;3.50
12:05:33;-18.10;-30.00;-30.01;18.20;-18.10;-18.20;-18.26;7.50;3.50
12:05:35;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.26;7.50;3.50
12:05:37;-18.10;-30.00;-29.97;18.20;-18.20;-18.20;-18.26;7.50;3.50
12:05:39;-18.10;-30.00;-29.97;18.20;-18.10;-18.20;-18.25;7.50;3.50
12:05:41;-18.10;-30.00;-29.99;18.20;-18.10;-18.20;-18.24;7.50;3.60
12:05:43;-18.10;-30.00;-30.00;18.20;-18.20;-18.20;-18.23;7.50;3.50
12:05:45;-18.10;-30.00;-30.01;18.20;-18.20;-18.20;-18.24;7.50;3.50
12:05:47;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.22;7.50;3.50
12:05:49;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.21;7.50;3.50
12:05:51;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.22;7.50;3.50
12:05:53;-18.10;-30.00;-29.98;18.20;-18.10;-18.20;-18.21;7.50;3.60
12:05:55;-18.10;-30.00;-29.96;18.20;-18.10;-18.20;-18.19;7.50;3.50
12:05:57;-18.10;-30.00;-29.97;18.20;-18.10;-18.20;-18.19;7.40;3.50
12:05:59;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.18;7.50;3.40
12:06:01;-18.10;-30.00;-30.00;18.20;-18.10;-18.20;-18.19;7.40;3.50
12:06:03;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.19;7.50;3.50
12:06:05;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.20;7.50;3.50
12:06:07;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.20;7.50;3.50
12:06:09;-18.10;-30.00;-30.00;18.20;-18.20;-18.10;-18.18;7.50;3.50
12:06:11;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.17;7.40;3.50
12:06:13;-18.10;-30.00;-30.00;18.20;-18.20;-18.10;-18.16;7.50;3.50
12:06:15;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.17;7.40;3.50
12:06:17;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.16;7.50;3.50
12:06:19;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.16;7.50;3.50
12:06:21;-18.10;-30.00;-30.00;18.20;-18.20;-18.10;-18.16;7.40;3.50
12:06:23;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.15;7.40;3.50
12:06:25;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.16;7.40;3.50
12:06:27;-18.10;-30.00;-29.98;18.20;-18.10;-18.10;-18.15;7.40;3.50
12:06:29;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.15;7.40;3.60
12:06:31;-18.10;-30.00;-29.99;18.10;-18.10;-18.10;-18.15;7.40;3.50
12:06:33;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.15;7.40;3.60
12:06:35;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.15;7.40;3.50
12:06:37;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.15;7.40;3.50
12:06:39;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.16;7.40;3.60
12:06:41;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.16;7.40;3.50
12:06:43;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.16;7.40;3.50
12:06:45;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.16;7.40;3.50
12:06:47;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.15;7.40;3.60
12:06:49;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.14;7.40;3.60
12:06:51;-18.10;-30.00;-29.99;18.10;-18.10;-18.10;-18.13;7.40;3.50
12:06:53;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.12;7.40;3.50
12:06:55;-18.10;-30.00;-30.01;18.20;-18.10;-18.10;-18.13;7.30;3.50
12:06:57;-18.10;-30.00;-30.00;18.10;-18.10;-18.10;-18.13;7.30;3.50
12:06:59;-18.10;-30.00;-29.99;18.20;-18.10;-18.10;-18.14;7.30;3.60
12:07:01;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.13;7.30;3.50
12:07:03;-18.10;-30.00;-30.00;18.20;-18.10;-18.10;-18.14;7.30;3.50
12:07:05;-18.10;-30.00;-30.01;18.10;-18.10;-18.10;-18.13;7.30;3.60
