time (04.07.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
09:34:13;-18.10;-30.00;-30.04;19.00;-17.40;-18.30;-19.83;11.70;3.80
09:34:15;-18.10;-30.00;-30.03;19.00;-17.40;-18.20;-19.85;11.60;3.70
09:34:17;-18.10;-30.00;-30.03;19.00;-17.40;-18.20;-19.83;11.60;3.70
09:34:19;-18.10;-30.00;-30.02;19.00;-17.40;-18.20;-19.84;11.60;3.70
09:34:21;-18.10;-30.00;-30.01;19.00;-17.40;-18.20;-19.83;11.60;3.80
09:34:23;-18.10;-30.00;-29.99;18.90;-17.40;-18.30;-19.83;11.60;3.70
09:34:25;-18.10;-30.00;-30.00;19.00;-17.40;-18.30;-19.83;11.60;3.70
09:34:27;-18.10;-30.00;-30.03;19.00;-17.40;-18.30;-19.83;11.60;3.70
09:34:29;-18.10;-30.00;-30.03;19.00;-17.40;-18.30;-19.84;11.60;3.80
09:34:31;-18.10;-30.00;-30.01;19.00;-17.40;-18.30;-19.83;11.50;3.80
09:34:33;-18.10;-30.00;-30.02;18.90;-17.40;-18.30;-19.84;11.50;3.70
09:34:35;-18.10;-30.00;-30.04;19.00;-17.40;-18.30;-19.85;11.50;3.70
09:34:37;-18.10;-30.00;-30.04;18.90;-17.40;-18.30;-19.84;11.50;3.80
09:34:39;-18.10;-30.00;-30.05;19.00;-17.40;-18.30;-19.83;11.50;3.80
09:34:41;-18.10;-30.00;-30.06;18.90;-17.40;-18.30;-19.84;11.50;3.80
09:34:43;-18.10;-30.00;-30.04;18.90;-17.40;-18.30;-19.84;11.50;3.70
09:34:45;-18.10;-30.00;-30.02;18.90;-17.40;-18.30;-19.83;11.40;3.80
09:34:47;-18.10;-30.00;-30.02;18.90;-17.40;-18.30;-19.83;11.40;3.80
09:34:49;-18.10;-30.00;-30.01;18.90;-17.40;-18.30;-19.83;11.40;3.80
09:34:51;-18.10;-30.00;-30.00;18.90;-17.40;-18.30;-19.81;11.40;3.80
09:34:53;-18.10;-30.00;-30.01;18.90;-17.40;-18.30;-19.81;11.30;3.80
09:34:55;-18.10;-30.00;-30.02;18.90;-17.40;-18.20;-19.82;11.30;3.80
09:34:57;-18.10;-30.00;-30.01;18.90;-17.40;-18.30;-19.83;11.30;3.80
09:34:59;-18.10;-30.00;-30.01;18.90;-17.40;-18.20;-19.82;11.30;3.80
09:35:01;-18.10;-30.00;-30.03;18.90;-17.40;-18.30;-19.82;11.30;3.80
09:35:03;-18.10;-30.00;-30.04;18.90;-17.40;-18.30;-19.82;11.30;3.80
09:35:05;-18.10;-30.00;-30.03;18.90;-17.50;-18.20;-19.83;11.30;3.80
09:35:07;-18.10;-30.00;-30.03;18.90;-17.40;-18.20;-19.83;11.30;3.70
09:35:09;-18.10;-30.00;-30.03;18.90;-17.40;-18.20;-19.82;11.30;3.80
09:35:11;-18.10;-30.00;-30.03;18.90;-17.40;-18.20;-19.82;11.30;3.80
09:35:13;-18.10;-30.00;-30.02;18.90;-17.40;-18.20;-19.83;11.20;3.80
09:35:15;-18.10;-30.00;-30.03;18.90;-17.40;-18.20;-19.83;11.20;3.80
09:35:17;-18.10;-30.00;-30.01;18.90;-17.50;-18.20;-19.84;11.20;3.80
09:35:19;-18.10;-30.00;-30.01;18.90;-17.40;-18.20;-19.84;11.20;3.70
09:35:21;-18.10;-30.00;-30.03;18.90;-17.50;-18.30;-19.82;11.20;3.80
09:35:23;-18.10;-30.00;-30.04;18.90;-17.50;-18.20;-19.83;11.20;3.80
09:35:25;-18.10;-30.00;-30.04;18.90;-17.50;-18.30;-19.83;11.20;3.80
09:35:27;-18.10;-30.00;-30.00;18.90;-17.50;-18.30;-19.84;11.20;3.80
09:35:29;-18.10;-30.00;-30.00;18.90;-17.50;-18.30;-19.82;11.20;3.80
09:35:31;-18.10;-30.00;-30.00;18.90;-17.50;-18.30;-19.83;11.10;3.70
09:35:33;-18.10;-30.00;-30.00;18.90;-17.40;-18.30;-19.84;11.10;3.80
09:35:35;-18.10;-30.00;-30.01;18.90;-17.50;-18.30;-19.85;11.10;3.80
09:35:37;-18.10;-30.00;-30.02;18.90;-17.50;-18.30;-19.84;11.10;3.80
09:35:39;-18.10;-30.00;-30.02;18.90;-17.50;-18.30;-19.85;11.10;3.80
09:35:41;-18.10;-30.00;-30.03;18.90;-17.50;-18.30;-19.85;11.10;3.80
09:35:43;-18.10;-30.00;-30.02;18.90;-17.50;-18.30;-19.84;11.10;3.70
09:35:45;-18.10;-30.00;-30.02;18.90;-17.50;-18.30;-19.84;11.10;3.80
09:35:47;-18.10;-30.00;-30.02;18.90;-17.50;-18.30;-19.84;11.10;3.90
09:35:49;-18.10;-30.00;-30.02;18.90;-17.50;-18.30;-19.83;11.10;3.80
09:35:51;-18.10;-30.00;-30.03;18.90;-17.50;-18.30;-19.83;11.10;3.80
09:35:53;-18.10;-30.00;-30.03;18.90;-17.50;-18.30;-19.83;11.00;3.70
09:35:55;-18.10;-30.00;-30.04;18.90;-17.50;-18.30;-19.82;11.00;3.70
09:35:57;-18.10;-30.00;-30.01;18.90;-17.50;-18.30;-19.82;11.00;3.80
09:35:59;-18.10;-30.00;-30.01;18.90;-17.50;-18.30;-19.81;11.10;3.80
09:36:01;-18.10;-30.00;-30.01;18.90;-17.50;-18.20;-19.80;11.00;3.80
09:36:03;-18.10;-30.00;-30.01;18.90;-17.50;-18.30;-19.79;11.00;3.80
09:36:05;-18.10;-30.00;-30.01;18.90;-17.50;-18.20;-19.78;11.00;3.80
09:36:07;-18.10;-30.00;-30.02;18.90;-17.50;-18.20;-19.77;10.90;3.70
09:36:09;-18.10;-30.00;-30.02;18.90;-17.50;-18.20;-19.78;10.90;3.80
09:36:11;-18.10;-30.00;-30.02;18.90;-17.50;-18.20;-19.78;10.90;3.80
09:36:13;-18.10;-30.00;-30.03;18.90;-17.50;-18.20;-19.76;10.90;3.80
