time (07.07.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
14:44:13;-18.10;-30.00;-29.98;17.50;-17.40;-18.20;-17.54;12.50;4.20
14:44:15;-18.10;-30.00;-29.99;17.50;-17.40;-18.10;-17.56;12.50;4.20
14:44:17;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.55;12.50;4.20
14:44:19;-18.10;-30.00;-29.99;17.40;-17.40;-18.10;-17.55;12.60;4.10
14:44:21;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.57;12.50;4.20
14:44:23;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.56;12.50;4.20
14:44:25;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.58;12.50;4.20
14:44:27;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.59;12.50;4.20
14:44:29;-18.10;-30.00;-30.01;17.50;-17.40;-18.10;-17.59;12.50;4.20
14:44:31;-18.10;-30.00;-30.01;17.50;-17.40;-18.10;-17.59;12.50;4.20
14:44:33;-18.10;-30.00;-30.02;17.50;-17.40;-18.20;-17.60;12.50;4.20
14:44:35;-18.10;-30.00;-30.02;17.40;-17.40;-18.10;-17.63;12.50;4.20
14:44:37;-18.10;-30.00;-30.02;17.50;-17.40;-18.20;-17.65;12.50;4.20
14:44:39;-18.10;-30.00;-30.02;17.50;-17.40;-18.10;-17.63;12.50;4.10
14:44:41;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.63;12.40;4.20
14:44:43;-18.10;-30.00;-29.99;17.40;-17.40;-18.10;-17.64;12.50;4.20
14:44:45;-18.10;-30.00;-30.01;17.50;-17.40;-18.10;-17.66;12.40;4.20
14:44:47;-18.10;-30.00;-30.02;17.40;-17.40;-18.20;-17.67;12.40;4.20
14:44:49;-18.10;-30.00;-30.01;17.50;-17.40;-18.20;-17.67;12.40;4.20
14:44:51;-18.10;-30.00;-30.01;17.50;-17.40;-18.20;-17.68;12.40;4.20
14:44:53;-18.10;-30.00;-30.01;17.50;-17.40;-18.20;-17.69;12.40;4.20
14:44:55;-18.10;-30.00;-30.01;17.50;-17.40;-18.10;-17.70;12.40;4.10
14:44:57;-18.10;-30.00;-30.01;17.50;-17.40;-18.20;-17.72;12.40;4.20
14:44:59;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.71;12.40;4.20
14:45:01;-18.10;-30.00;-29.99;17.40;-17.40;-18.20;-17.71;12.40;4.20
14:45:03;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.71;12.30;4.10
14:45:05;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.69;12.30;4.20
14:45:07;-18.10;-30.00;-29.98;17.50;-17.40;-18.10;-17.70;12.30;4.20
14:45:09;-18.10;-30.00;-29.98;17.40;-17.40;-18.20;-17.70;12.30;4.20
14:45:11;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.72;12.30;4.10
14:45:13;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.72;12.30;4.20
14:45:15;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.71;12.30;4.20
14:45:17;-18.10;-30.00;-29.99;17.40;-17.40;-18.10;-17.71;12.30;4.20
14:45:19;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.70;12.30;4.10
14:45:21;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.69;12.30;4.20
14:45:23;-18.10;-30.00;-30.00;17.50;-17.40;-18.10;-17.71;12.30;4.20
14:45:25;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.73;12.20;4.20
14:45:27;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.72;12.20;4.20
14:45:29;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.71;12.30;4.10
14:45:31;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.73;12.30;4.10
14:45:33;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.74;12.20;4.20
14:45:35;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.75;12.20;4.20
14:45:37;-18.10;-30.00;-30.01;17.40;-17.40;-18.10;-17.76;12.20;4.10
14:45:39;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.75;12.20;4.20
14:45:41;-18.10;-30.00;-30.02;17.40;-17.40;-18.10;-17.76;12.20;4.20
14:45:43;-18.10;-30.00;-30.02;17.40;-17.40;-18.20;-17.76;12.20;4.20
14:45:45;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.77;12.20;4.20
14:45:47;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.77;12.20;4.20
14:45:49;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.78;12.20;4.20
14:45:51;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.77;12.20;4.20
14:45:53;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.77;12.20;4.10
14:45:55;-18.10;-30.00;-30.02;17.40;-17.40;-18.20;-17.78;12.20;4.20
14:45:57;-18.10;-30.00;-30.03;17.40;-17.40;-18.20;-17.77;12.20;4.20
14:45:59;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.76;12.20;4.10
14:46:01;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.76;12.20;4.10
14:46:03;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.77;12.20;4.20
14:46:05;-18.10;-30.00;-29.99;17.40;-17.40;-18.20;-17.77;12.20;4.10
14:46:07;-18.10;-30.00;-29.99;17.40;-17.40;-18.10;-17.78;12.10;4.10
14:46:09;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.79;12.10;4.20
14:46:11;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.81;12.10;4.20
14:46:13;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.82;12.10;4.20
14:46:15;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.81;12.10;4.10
14:46:17;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.81;12.10;4.20
14:46:19;-18.10;-30.00;-30.01;17.40;-17.40;-18.20;-17.80;12.10;4.10
14:46:21;-18.10;-30.00;-30.01;17.40;-17.40;-18.10;-17.79;12.10;4.20
14:46:23;-18.10;-30.00;-30.01;17.40;-17.40;-18.10;-17.80;12.10;4.10
14:46:25;-18.10;-30.00;-30.02;17.40;-17.40;-18.20;-17.82;12.10;4.20
14:46:27;-18.10;-30.00;-30.02;17.40;-17.40;-18.10;-17.82;12.10;4.20
14:46:29;-18.10;-30.00;-30.01;17.40;-17.40;-18.10;-17.82;12.10;4.20
14:46:31;-18.10;-30.00;-30.00;17.40;-17.40;-18.20;-17.82;12.10;4.20
14:46:33;-18.10;-30.00;-29.99;17.40;-17.40;-18.10;-17.82;12.10;4.20
14:46:35;-18.10;-30.00;-30.00;17.40;-17.40;-18.10;-17.81;12.10;4.20
