time (02.07.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:19:20;-18.10;-30.00;-30.02;19.40;-17.60;-18.10;-20.00;12.50;4.40
11:19:22;-18.10;-30.00;-30.02;19.40;-17.60;-18.20;-19.98;12.50;4.40
11:19:24;-18.10;-30.00;-30.04;19.40;-17.60;-18.10;-19.99;12.50;4.40
11:19:26;-18.10;-30.00;-30.02;19.40;-17.60;-18.20;-20.00;12.50;4.40
11:19:28;-18.10;-30.00;-30.01;19.40;-17.60;-18.10;-19.98;12.50;4.40
11:19:30;-18.10;-30.00;-30.01;19.40;-17.60;-18.20;-19.98;12.50;4.40
11:19:32;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-19.96;12.50;4.40
11:19:35;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-19.98;12.50;4.40
11:19:36;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-19.98;12.50;4.40
11:19:39;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-19.97;12.40;4.40
11:19:40;-18.10;-30.00;-30.01;19.40;-17.60;-18.10;-19.99;12.50;4.40
11:19:42;-18.10;-30.00;-30.02;19.40;-17.60;-18.10;-19.97;12.40;4.40
11:19:45;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-19.97;12.40;4.40
11:19:46;-18.10;-30.00;-29.99;19.40;-17.60;-18.10;-19.97;12.30;4.40
11:19:48;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-19.96;12.40;4.40
11:19:51;-18.10;-30.00;-30.02;19.40;-17.60;-18.10;-19.96;12.30;4.40
11:19:52;-18.10;-30.00;-30.00;19.40;-17.60;-18.10;-19.96;12.40;4.40
11:19:55;-18.10;-30.00;-30.01;19.40;-17.60;-18.10;-19.97;12.40;4.40
11:19:56;-18.10;-30.00;-30.02;19.40;-17.60;-18.10;-19.99;12.30;4.50
11:19:59;-18.10;-30.00;-30.01;19.40;-17.60;-18.10;-19.96;12.30;4.50
11:20:01;-18.10;-30.00;-30.00;19.30;-17.60;-18.10;-19.96;12.30;4.40
11:20:02;-18.10;-30.00;-29.97;19.30;-17.60;-18.10;-19.96;12.30;4.40
11:20:04;-18.10;-30.00;-29.97;19.40;-17.60;-18.10;-19.96;12.30;4.40
