time (02.07.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
11:05:45;-18.10;-30.00;-29.93;19.70;-18.00;-18.20;-19.89;18.70;4.70
11:05:47;-18.10;-30.00;-29.93;19.70;-18.00;-18.20;-19.89;18.70;4.70
11:05:49;-18.10;-30.00;-29.94;19.70;-17.90;-18.20;-19.86;18.70;4.60
11:05:51;-18.10;-30.00;-29.94;19.70;-17.90;-18.20;-19.87;18.60;4.60
11:05:53;-18.10;-30.00;-29.94;19.70;-17.90;-18.10;-19.86;18.60;4.60
11:05:55;-18.10;-30.00;-29.94;19.70;-17.90;-18.10;-19.83;18.60;4.60
11:05:57;-18.10;-30.00;-29.95;19.70;-17.90;-18.10;-19.83;18.60;4.60
11:05:59;-18.10;-30.00;-29.96;19.70;-17.90;-18.10;-19.83;18.50;4.60
11:06:01;-18.10;-30.00;-29.97;19.70;-17.90;-18.10;-19.82;18.50;4.70
11:06:03;-18.10;-30.00;-29.99;19.70;-17.90;-18.10;-19.80;18.50;4.70
11:06:05;-18.10;-30.00;-30.00;19.70;-17.90;-18.10;-19.80;18.40;4.70
11:06:07;-18.10;-30.00;-30.00;19.70;-17.90;-18.10;-19.80;18.40;4.60
11:06:09;-18.10;-30.00;-30.00;19.70;-17.90;-18.10;-19.79;18.30;4.60
11:06:11;-18.10;-30.00;-30.00;19.70;-17.90;-18.10;-19.79;18.30;4.60
11:06:13;-18.10;-30.00;-30.00;19.70;-17.90;-18.10;-19.80;18.30;4.70
11:06:15;-18.10;-30.00;-30.02;19.70;-17.90;-18.10;-19.82;18.30;4.60
11:06:17;-18.10;-30.00;-30.02;19.70;-17.90;-18.10;-19.82;18.20;4.60
11:06:19;-18.10;-30.00;-30.00;19.70;-17.90;-18.10;-19.79;18.20;4.60
11:06:21;-18.10;-30.00;-30.01;19.70;-17.90;-18.10;-19.77;18.20;4.70
11:06:23;-18.10;-30.00;-30.02;19.70;-17.90;-18.10;-19.76;18.20;4.70
11:06:25;-18.10;-30.00;-30.03;19.70;-17.80;-18.10;-19.76;18.20;4.60
11:06:27;-18.10;-30.00;-30.04;19.70;-17.80;-18.10;-19.78;18.10;4.70
11:06:29;-18.10;-30.00;-30.04;19.70;-17.80;-18.10;-19.77;18.00;4.60
11:06:31;-18.10;-30.00;-30.05;19.70;-17.80;-18.10;-19.78;18.10;4.60
11:06:33;-18.10;-30.00;-30.05;19.70;-17.80;-18.00;-19.79;18.10;4.60
11:06:35;-18.10;-30.00;-30.05;19.70;-17.80;-18.10;-19.77;18.00;4.60
11:06:37;-18.10;-30.00;-30.06;19.70;-17.80;-18.10;-19.77;18.00;4.60
11:06:39;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-19.76;18.00;4.60
11:06:41;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-19.76;18.00;4.60
11:06:43;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.77;18.00;4.60
11:06:45;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.77;18.00;4.60
11:06:47;-18.10;-30.00;-30.08;19.70;-17.70;-18.00;-19.78;17.90;4.60
11:06:49;-18.10;-30.00;-30.08;19.70;-17.70;-18.10;-19.77;17.90;4.60
11:06:51;-18.10;-30.00;-30.08;19.70;-17.70;-18.00;-19.77;17.90;4.60
11:06:53;-18.10;-30.00;-30.08;19.70;-17.70;-18.10;-19.75;17.80;4.60
11:06:55;-18.10;-30.00;-30.07;19.60;-17.70;-18.10;-19.75;17.80;4.60
11:06:57;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-19.76;17.80;4.60
11:06:59;-18.10;-30.00;-30.07;19.60;-17.70;-18.10;-19.76;17.70;4.60
11:07:01;-18.10;-30.00;-30.07;19.70;-17.70;-18.10;-19.75;17.70;4.60
11:07:03;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.74;17.70;4.60
11:07:05;-18.10;-30.00;-30.06;19.70;-17.70;-18.00;-19.74;17.70;4.60
11:07:07;-18.10;-30.00;-30.06;19.70;-17.70;-18.10;-19.76;17.70;4.60
11:07:09;-18.10;-30.00;-30.05;19.60;-17.70;-18.00;-19.76;17.70;4.60
11:07:11;-18.10;-30.00;-30.05;19.60;-17.70;-18.00;-19.76;17.70;4.60
11:07:13;-18.10;-30.00;-30.05;19.60;-17.70;-18.00;-19.75;17.60;4.50
11:07:15;-18.10;-30.00;-30.05;19.70;-17.70;-18.00;-19.70;17.60;4.60
11:07:17;-18.10;-30.00;-30.05;19.70;-17.70;-18.00;-19.71;17.60;4.60
11:07:19;-18.10;-30.00;-30.05;19.60;-17.70;-18.00;-19.74;17.60;4.60
11:07:21;-18.10;-30.00;-30.06;19.60;-17.70;-18.00;-19.73;17.60;4.60
11:07:23;-18.10;-30.00;-30.06;19.60;-17.70;-18.00;-19.73;17.60;4.60
11:07:25;-18.10;-30.00;-30.06;19.60;-17.70;-18.00;-19.73;17.50;4.60
11:07:27;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.73;17.50;4.60
11:07:29;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.73;17.50;4.50
11:07:31;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.72;17.50;4.60
11:07:33;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.72;17.50;4.50
11:07:35;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.73;17.50;4.60
11:07:37;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.73;17.50;4.60
11:07:39;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.72;17.50;4.60
11:07:41;-18.10;-30.00;-30.07;19.70;-17.70;-18.00;-19.75;17.50;4.60
11:07:43;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.73;17.50;4.60
11:07:45;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.76;17.40;4.60
11:07:47;-18.10;-30.00;-30.06;19.60;-17.70;-18.00;-19.76;17.40;4.60
11:07:49;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.77;17.30;4.60
11:07:51;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.78;17.30;4.60
11:07:53;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.76;17.20;4.60
11:07:55;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.76;17.20;4.60
11:07:57;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.76;17.20;4.50
11:07:59;-18.10;-30.00;-30.06;19.60;-17.60;-18.00;-19.76;17.20;4.60
11:08:01;-18.10;-30.00;-30.07;19.60;-17.70;-18.00;-19.78;17.20;4.60
11:08:03;-18.10;-30.00;-30.08;19.60;-17.60;-18.00;-19.79;17.20;4.50
11:08:05;-18.10;-30.00;-30.09;19.60;-17.70;-18.00;-19.78;17.20;4.60
11:08:07;-18.10;-30.00;-30.09;19.60;-17.60;-18.00;-19.79;17.20;4.60
11:08:09;-18.10;-30.00;-30.08;19.60;-17.60;-18.10;-19.80;17.10;4.60
11:08:11;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.77;17.10;4.60
11:08:13;-18.10;-30.00;-30.07;19.60;-17.60;-18.10;-19.76;17.10;4.60
11:08:15;-18.10;-30.00;-30.08;19.60;-17.60;-18.00;-19.76;17.10;4.60
11:08:17;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.79;17.10;4.60
11:08:19;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.79;17.00;4.50
11:08:21;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.81;17.00;4.60
11:08:23;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.78;17.00;4.50
11:08:25;-18.10;-30.00;-30.07;19.60;-17.60;-18.00;-19.78;16.90;4.60
11:08:27;-18.10;-30.00;-30.06;19.60;-17.60;-18.00;-19.81;16.90;4.60
11:08:29;-18.10;-30.00;-30.05;19.60;-17.60;-18.00;-19.83;16.90;4.60
11:08:31;-18.10;-30.00;-30.04;19.60;-17.60;-18.00;-19.82;16.90;4.50
11:08:33;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.81;16.80;4.50
11:08:35;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.82;16.80;4.50
11:08:37;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.83;16.80;4.60
11:08:39;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.85;16.70;4.60
11:08:41;-18.10;-30.00;-30.06;19.60;-17.60;-18.00;-19.83;16.70;4.60
11:08:43;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.82;16.70;4.60
11:08:45;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.83;16.60;4.60
11:08:47;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.85;16.60;4.60
11:08:49;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.86;16.60;4.60
11:08:51;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.85;16.50;4.50
11:08:53;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.84;16.50;4.50
11:08:55;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.84;16.50;4.60
11:08:57;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.86;16.50;4.50
11:08:59;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.83;16.50;4.50
11:09:01;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.83;16.50;4.50
11:09:03;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.84;16.50;4.60
11:09:05;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.85;16.40;4.60
11:09:07;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.83;16.40;4.50
11:09:09;-18.10;-30.00;-30.04;19.60;-17.60;-18.10;-19.84;16.40;4.50
11:09:11;-18.10;-30.00;-30.04;19.60;-17.60;-18.10;-19.84;16.40;4.60
11:09:13;-18.10;-30.00;-30.04;19.60;-17.60;-18.10;-19.85;16.40;4.50
11:09:15;-18.10;-30.00;-30.03;19.60;-17.60;-18.10;-19.83;16.40;4.50
11:09:17;-18.10;-30.00;-30.05;19.50;-17.60;-18.10;-19.82;16.30;4.50
11:09:19;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.82;16.30;4.60
11:09:21;-18.10;-30.00;-30.04;19.60;-17.60;-18.00;-19.85;16.30;4.50
11:09:23;-18.10;-30.00;-30.04;19.50;-17.60;-18.00;-19.85;16.30;4.50
11:09:25;-18.10;-30.00;-30.04;19.60;-17.60;-18.00;-19.83;16.30;4.50
11:09:27;-18.10;-30.00;-30.04;19.60;-17.60;-18.00;-19.84;16.30;4.60
11:09:29;-18.10;-30.00;-30.04;19.60;-17.60;-18.00;-19.83;16.30;4.50
11:09:31;-18.10;-30.00;-30.05;19.50;-17.60;-18.10;-19.84;16.30;4.50
11:09:33;-18.10;-30.00;-30.06;19.50;-17.60;-18.10;-19.85;16.20;4.50
11:09:35;-18.10;-30.00;-30.06;19.50;-17.60;-18.10;-19.83;16.20;4.50
11:09:37;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.83;16.20;4.60
11:09:39;-18.10;-30.00;-30.06;19.60;-17.60;-18.10;-19.86;16.20;4.60
11:09:41;-18.10;-30.00;-30.05;19.60;-17.60;-18.10;-19.88;16.20;4.60
11:09:43;-18.10;-30.00;-30.05;19.50;-17.60;-18.10;-19.87;16.20;4.60
11:09:45;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.87;16.20;4.50
11:09:47;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.89;16.10;4.60
11:09:49;-18.10;-30.00;-30.04;19.60;-17.60;-18.10;-19.88;16.10;4.60
11:09:51;-18.10;-30.00;-30.05;19.50;-17.60;-18.10;-19.88;16.10;4.50
11:09:53;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.91;16.10;4.50
11:09:55;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.89;16.10;4.60
11:09:57;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.89;16.00;4.50
11:09:59;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.89;16.00;4.50
11:10:01;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.90;16.00;4.50
11:10:03;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.91;15.90;4.50
11:10:05;-18.10;-30.00;-30.03;19.60;-17.60;-18.10;-19.92;15.90;4.50
11:10:07;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.92;15.90;4.50
11:10:09;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.91;15.90;4.50
11:10:11;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.92;15.90;4.50
11:10:13;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.94;15.90;4.50
11:10:15;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.95;15.90;4.60
11:10:17;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.94;15.90;4.50
11:10:19;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.90;15.80;4.50
11:10:21;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.89;15.90;4.50
11:10:23;-18.10;-30.00;-30.01;19.50;-17.60;-18.20;-19.89;15.80;4.50
11:10:25;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.89;15.80;4.50
11:10:27;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.89;15.80;4.50
11:10:29;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.91;15.80;4.50
11:10:31;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.90;15.80;4.50
11:10:33;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.91;15.70;4.50
11:10:35;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.93;15.70;4.60
11:10:37;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.91;15.70;4.60
11:10:39;-18.10;-30.00;-30.00;19.50;-17.60;-18.10;-19.90;15.60;4.50
11:10:41;-18.10;-30.00;-30.00;19.50;-17.60;-18.10;-19.89;15.70;4.50
11:10:44;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.90;15.60;4.50
11:10:45;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.91;15.60;4.50
11:10:47;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.90;15.60;4.50
11:10:49;-18.10;-30.00;-30.01;19.50;-17.60;-18.10;-19.91;15.60;4.50
11:10:51;-18.10;-30.00;-30.01;19.50;-17.60;-18.10;-19.91;15.60;4.50
11:10:53;-18.10;-30.00;-30.01;19.50;-17.60;-18.10;-19.92;15.60;4.50
11:10:55;-18.10;-30.00;-30.01;19.50;-17.60;-18.10;-19.93;15.50;4.50
11:10:57;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.93;15.50;4.50
11:10:59;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.92;15.50;4.50
11:11:01;-18.10;-30.00;-30.04;19.50;-17.60;-18.20;-19.92;15.50;4.50
11:11:03;-18.10;-30.00;-30.04;19.50;-17.60;-18.10;-19.93;15.50;4.50
11:11:05;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.93;15.50;4.50
11:11:07;-18.10;-30.00;-30.00;19.50;-17.60;-18.10;-19.91;15.50;4.50
11:11:09;-18.10;-30.00;-29.99;19.50;-17.60;-18.10;-19.93;15.50;4.50
11:11:11;-18.10;-30.00;-30.00;19.50;-17.60;-18.20;-19.93;15.40;4.50
11:11:13;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.95;15.40;4.60
11:11:15;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.94;15.40;4.50
11:11:17;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.94;15.40;4.50
11:11:19;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.94;15.40;4.60
11:11:21;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.94;15.40;4.50
11:11:23;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.96;15.30;4.50
11:11:26;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.94;15.30;4.50
11:11:27;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.95;15.30;4.50
11:11:29;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.98;15.30;4.50
11:11:31;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.96;15.30;4.50
11:11:33;-18.10;-30.00;-30.04;19.50;-17.60;-18.20;-19.95;15.20;4.50
11:11:36;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.96;15.20;4.50
11:11:37;-18.10;-30.00;-30.00;19.50;-17.60;-18.20;-19.95;15.20;4.50
11:11:39;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.96;15.20;4.60
11:11:42;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.97;15.20;4.50
11:11:44;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.93;15.20;4.50
11:11:46;-18.10;-30.00;-30.03;19.50;-17.60;-18.20;-19.93;15.20;4.60
11:11:47;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.95;15.20;4.50
11:11:49;-18.10;-30.00;-30.02;19.50;-17.60;-18.20;-19.94;15.10;4.50
11:11:51;-18.10;-30.00;-30.00;19.50;-17.60;-18.20;-19.93;15.10;4.50
11:11:53;-18.10;-30.00;-30.01;19.50;-17.60;-18.20;-19.92;15.10;4.50
11:11:55;-18.10;-30.00;-30.00;19.50;-17.60;-18.20;-19.93;15.00;4.50
11:11:58;-18.10;-30.00;-30.00;19.50;-17.60;-18.20;-19.93;15.10;4.50
11:11:59;-18.10;-30.00;-30.01;19.50;-17.60;-18.10;-19.96;15.10;4.50
11:12:01;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.93;15.10;4.50
11:12:04;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.92;15.20;4.50
11:12:06;-18.10;-30.00;-30.03;19.50;-17.60;-18.10;-19.91;15.20;4.50
11:12:08;-18.10;-30.00;-30.02;19.50;-17.60;-18.10;-19.90;15.20;4.50
11:12:10;-18.10;-30.00;-30.00;19.50;-17.60;-18.10;-19.91;15.20;4.50
11:12:12;-18.10;-30.00;-30.00;19.50;-17.60;-18.10;-19.93;15.20;4.50
