campaign,sensor_id,annealing_time,sat_V_CV,sat_V_err_down_CV,sat_V_err_up_CV,low_fit_start_CV,low_fit_stop_CV,high_fit_start_CV,high_fit_stop_CV,sat_V_TCT,sat_V_err_down_TCT,sat_V_err_up_TCT,low_fit_start_TCT,low_fit_stop_TCT,high_fit_start_TCT,high_fit_stop_TCT
DoubleIrrNeutron2025,100264_UL,noadd,827.0,21.0,22.0,583.0,683.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UL,6days,503.0,13.0,15.0,311.0,439.0,786.0,895.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UL,13days,427.0,8.0,8.0,256.0,367.0,778.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UL,19days,415.0,6.0,7.0,259.0,347.0,778.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR1,noadd,861.0,28.0,31.0,620.0,736.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR1,270min,610.0,14.0,21.0,391.0,530.0,828.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR1,680min,492.0,12.0,16.0,288.0,437.0,709.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR1,1100min,445.0,22.0,25.0,267.0,407.0,709.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR2,noadd,818.0,23.0,32.0,513.0,687.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR2,30min,568.0,10.0,13.0,363.0,488.0,796.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR2,54min,482.0,9.0,9.0,311.0,412.0,691.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UR2,80min,449.0,8.0,10.0,264.0,388.0,691.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_LL1,noadd,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_LL1,30min,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_LL1,54min,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_LL1,80min,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UL,noadd,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UL,6days,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UL,13days,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UL,19days,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UR1,noadd,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UR1,270min,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UR1,680min,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UR1,1100min,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_LL1,noadd,642.0,21.0,28.0,387.0,538.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_LL1,6days,420.0,16.0,17.0,262.0,385.0,593.0,894.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_LL1,13days,345.0,9.0,8.0,216.0,314.0,593.0,894.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_LL1,19days,345.0,11.0,9.0,216.0,314.0,593.0,894.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR1,noadd,525.0,11.0,13.0,339.0,461.0,761.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR1,270min,403.0,8.0,10.0,237.0,362.0,685.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR1,680min,332.0,10.0,12.0,191.0,314.0,635.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR1,1100min,306.0,11.0,9.0,185.0,289.0,635.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR2,noadd,537.0,7.0,9.0,335.0,461.0,760.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR2,30min,367.0,11.0,10.0,236.0,337.0,634.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR2,54min,339.0,10.0,8.0,215.0,313.0,634.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR2,80min,318.0,10.0,10.0,211.0,289.0,634.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_LR,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_LR,6days,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_LR,13days,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_LR,19days,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UL,noadd,526.0,16.0,17.0,339.0,465.0,778.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UL,6days,321.0,8.0,7.0,186.0,289.0,508.0,894.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UL,13days,284.0,10.0,9.0,165.0,260.0,508.0,894.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UL,19days,260.0,8.0,6.0,140.0,235.0,658.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR1,noadd,509.0,11.0,12.0,325.0,441.0,796.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR1,270min,353.0,9.0,8.0,212.0,312.0,577.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR1,680min,299.0,6.0,5.0,158.0,266.0,577.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR1,1100min,269.0,8.0,8.0,158.0,230.0,577.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR2,noadd,519.0,7.0,10.0,309.0,441.0,691.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR2,30min,353.0,8.0,7.0,210.0,312.0,564.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR2,54min,304.0,14.0,14.0,158.0,288.0,564.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200206_UR2,80min,281.0,11.0,9.0,158.0,260.0,564.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200422_UR1,noadd,716.0,22.0,27.0,460.0,613.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200422_UR1,30min,481.0,9.0,9.0,312.0,410.0,796.0,905.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200422_UR1,54min,440.0,8.0,10.0,264.0,385.0,660.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200422_UR1,80min,406.0,10.0,10.0,264.0,364.0,660.0,899.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200422_UR2,noadd,644.0,19.0,25.0,387.0,538.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200422_UR2,270min,495.0,15.0,17.0,311.0,437.0,691.0,899.0,nan,nan,nan,nan,nan,nan,nan
