time (13.01.2026);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
14:52:44;-900;-899.9531;6.384121783996563e-11;2.453565599193824e+20;6.384101844427693e-11;2000.0;2202.911;10.11695907622443;-1246490.5;10.379667624736353;-5.936099e-09
14:53:03;-875;-874.9763;6.383704394607586e-11;2.4538864554435373e+20;6.383685862642872e-11;2000.0;2123.9405;460.1234507501628;-1246572.0;19.07354188398159;0.0001632297
14:53:23;-850;-850.0215;6.384060324463664e-11;2.4536128405148182e+20;6.38404161395416e-11;2000.0;2133.969;10.615651508503843;-1246502.5;13.525438994723979;9.813104e-09
14:53:43;-825;-825.0311;6.3833997092122e-11;2.4541207134384275e+20;6.383391909948932e-11;2000.0;1377.9679999999998;24.201451977102536;-1246631.5;8.639299740140979;0.0001638414
14:54:02;-800;-800.0151;6.384290803813822e-11;2.4534356879061077e+20;6.384272506131282e-11;2000.0;2110.1815;10.843469723179007;-1246457.5;7.479137650825796;1.412311e-08
14:54:22;-775;-774.9979;6.383420191352082e-11;2.4541049646512282e+20;6.383401480798778e-11;2000.0;2134.2924999999996;737.071446614531;-1246627.5;42.337188144703234;0.0001642531
14:54:41;-750;-749.9896;6.384603257947826e-11;2.453195557913884e+20;6.384584272911577e-11;2000.0;2149.2930000000006;8.960343578792049;-1246396.5;10.565864848652948;1.54528e-08
14:55:01;-725;-725.0084;6.383468836961095e-11;2.454067561484154e+20;6.383461555290482e-11;2000.0;1331.4374999999995;35.7960679046945;-1246618.0;6.148170459575759;0.0001640654
14:55:21;-700;-700.0517;6.384531544458883e-11;2.4532506686763054e+20;6.384511910293784e-11;2000.0;2185.7650000000003;8.31806508450133;-1246410.5;8.107866550455798;1.854895e-08
14:55:41;-675;-675.0551;6.383832422359339e-11;2.4537880310505184e+20;6.383817743673263e-11;2000.0;1890.2184999999997;595.1597025795998;-1246547.0;30.668387632870427;0.0001642425
14:56:00;-650;-650.0573;6.38434202370719e-11;2.453396321528252e+20;6.384322427794002e-11;2000.0;2183.732;8.635369986283154;-1246447.5;8.714212528966687;1.655833e-08
14:56:20;-625;-625.0176;6.38407568923595e-11;2.4536010301419333e+20;6.384054235346114e-11;2000.0;2285.056;531.4191033080199;-1246499.5;29.550592210647824;0.0001647286
14:56:40;-600;-600.0017;6.384380439166561e-11;2.4533667969521218e+20;6.384361977361195e-11;2000.0;2119.5795;10.346535349453935;-1246440.0;7.681145747868607;2.052882e-08
14:56:59;-575;-575.0153;6.383668547757317e-11;2.4539140146273088e+20;6.383660979308867e-11;2000.0;1357.3389999999997;19.812068669121853;-1246579.0;9.270922284217466;0.0001642837
14:57:19;-550;-550.0701;6.384715953828297e-11;2.453108956537898e+20;6.384697183522783e-11;2000.0;2137.047;11.768268417656012;-1246374.5;10.546918981389778;1.627979e-08
14:57:39;-525;-525.0748;6.383642943110747e-11;2.4539336998533235e+20;6.383616288431021e-11;2000.0;2547.2695;731.1892328455318;-1246584.0;38.99615365648258;0.0001612589
14:57:58;-500;-500.0557;6.384810723898122e-11;2.4530361338367138e+20;6.384791805271685e-11;2000.0;2145.4260000000004;8.319935678837913;-1246356.0;10.545141061171252;2.082276e-08
14:58:17;-475;-475.0143;6.383722318183692e-11;2.4538726759096848e+20;6.383715247508601e-11;2000.0;1311.9274999999998;28.1310420343346;-1246568.5;7.6900910267694496;0.0001648043
14:58:37;-450;-449.9933;6.384728760430086e-11;2.4530991155691674e+20;6.384709042997182e-11;2000.0;2190.2935000000007;11.02437391136114;-1246372.0;11.104053313993047;2.43062e-08
14:58:56;-425;-425.024;6.384359950864032e-11;2.4533825433706162e+20;6.38434011898032e-11;2000.0;2196.8315;482.88575146678073;-1246444.0;20.632498636859278;0.0001641673
14:59:16;-400;-400.0655;6.384654482854851e-11;2.4531561934625758e+20;6.384635384055664e-11;2000.0;2155.6969999999997;7.467561620100639;-1246386.5;11.407782431305392;2.158639e-08
14:59:35;-375;-375.0747;6.384196049177657e-11;2.453508516537738e+20;6.384187481054291e-11;2000.0;1444.0225;57.27628470787452;-1246476.0;7.886697661252141;0.0001643473
14:59:54;-350;-350.0586;6.384997710935892e-11;2.452892459785577e+20;6.384979096824257e-11;2000.0;2127.996;7.352841879164815;-1246319.5;8.320907402441154;2.001495e-08
15:00:14;-325;-325.0337;6.384293364788972e-11;2.453433719579713e+20;6.384267774216914e-11;2000.0;2495.524;622.3208437877522;-1246457.0;35.86153928653927;0.0001643926
15:00:34;-300;-300.015;6.385289739998409e-11;2.452668100505287e+20;6.385270817272351e-11;2000.0;2145.417;8.982526234306247;-1246262.5;8.0583807306431;1.931582e-08
15:00:53;-275;-275.023;6.384206292786506e-11;2.4535006431200458e+20;6.384193192077713e-11;2000.0;1785.5730000000003;453.7618637700286;-1246474.0;24.211567483333248;0.0001643536
15:01:13;-250;-250.0612;6.38572014731017e-11;2.452337484479736e+20;6.385699736344903e-11;2000.0;2227.9619999999995;11.190792858417137;-1246178.5;11.984886315689439;1.680926e-08
15:01:32;-225;-225.0712;6.385838007050298e-11;2.4522469625494713e+20;6.385807405460333e-11;2000.0;2727.9494999999997;753.9637606747008;-1246155.5;34.71653064463671;0.0001638983
15:01:52;-200;-200.0732;6.386634955533521e-11;2.4516349994178632e+20;6.38661576302461e-11;2000.0;2159.9739999999997;10.52255744579235;-1246000.0;10.88577052853862;1.681623e-08
15:02:08;-190;-190.0545;6.387406468112535e-11;2.4510427862813504e+20;6.387398365613441e-11;2000.0;1403.179;11.703714493698145;-1245849.5;9.911483239152453;2.822062e-05
15:02:25;-180;-180.0377;6.387152694235061e-11;2.4512375594512892e+20;6.387134492833271e-11;2000.0;2103.2079999999996;9.049230287709548;-1245899.0;10.62779375035101;1.783164e-08
15:02:41;-170;-170.0158;6.387155257506745e-11;2.4512355920068434e+20;6.387145581130839e-11;2000.0;1533.5065;84.54766106544581;-1245898.5;10.73021435014231;2.814997e-05
15:02:58;-160;-160.0211;6.387383396926741e-11;2.451060492613388e+20;6.38736397933441e-11;2000.0;2172.221;10.558731242436284;-1245854.0;10.592450141492288;1.858433e-08
15:03:14;-150;-149.997;6.387498754522395e-11;2.4509719615927514e+20;6.387490491496907e-11;2000.0;1416.98;93.34751565788989;-1245831.5;9.414749067287985;2.815869e-05
15:03:30;-140;-140.0173;6.387403904639216e-11;2.4510447536484188e+20;6.387385726474968e-11;2000.0;2101.7409999999995;7.199050211659863;-1245850.0;9.874208829065749;2.295933e-08
15:03:47;-130;-130.0183;6.388442279693709e-11;2.4502480345804194e+20;6.38843168888157e-11;2000.0;1603.846;115.14926238235311;-1245647.5;7.206767652699787;2.593883e-05
15:04:03;-120;-120.0453;6.389711863332879e-11;2.449274442706995e+20;6.389693514670311e-11;2000.0;2110.4305;8.061477360726128;-1245400.0;8.74642784226795;1.910764e-08
15:04:20;-110;-110.0482;6.393382385579297e-11;2.4464629307036854e+20;6.393373444379455e-11;2000.0;1471.9475;84.62391767070052;-1244685.0;10.571187255932987;2.806218e-05
15:04:37;-100;-100.0744;6.417087796739073e-11;2.4284213228261782e+20;6.417074342542789e-11;2000.0;1795.6119999999999;9.152896962164492;-1240087.0;6.523036102920173;2.044454e-08
15:04:53;-90;-90.05685;-6.470949453427904e-11;2.388163108024436e+20;-6.470940549673718e-11;2000.0;-1442.5305000000003;162.52112719962747;-1229765.0;74.48657597178165;2.81114e-05
15:05:10;-80;-80.08179;6.544385638075067e-11;2.33486746844109e+20;6.544372615432972e-11;2000.0;1715.2869999999998;8.423178826903774;-1215965.5;6.9453221667536775;1.822406e-08
15:05:26;-70;-70.07655;6.651137787398182e-11;2.260518731647097e+20;6.651129087304645e-11;2000.0;1368.3854999999999;92.88103353073488;-1196449.0;138.85406007747847;2.795592e-05
15:05:42;-60;-60.07755;-6.80536129902446e-11;2.1592236380525586e+20;-6.805353532566211e-11;2000.0;-1249.1802500000001;31.85562537542427;-1169335.0;39.92179855667828;1.44966e-08
15:05:59;-50;-50.05793;-6.994465824070822e-11;2.0440470821019854e+20;-6.993180786927337e-11;2000.0;-15422.544999999998;286.37630422880653;-1137720.5;203.2799485930671;2.536391e-05
15:06:16;-40;-40.06228;-7.264280753193074e-11;1.8950241925990377e+20;-7.256264976237237e-11;2000.0;-36409.42;303.0067356182036;-1095462.5;299.8190079031014;1.358131e-08
15:06:32;-30;-30.04264;-7.642633723539512e-11;1.7120400001453985e+20;-7.616761309832151e-11;2000.0;-60684.86499999999;379.8651660309876;-1041231.0;639.4262662731334;2.795037e-05
15:06:48;-20;-19.99993;-8.205539683051493e-11;1.4852025962953536e+20;-8.150924845196217e-11;2000.0;-79384.345;456.71378468768603;-969801.8;343.1596465203914;6.876443e-09
