Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-3.789054e-08,2523.7616977777784,2523.7616977777784,794.4032000000002,3.627641441317683,0.7588812947068843,0.7588812947068843
1,-850.0,-1.119154e-07,2533.9526037333335,2533.9526037333335,793.4616000000002,3.456467489060665,0.9633448746861152,0.9633448746861152
2,-800.0,-1.061234e-07,2506.697644088889,2506.697644088889,781.5008000000001,3.6668140834581346,0.7595684188855675,0.7595684188855675
3,-750.0,-1.158041e-07,2508.212948266667,2508.212948266667,777.2144000000003,3.5700745104953895,0.8822115207126237,0.8822115207126237
4,-700.0,-1.089742e-07,2494.8412245333334,2494.8412245333334,767.5968000000003,3.651838733107231,0.7003743788803254,0.7003743788803254
5,-650.0,-9.419772e-08,2461.4647132444447,2461.4647132444447,752.6416,3.998548838504562,0.9466581189875938,0.9466581189875938
6,-600.0,-8.598793e-08,2387.0308565333335,2387.0308565333335,724.7072000000002,4.675476853465206,1.0116469835789155,1.0116469835789155
7,-550.0,-9.746987e-08,2499.2642734222227,2499.2642734222227,748.5328000000002,3.568112567396085,0.8037636088510596,0.8037636088510596
8,-500.0,-9.735564e-08,2527.0164529777776,2527.0164529777776,747.0104000000001,3.3724076830539027,0.7957152246375602,0.7957152246375602
9,-450.0,-9.370245e-08,2566.1886343111114,2566.1886343111114,746.6376000000001,3.1476779054446937,0.8180324570452706,0.8180324570452706
10,-400.0,-2.78376e-07,2584.6915502222223,2584.6915502222223,738.7544000000003,3.0579654875039766,0.7522734997420036,0.7522734997420036
11,-350.0,-7.919587e-08,2598.1635473777783,2598.1635473777783,726.6744000000002,3.0160525540530423,0.8343959144674659,0.8343959144674659
12,-300.0,7.080271e-08,2608.7299047111114,2608.7299047111114,709.7592000000001,3.0077185124760866,0.780954750238448,0.780954750238448
13,-275.0,4.97612e-08,2616.3538919111106,2616.3538919111106,699.0120000000002,2.9730301029201063,0.7349745641748413,0.7349745641748413
14,-250.0,-9.180273e-08,2622.3355224888887,2622.3355224888887,686.6496000000001,2.9468718838913137,0.7074426656966616,0.7074426656966616
15,-225.0,-8.145518e-08,2630.663723733333,2630.663723733333,671.3552000000002,2.9463915183454117,0.7601720701344412,0.7601720701344412
16,-200.0,-8.336669e-08,2635.6522439111113,2635.6522439111113,651.5568000000001,2.980329552691601,0.6958864185979757,0.6958864185979757
17,-175.0,-7.732276e-08,2643.203230222223,2643.203230222223,626.796,2.9399125728665414,0.7516965306960515,0.7516965306960515
18,-150.0,-7.392583e-08,2644.749488711111,2644.749488711111,594.7864,2.997431113111178,0.7792333688986404,0.7792333688986404
19,-125.0,-8.225062e-08,2641.9487502222223,2641.9487502222223,553.0184,2.988726607936507,0.8279898942424856,0.8279898942424856
20,-100.0,-9.232913e-08,2582.7796405333333,2582.7796405333333,490.6376000000001,3.006543456189443,0.8369563594644598,0.8369563594644598
21,-75.0,-6.805076e-08,2414.6904860444447,2414.6904860444447,401.2768,3.026901048963657,0.8043468118196799,0.8043468118196799
22,-50.0,-6.716069e-08,1931.791627377778,1931.791627377778,294.6928,3.0454188429196205,0.707737766501465,0.707737766501465
