Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.891016e-06,2055.3793500837523,2055.3793500837523,638.3517587939698,2.6838013346890004,1.070246321919831,1.070246321919831
1,-800.0,-1.720404e-06,2054.0388341708544,2054.0388341708544,632.7638190954774,2.447285686432685,1.1590376561724771,1.1590376561724771
2,-700.0,-1.643437e-06,2081.226773869347,2081.226773869347,631.9195979899497,2.2054862101883703,1.509972092868436,1.509972092868436
3,-600.0,-1.560194e-06,2104.9717744276945,2104.9717744276945,627.9396984924623,2.05099338326237,0.9567359440527963,0.9567359440527963
4,-500.0,-1.465527e-06,2072.005503070911,2072.005503070911,603.6984924623116,1.9678738587059084,1.2119142176954885,1.2119142176954885
5,-400.0,-1.38239e-06,2007.718914572865,2007.718914572865,564.1005025125628,2.0504531272071596,1.0387904799230712,1.0387904799230712
6,-350.0,-1.368e-06,1978.4597833612509,1978.4597833612509,539.2964824120603,2.1106123082067496,0.8246142332978565,0.8246142332978565
7,-300.0,-1.2921e-06,1930.318347292016,1930.318347292016,501.26633165829145,2.2711061451756613,1.0125980701796011,1.0125980701796011
8,-250.0,-1.245792e-06,1828.2746175321045,1828.2746175321045,439.1959798994975,2.281818147261279,1.0112385147837881,1.0112385147837881
9,-200.0,-1.177961e-06,1577.4995689558903,1577.4995689558903,358.1105527638191,2.2983397533368515,0.9486783867143866,0.9486783867143866
10,-150.0,-1.048464e-06,1214.994992741485,1214.994992741485,272.40201005025125,2.5228522510546663,1.21349269731115,1.21349269731115
11,-100.0,-9.948164e-07,865.3058001116693,865.3058001116693,190.35175879396985,2.3685970198357085,0.9094045052941173,0.9094045052941173
