Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.000104985,2349.1690311111115,2349.1690311111115,742.84,1.5947886736430776,0.8746065922459069,0.8746065922459069
1,-800.0,-5.853146e-07,2329.0645511111115,2329.0645511111115,729.96,1.7481630429371737,0.7882669111411411,0.7882669111411411
2,-700.0,0.000102186,2302.8048000000003,2302.8048000000003,714.28,1.882721434519722,1.0145821350684228,1.0145821350684228
3,-600.0,-4.700226e-07,2279.531502222222,2279.531502222222,697.08,1.9019056200701234,0.8309962483669766,0.8309962483669766
4,-500.0,9.966488e-05,2259.28896,2259.28896,677.8,2.112384224309373,0.8388599577998721,0.8388599577998721
5,-400.0,-4.314659e-07,2249.604924444445,2249.604924444445,654.08,2.092707750354803,0.7294258037662241,0.7294258037662241
6,-300.0,0.0001049616,2232.2344888888892,2232.2344888888892,617.56,2.2632361840274995,0.7287271181999485,0.7287271181999485
7,-200.0,-4.160536e-07,2212.1386133333335,2212.1386133333335,556.88,2.3181236665314757,0.9791762350057257,0.9791762350057257
8,-175.0,-4.632172e-07,2209.913582222222,2209.913582222222,533.4,2.296113936606053,1.1187638835786557,1.1187638835786557
9,-150.0,-4.408487e-07,2195.3466311111115,2195.3466311111115,501.32,2.202939405587761,0.9099399540629102,0.9099399540629102
10,-125.0,-4.211695e-07,2143.346524444444,2143.346524444444,454.84,2.1462393869680145,0.8259536529370176,0.8259536529370176
11,-100.0,-4.032524e-07,1938.5708977777779,1938.5708977777779,384.12,2.0071429359744406,0.7756363601585414,0.7756363601585414
12,-75.0,-3.612934e-07,1545.8448533333337,1545.8448533333337,302.4,1.9513162509216981,0.7663949811944151,0.7663949811944151
13,-50.0,-2.990857e-07,1092.6775822222219,1092.6775822222219,214.24,2.082173887734988,0.540260926590109,0.540260926590109
