Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.115124e-06,2168.99777107761,2168.99777107761,677.2261306532663,2.2716728183433292,1.0481285077946185,1.0481285077946185
1,-800.0,-1.047422e-06,2143.9850809603577,2143.9850809603577,662.9949748743719,2.3741336027522943,1.2241690329383477,1.2241690329383477
2,-700.0,-9.830196e-07,2151.7519151312117,2151.7519151312117,656.4824120603015,2.567866087320975,1.2907121146693825,1.2907121146693825
3,-600.0,-9.368628e-07,2110.134083752094,2110.134083752094,633.6482412060302,2.7003635975032063,0.982654148335828,0.982654148335828
4,-500.0,-9.261595e-07,2101.385219430486,2101.385219430486,616.321608040201,2.870914742868847,1.2149016790204974,1.2149016790204974
5,-400.0,-1.034215e-06,2082.7447102177553,2082.7447102177553,591.4371859296482,2.9635609645813528,1.0837000618832613,1.0837000618832613
6,-300.0,-8.164434e-07,2070.5532819653818,2070.5532819653818,557.9497487437186,2.9872424540734777,0.9434645310163228,0.9434645310163228
7,-250.0,-1.00965e-06,2066.952879955332,2066.952879955332,533.2663316582915,2.956833330748492,0.9485213663589821,0.9485213663589821
8,-200.0,-8.295377e-07,2039.4213556672248,2039.4213556672248,488.8040201005025,3.0134796861110837,1.0826840394642205,1.0826840394642205
9,-150.0,-7.811227e-07,1833.6152227805692,1833.6152227805692,395.4572864321608,2.8758477037965187,0.9448615095523226,0.9448615095523226
10,-100.0,-6.784629e-07,1321.532069235064,1321.532069235064,277.7889447236181,2.9498501999017632,0.8061224139812985,0.8061224139812985
11,-50.0,3.825746e-07,730.7620055834726,730.7620055834726,150.95477386934672,2.9451504380517077,0.6055108789623124,0.6055108789623124
