time (16.12.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
07:56:47;-18.10;-30.00;-30.08;21.30;-18.50;-18.30;-20.62;11.30;3.40
07:56:49;-18.10;-30.00;-30.07;21.30;-18.50;-18.30;-20.63;11.30;3.40
07:56:51;-18.10;-30.00;-30.06;21.30;-18.50;-18.20;-20.61;11.30;3.40
07:56:53;-18.10;-30.00;-30.07;21.30;-18.50;-18.20;-20.61;11.30;3.40
07:56:55;-18.10;-30.00;-30.08;21.30;-18.50;-18.20;-20.60;11.20;3.40
07:56:57;-18.10;-30.00;-30.09;21.30;-18.50;-18.20;-20.60;11.20;3.40
07:56:59;-18.10;-30.00;-30.09;21.30;-18.50;-18.20;-20.59;11.10;3.40
07:57:01;-18.10;-30.00;-30.08;21.30;-18.50;-18.10;-20.58;11.10;3.40
07:57:03;-18.10;-30.00;-30.09;21.30;-18.50;-18.10;-20.57;11.20;3.40
07:57:05;-18.10;-30.00;-30.08;21.30;-18.50;-18.10;-20.57;11.20;3.50
07:57:07;-18.10;-30.00;-30.08;21.30;-18.50;-18.10;-20.57;11.30;3.40
07:57:09;-18.10;-30.00;-30.08;21.30;-18.50;-18.10;-20.56;11.30;3.40
07:57:11;-18.10;-30.00;-30.07;21.30;-18.50;-18.20;-20.55;11.30;3.40
07:57:13;-18.10;-30.00;-30.07;21.30;-18.50;-18.20;-20.55;11.40;3.40
07:57:15;-18.10;-30.00;-30.07;21.30;-18.50;-18.10;-20.54;11.40;3.50
07:57:17;-18.10;-30.00;-30.07;21.30;-18.50;-18.20;-20.54;11.40;3.50
07:57:19;-18.10;-30.00;-30.06;21.30;-18.50;-18.10;-20.54;11.40;3.40
07:57:21;-18.10;-30.00;-30.06;21.30;-18.50;-18.10;-20.55;11.30;3.40
07:57:23;-18.10;-30.00;-30.05;21.30;-18.50;-18.10;-20.54;11.30;3.40
07:57:25;-18.10;-30.00;-30.05;21.30;-18.50;-18.10;-20.54;11.20;3.40
07:57:27;-18.10;-30.00;-30.06;21.30;-18.50;-18.10;-20.54;11.20;3.40
07:57:29;-18.10;-30.00;-30.06;21.30;-18.50;-18.20;-20.54;11.20;3.40
07:57:31;-18.10;-30.00;-30.07;21.30;-18.50;-18.20;-20.54;11.20;3.40
07:57:33;-18.10;-30.00;-30.06;21.30;-18.50;-18.20;-20.54;11.20;3.40
07:57:35;-18.10;-30.00;-30.06;21.30;-18.50;-18.20;-20.54;11.20;3.40
07:57:37;-18.10;-30.00;-30.06;21.30;-18.50;-18.20;-20.53;11.10;3.40
07:57:39;-18.10;-30.00;-30.06;21.30;-18.50;-18.10;-20.53;11.10;3.40
07:57:41;-18.10;-30.00;-30.07;21.30;-18.50;-18.10;-20.53;11.00;3.50
07:57:43;-18.10;-30.00;-30.06;21.30;-18.50;-18.10;-20.53;11.00;3.40
07:57:45;-18.10;-30.00;-30.05;21.30;-18.50;-18.10;-20.52;10.90;3.40
07:57:47;-18.10;-30.00;-30.05;21.30;-18.50;-18.20;-20.52;10.90;3.40
07:57:49;-18.10;-30.00;-30.04;21.30;-18.50;-18.10;-20.51;10.90;3.50
07:57:51;-18.10;-30.00;-30.04;21.30;-18.50;-18.10;-20.51;10.90;3.40
07:57:53;-18.10;-30.00;-30.05;21.30;-18.50;-18.10;-20.51;10.80;3.50
07:57:55;-18.10;-30.00;-30.05;21.30;-18.50;-18.10;-20.50;10.80;3.50
07:57:57;-18.10;-30.00;-30.05;21.30;-18.50;-18.10;-20.50;10.80;3.40
07:57:59;-18.10;-30.00;-30.04;21.30;-18.50;-18.10;-20.50;10.70;3.40
07:58:01;-18.10;-30.00;-30.03;21.30;-18.50;-18.10;-20.49;10.70;3.50
07:58:03;-18.10;-30.00;-30.03;21.30;-18.50;-18.10;-20.49;10.70;3.40
07:58:05;-18.10;-30.00;-30.03;21.30;-18.50;-18.10;-20.50;10.70;3.40
07:58:07;-18.10;-30.00;-30.03;21.30;-18.50;-18.10;-20.49;10.80;3.50
