time (15.12.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
12:18:39;-10;-10.00183;-8.803117578115237e-11;1.2904078458983709e+20;-8.783837723242115e-11;2000.0;-42350.97;203.0940730425188;-903969.2;235.10199488732545;1.610333e-10
12:18:57;-20;-19.99997;-7.715600740941074e-11;1.679811336134455e+20;-7.708656786825099e-11;2000.0;-30955.26;208.88505396509348;-1031384.0;178.58807350996315;-3.889295e-10
12:19:15;-30;-30.0558;-7.34945143310523e-11;1.851356909835957e+20;-7.347385804226504e-11;2000.0;-18154.945;108.62663519482679;-1082767.5;78.53940093991041;-4.571251e-08
12:19:33;-40;-40.06619;-7.312459193099684e-11;1.87013556289351e+20;-7.311953635673913e-11;2000.0;-9048.888000000003;73.74230091880776;-1088245.0;60.5413082118317;-5.587725e-08
12:19:50;-50;-50.07428;7.292065438786139e-11;1.880610624425622e+20;7.292065421950413e-11;2000.0;52.43608075000001;19.51738029846506;-1091288.5;21.322230183543184;-4.878395e-08
12:20:07;-60;-60.0826;7.272396507708335e-11;1.8907969837015187e+20;7.27237405186206e-11;2000.0;1922.8225000000002;5.59846782052911;-1094240.0;9.137833441248532;-5.179136e-08
12:20:24;-70;-70.09387;7.269563062900682e-11;1.892271216178779e+20;7.269549432083332e-11;2000.0;1498.9565;6.496086832663182;-1094666.5;5.885363200347112;-4.879227e-08
12:20:42;-80;-80.08659;7.302775798755944e-11;1.8750984063282548e+20;7.302769443361108e-11;2000.0;1016.5521000000001;5.839697348707379;-1089688.0;5.128352561983234;-5.253379e-08
12:20:59;-90;-90.07504;7.305226096582754e-11;1.873840737107869e+20;7.305207427985087e-11;2000.0;1741.3899999999999;9.508930250033384;-1089322.5;8.150920193450553;-5.837567e-08
12:21:16;-100;-100.0798;7.30571232921255e-11;1.8735913179825527e+20;7.305693426685337e-11;2000.0;1752.0915;6.549162628725906;-1089250.0;7.516648189186453;-5.734103e-08
12:21:34;-110;-110.0628;7.304951152296518e-11;1.8739817952720768e+20;7.304930929716227e-11;2000.0;1812.521;7.572293671669103;-1089363.5;10.204778292545116;-6.119873e-08
12:21:51;-120;-120.0482;7.304505250080104e-11;1.8742105960223906e+20;7.304484840695864e-11;2000.0;1821.0400000000002;6.4293049391050054;-1089430.0;6.6332495807108;-6.199428e-08
12:22:08;-130;-130.0338;7.3037510281561e-11;1.8745976967607563e+20;7.303732031123418e-11;2000.0;1757.1735;7.555454760469416;-1089542.5;6.777720855862979;-5.948465e-08
12:22:26;-140;-140.0206;7.303017068380334e-11;1.8749745131999986e+20;7.302996872904782e-11;2000.0;1812.0255000000002;7.067639120491369;-1089652.0;6.693280212272604;-6.447513e-08
