time (15.12.2025);set voltage (V);real voltage (V);current (A);delta current;input current (A)
12:44:09;-25;-25.03162;8.819900165e-11;9.435047620326855e-12;-3.748212e-10
12:44:28;-50;-50.06343;1.0817685300000002e-10;9.981700854626631e-12;2.059073e-10
12:44:48;-75;-75.08862;9.94685365e-11;1.182682203570201e-11;2.452971e-10
12:45:08;-100;-100.0642;1.2482504950000002e-10;1.0982258705022123e-11;5.71466e-10
12:45:27;-125;-125.0189;1.448028625e-10;1.3564891826763656e-11;7.09391e-10
12:45:47;-150;-149.9989;1.55047899e-10;1.3162358994339708e-11;9.05388e-10
12:46:07;-175;-175.0323;1.7886764949999998e-10;1.1486320852372735e-11;8.295496e-11
12:46:27;-200;-200.063;1.7374513350000002e-10;1.2022102716429857e-11;5.23745e-10
12:46:46;-225;-225.0736;1.8783202799999997e-10;1.2976631899949551e-11;1.24819e-10
12:47:06;-250;-250.0511;1.527427925e-10;1.1881048596283429e-11;1.763759e-10
12:47:26;-275;-275.0244;2.1370074299999997e-10;1.043535774908731e-11;-5.472575e-11
12:47:46;-300;-300.0031;1.796360165e-10;1.1581164192892942e-11;4.587006e-10
12:48:06;-325;-325.0344;1.8091663614999998e-10;1.5262184164158744e-11;2.417085e-10
12:48:26;-350;-350.0468;2.2292121499999995e-10;1.7022635335556057e-11;-2.011196e-10
12:48:46;-375;-375.0775;2.3239789349999996e-10;1.2501845694946613e-11;4.753638e-10
12:49:06;-400;-400.0543;2.5621758e-10;1.4943780398267034e-11;3.189314e-11
12:49:25;-425;-425.0271;2.3342243e-10;1.0462189590241376e-11;-1.717915e-10
12:49:45;-450;-449.981;2.3444692e-10;1.500238649606055e-11;2.153526e-10
12:50:05;-475;-475.0145;2.32910185e-10;1.1831088688969572e-11;2.856358e-12
12:50:24;-500;-500.043;2.5135119499999996e-10;1.4043892878439144e-11;3.908102e-10
12:50:44;-525;-525.0755;2.0038222650000004e-10;1.1660900153221113e-11;-3.275487e-10
12:51:04;-550;-550.0598;2.6236460199999997e-10;1.4639545587683853e-11;5.639283e-11
12:51:24;-575;-575.0139;2.56217605e-10;1.2760608988585684e-11;-6.258873e-12
12:51:44;-600;-599.9922;3.5969235000000005e-10;1.1988758628672737e-11;-5.800765e-10
12:52:04;-625;-625.0178;3.65070995e-10;1.5530905627653326e-11;-3.306423e-10
12:52:23;-650;-650.0447;3.1948062999999993e-10;1.642911744706346e-11;-2.271889e-10
12:52:43;-675;-675.0565;3.2485929e-10;1.3185371165425907e-11;-8.908065e-10
12:53:03;-700;-700.0381;3.34335955e-10;1.701443762802267e-11;-2.027282e-10
12:53:22;-725;-725.0078;3.8325595000000003e-10;1.1742178818216616e-11;-5.50088e-10
12:53:42;-750;-749.9792;4.4267710500000004e-10;1.5917344755998835e-11;-5.971124e-10
12:54:02;-775;-774.9971;5.207954849999999e-10;1.9791330740183028e-11;-1.096186e-09
12:54:23;-800;-800.0032;7.433686899999999e-10;2.302682799630346e-11;-1.269847e-09
12:54:42;-825;-825.0291;1.03432749e-09;2.801410731253978e-11;-1.203393e-09
12:55:03;-850;-850.0098;1.6418576500000002e-09;4.5390797585263635e-11;-1.84012e-09
12:55:22;-875;-874.9742;3.91215695e-09;9.365244954245657e-11;-4.184936e-09
12:55:42;-900;-899.9427;1.1212346749999998e-07;3.1592044952001656e-09;-1.191491e-07
