time (15.12.2025);target (PCB) temperature (C);chiller setpoint (C);chiller temperature (internal) (C);housing temperature (C);sensor box temperature (C);PCB temperature (C);Pt1000 temperature (C);housing humidity (%);sensor box humidity (%)
12:43:47;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.44;9.80;4.10
12:43:49;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.44;10.00;4.00
12:43:51;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.44;10.00;4.10
12:43:53;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.44;9.90;4.10
12:43:55;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.44;9.80;4.00
12:43:57;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.44;9.80;4.00
12:43:59;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.44;9.80;4.00
12:44:01;-18.10;-30.00;-29.99;18.00;-18.50;-18.10;-20.44;9.70;4.00
12:44:03;-18.10;-30.00;-29.99;18.00;-18.50;-18.10;-20.45;9.70;4.00
12:44:05;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.44;9.70;4.00
12:44:07;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.43;9.70;4.00
12:44:09;-18.10;-30.00;-30.01;18.00;-18.50;-18.00;-20.43;9.70;4.10
12:44:11;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.43;9.70;4.10
12:44:13;-18.10;-30.00;-30.02;18.00;-18.50;-18.10;-20.44;9.70;4.00
12:44:15;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.44;9.70;4.10
12:44:17;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.43;9.70;4.10
12:44:19;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.43;9.70;4.00
12:44:21;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.43;9.70;4.10
12:44:23;-18.10;-30.00;-30.02;18.00;-18.50;-18.10;-20.43;9.70;4.10
12:44:25;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.43;9.60;4.10
12:44:27;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.43;9.60;4.00
12:44:29;-18.10;-30.00;-30.01;18.00;-18.50;-18.10;-20.42;9.60;4.00
12:44:31;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.41;9.60;4.00
12:44:33;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.42;9.60;4.10
12:44:35;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.42;9.70;4.10
12:44:37;-18.10;-30.00;-30.00;18.00;-18.50;-18.00;-20.43;9.70;4.10
12:44:39;-18.10;-30.00;-30.00;18.00;-18.50;-18.00;-20.42;9.70;4.10
12:44:41;-18.10;-30.00;-29.99;18.00;-18.50;-18.10;-20.42;9.70;4.10
12:44:43;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.42;9.70;4.10
12:44:45;-18.10;-30.00;-29.98;18.00;-18.50;-18.10;-20.43;9.70;4.00
12:44:47;-18.10;-30.00;-29.99;18.00;-18.50;-18.10;-20.43;9.70;4.00
12:44:49;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.44;9.70;4.00
12:44:51;-18.10;-30.00;-30.00;18.00;-18.50;-18.10;-20.43;9.70;4.10
