time (15.12.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
13:57:24;-10;-10.00183;-9.558966244587421e-11;1.0944051901952405e+20;-9.461263993364783e-11;2000.0;-84597.37999999999;459.3040517783397;-832490.35;373.96886417855694;1.458136e-10
13:57:42;-20;-19.99998;-8.244149741012516e-11;1.4713237900370226e+20;-8.188012547645003e-11;2000.0;-79924.58;388.2582695577779;-965259.9;360.74323902188377;-4.912687e-10
13:57:58;-30;-30.05498;-7.61301826789699e-11;1.7253859459031328e+20;-7.588200308894402e-11;2000.0;-59778.759999999995;405.16618913724784;-1045281.5;286.4343511173197;-4.660505e-08
13:58:16;-40;-40.06374;-7.266526123612273e-11;1.8938532413667783e+20;-7.257958710881313e-11;2000.0;-37625.38;270.25787625895407;-1095124.0;233.75029411746203;-5.678539e-08
13:58:32;-50;-50.07227;-7.007332180020339e-11;2.0365477108435304e+20;-7.005833332647993e-11;2000.0;-16610.635000000002;133.4896509612262;-1135631.5;148.97864779893794;-4.767154e-08
13:58:50;-60;-60.08083;-6.805655214445046e-11;2.1590371415581363e+20;-6.805650956471353e-11;2000.0;-924.8831;36.09176251535106;-1169284.5;22.610561691386614;-4.896075e-08
13:59:08;-70;-70.09168;6.654644625915027e-11;2.258136880816653e+20;6.654625815627801e-11;2000.0;2010.4864999999998;10.466569358557747;-1195818.5;10.229247284135818;-5.649698e-08
13:59:26;-80;-80.0856;6.546727667133624e-11;2.3331972143489407e+20;6.546714660774756e-11;2000.0;1713.2944999999995;6.454379384379261;-1215530.5;7.729003816792949;-5.778731e-08
13:59:42;-90;-90.0712;-6.474263540996716e-11;2.385718797274629e+20;-6.474260392338458e-11;2000.0;-857.1709500000001;6.6556413926364;-1229135.5;8.845196436484608;-5.151714e-08
14:00:00;-100;-100.0767;6.419463867059124e-11;2.4266239665078498e+20;6.419449668240499e-11;2000.0;1843.6080000000002;9.762788884330135;-1239628.0;10.830512453249845;-5.790562e-08
14:00:18;-110;-110.0634;6.395733219684316e-11;2.4446648033185658e+20;6.39571435929063e-11;2000.0;2136.6364999999996;10.782381584673212;-1244227.5;9.188987974744553;-5.635953e-08
14:00:35;-120;-120.0474;6.391844359985821e-11;2.447640423486055e+20;6.391824119851795e-11;2000.0;2215.4310000000005;12.123334790807345;-1244984.5;10.617791672471258;-6.36576e-08
14:00:52;-130;-130.0336;6.390514911015211e-11;2.448658917789123e+20;6.390495320272788e-11;2000.0;2180.281;8.922058672189952;-1245243.5;8.19374761632307;-6.086824e-08
14:01:10;-140;-140.0188;6.389755474157939e-11;2.4492410096546146e+20;6.389736270744366e-11;2000.0;2159.005;9.116732734373649;-1245391.5;8.839541843331022;-7.442826e-08
14:01:27;-150;-150.0112;6.389445080657277e-11;2.449478979289524e+20;6.389424275953578e-11;2000.0;2247.382;5.144442515958371;-1245452.0;8.677557259966655;-5.983544e-08
14:01:44;-160;-160.0229;6.389668253103113e-11;2.449307875987561e+20;6.389648322801352e-11;2000.0;2199.5319999999997;8.477823647611455;-1245408.5;9.598828053465693;-6.766771e-08
14:02:02;-170;-170.0329;6.38927322284745e-11;2.449610752572465e+20;6.389253913676935e-11;2000.0;2165.1870000000004;12.042422702679055;-1245485.5;7.123026042350259;-7.719732e-08
14:02:20;-180;-180.0406;6.389421994742305e-11;2.4494966799721988e+20;6.389401106995979e-11;2000.0;2251.8749999999995;6.7149338976642206;-1245456.5;14.217506813784192;-7.222488e-08
14:02:38;-190;-190.0663;6.389591295326262e-11;2.4493668764510883e+20;6.389572286718696e-11;2000.0;2148.109;8.640847438185665;-1245423.5;5.624722215363173;-6.119711e-08
14:02:55;-200;-200.0766;6.389065466794564e-11;2.4497700653039174e+20;6.389045222689622e-11;2000.0;2217.094;7.4983723700547085;-1245526.0;13.367871932360812;-6.027447e-08
14:03:12;-210;-210.0865;6.389039818836117e-11;2.4497897339016213e+20;6.389019125408631e-11;2000.0;2241.577;11.932168895469095;-1245531.0;9.744229061347028;-6.023699e-08
14:03:30;-220;-220.0954;6.388860288892573e-11;2.449927416296344e+20;6.38884003305885e-11;2000.0;2217.843;13.061682473938797;-1245566.0;9.757048734120373;-6.215052e-08
14:03:48;-230;-230.0928;6.388503823626387e-11;2.4502008256633117e+20;6.388483111311104e-11;2000.0;2242.8819999999996;6.883017928205628;-1245635.5;8.873415351486708;-6.775635e-08
14:04:04;-240;-240.0775;6.388744882113768e-11;2.4500159284502462e+20;6.388723755508401e-11;2000.0;2265.0739999999996;7.944663630387381;-1245588.5;7.787008411450445;-6.099067e-08
14:04:22;-250;-250.0669;6.388073040997405e-11;2.4505312976336958e+20;6.388052285471242e-11;2000.0;2245.4474999999993;8.196743770394436;-1245719.5;10.827626702098664;-6.533e-08
14:04:40;-260;-260.0535;6.387865362987066e-11;2.4506906402961048e+20;6.387844508509004e-11;2000.0;2250.9034999999994;8.91793819430814;-1245760.0;7.245688373094718;-6.849618e-08
14:04:57;-270;-270.0361;6.387714099849747e-11;2.450806707965444e+20;6.387693821429126e-11;2000.0;2219.6765;8.247988490383568;-1245789.5;10.78134963722075;-6.468842e-08
14:05:14;-280;-280.0409;6.387493627429665e-11;2.4509758962708277e+20;6.387473553930023e-11;2000.0;2208.5470000000005;7.082249010730975;-1245832.5;8.799857953399021;-7.497994e-08
14:05:31;-290;-290.0265;6.387373143119885e-11;2.4510683621148226e+20;6.387352944501218e-11;2000.0;2215.4820000000004;6.721005639039443;-1245856.0;11.344602240713423;-6.491212e-08
14:05:49;-300;-300.0168;6.387678207953519e-11;2.4508342498497734e+20;6.387657481747045e-11;2000.0;2244.0689999999995;8.940815899569792;-1245796.5;10.869107599062582;-6.559291e-08
14:06:07;-310;-310.0258;6.387532080825772e-11;2.450946386262234e+20;6.387511678421068e-11;2000.0;2226.547;7.717736653320065;-1245825.0;10.111874208078342;-7.842964e-08
14:06:25;-320;-320.0353;6.387288550469465e-11;2.4511332859836865e+20;6.387268519660804e-11;2000.0;2206.3035000000004;6.8431586739969745;-1245872.5;9.404121436902013;-7.389068e-08
14:06:41;-330;-330.0445;6.387460301527539e-11;2.4510014717553105e+20;6.387439675365129e-11;2000.0;2238.7610000000004;8.940255278793783;-1245839.0;9.351470472604829;-7.135414e-08
14:06:59;-340;-340.0523;6.387268043497704e-11;2.451149025232901e+20;6.387248540524054e-11;2000.0;2177.0505;10.518230328220618;-1245876.5;10.131016730812362;-7.256067e-08
14:07:15;-350;-350.0614;6.387096302778504e-11;2.451280843428859e+20;6.387076110486905e-11;2000.0;2215.2789999999995;8.087779265657545;-1245910.0;8.426149773176359;-7.086138e-08
14:07:33;-360;-360.0701;6.387334691637382e-11;2.4510978728577132e+20;6.387314341431066e-11;2000.0;2223.8;12.096630481253865;-1245863.5;9.467708276029633;-7.116466e-08
14:07:51;-370;-370.096;6.387283423714179e-11;2.451137220791253e+20;6.387263734628376e-11;2000.0;2187.4055000000003;7.8556636408071965;-1245873.5;10.8460822419895;-7.639719e-08
14:08:07;-380;-380.0958;6.387093739554139e-11;2.451282810891464e+20;6.387073194670283e-11;2000.0;2234.538;7.818396370100458;-1245910.5;11.010790162381626;-6.406847e-08
14:08:25;-390;-390.0833;6.387250100005431e-11;2.4511627971174164e+20;6.387229841491375e-11;2000.0;2218.8285;9.870040533731348;-1245880.0;9.974968671630002;-6.561869e-08
14:08:43;-400;-400.0692;6.387119371890377e-11;2.4512631363009364e+20;6.387099999762696e-11;2000.0;2169.8109999999992;10.286670790396663;-1245905.5;9.393481782597972;-7.075754e-08
14:09:01;-410;-410.0561;6.387098866004928e-11;2.451278875967042e+20;6.387078149933779e-11;2000.0;2243.8255000000004;7.185563251235074;-1245909.5;9.525623339183635;-7.196135e-08
14:09:19;-420;-420.0381;6.387229593280569e-11;2.4511785364613766e+20;6.387209283709073e-11;2000.0;2221.6334999999995;10.771054179489584;-1245884.0;8.786353054595518;-7.217854e-08
14:09:37;-430;-430.0243;6.386970707203924e-11;2.451377250025079e+20;6.386951135203781e-11;2000.0;2181.0520000000006;9.433660784658311;-1245934.5;5.589051797934959;-7.389102e-08
14:09:55;-440;-440.0112;6.38698864912645e-11;2.451363477538124e+20;6.386967879882121e-11;2000.0;2246.7615;9.471311030554313;-1245931.0;9.947361459201128;-8.502857e-08
14:10:11;-450;-449.9976;6.387132188135647e-11;2.4512532990352805e+20;6.387111918982702e-11;2000.0;2219.4724999999994;7.166817804123392;-1245903.0;7.90885579587844;-7.399797e-08
14:10:29;-460;-460.0242;6.386973270329542e-11;2.4513752825245732e+20;6.386953890236679e-11;2000.0;2170.3315;10.784949403566998;-1245934.0;10.207840124139874;-6.313851e-08
14:10:47;-470;-470.0316;6.387037349138584e-11;2.451326095268554e+20;6.38701694554651e-11;2000.0;2226.8705;10.870363620298077;-1245921.5;10.106309910150193;-7.156829e-08
14:11:05;-480;-480.0412;6.387132188135649e-11;2.4512532990352795e+20;6.38711211285415e-11;2000.0;2208.8325000000004;7.6059941452449165;-1245903.0;6.859300255857006;-7.187256e-08
14:11:21;-490;-490.0486;6.386852805649284e-11;2.4514677559018393e+20;6.386833092034412e-11;2000.0;2188.9889999999996;7.831249769353558;-1245957.5;7.7741559027331055;-6.880216e-08
14:11:39;-500;-500.0575;6.386924571294579e-11;2.4514126651691883e+20;6.386904077364103e-11;2000.0;2231.8540000000003;10.008446817563646;-1245943.5;9.676647146610234;-7.102132e-08
