Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-875.0,-1.378435e-07,1684.768264888889,1684.768264888889,502.37519999999995,3.4919549922997173,0.5820918144419481,0.5820918144419481
1,-850.0,-1.271035e-07,1682.2452298666667,1682.2452298666667,501.45120000000003,3.505233255601941,0.5516149595256462,0.5516149595256462
2,-825.0,-1.26075e-07,1679.5293248000003,1679.5293248000003,500.2208,3.476303327412293,0.5933431930746328,0.5933431930746328
3,-800.0,-1.082293e-07,1675.9073724444443,1675.9073724444443,498.31839999999994,3.51536193874757,0.5972165224409653,0.5972165224409653
4,-775.0,-1.146466e-07,1669.8584398222222,1669.8584398222222,496.30960000000005,3.579152262125285,0.5628533041992387,0.5628533041992387
5,-750.0,-1.060964e-07,1667.505166577778,1667.505166577778,494.57759999999996,3.5880575911779737,0.5499079313147616,0.5499079313147616
6,-725.0,-1.157045e-07,1672.6954823111112,1672.6954823111112,494.66,3.434451673004364,0.6134724023742884,0.6134724023742884
7,-700.0,-9.506734e-08,1673.2384391111111,1673.2384391111111,494.38880000000006,3.3830245352383566,0.5117566973862496,0.5117566973862496
8,-675.0,-9.166783e-08,1669.4347772444446,1669.4347772444446,491.86240000000004,3.358708001154207,0.5955747087132546,0.5955747087132546
9,-650.0,-1.014222e-07,1666.551356088889,1666.551356088889,490.2512000000001,3.3342833520833604,0.5460069629024152,0.5460069629024152
10,-625.0,-1.002627e-07,1664.5385265777777,1664.5385265777777,488.9312000000001,3.3039728691798524,0.5785378453103316,0.5785378453103316
11,-600.0,-1.099397e-07,1662.8586730666668,1662.8586730666668,487.33840000000004,3.2974096301726843,0.5744463652863685,0.5744463652863685
12,-575.0,-1.028464e-07,1660.1296131555555,1660.1296131555555,485.7032,3.238348566818787,0.6138059301896653,0.6138059301896653
13,-550.0,-9.621999e-08,1657.7470186666667,1657.7470186666667,483.4936,3.2401824009013933,0.5705788479220026,0.5705788479220026
14,-525.0,-9.330215e-08,1654.899329777778,1654.899329777778,482.03839999999997,3.257780876624266,0.5911242007981748,0.5911242007981748
15,-500.0,-1.072115e-07,1655.088746311111,1655.088746311111,480.2936,3.2286530915782867,0.5935606844123031,0.5935606844123031
16,-475.0,-9.898332e-08,1653.4215797333331,1653.4215797333331,477.9336,3.2172906227031057,0.6566429053191088,0.6566429053191088
17,-450.0,-9.69122e-08,1650.4223114666668,1650.4223114666668,475.9664,3.2355459681756615,0.5581406601711805,0.5581406601711805
18,-425.0,-9.934202e-08,1647.8257617777779,1647.8257617777779,473.47920000000005,3.2524601240853723,0.5404477156728494,0.5404477156728494
19,-400.0,-8.973225e-08,1643.7837301333336,1643.7837301333336,469.9248,3.258698659171924,0.6055600183959312,0.6055600183959312
20,-375.0,-9.440532e-08,1638.4728625777777,1638.4728625777777,466.6664,3.2749150972962293,0.5345389766641163,0.5345389766641163
21,-350.0,-1.072301e-07,1636.2302368,1636.2302368,463.43280000000004,3.2448748526047457,0.5770002858658555,0.5770002858658555
22,-325.0,-9.317747e-08,1630.4313002666668,1630.4313002666668,459.4448,3.3113789069811994,0.6248978821725027,0.6248978821725027
23,-300.0,-9.012081e-08,1626.534908088889,1626.534908088889,455.79200000000014,3.254601468140868,0.594441715682875,0.594441715682875
24,-275.0,-9.331583e-08,1620.5234464000002,1620.5234464000002,450.7488000000001,3.297473873780757,0.5730540279438904,0.5730540279438904
25,-250.0,-8.736534e-08,1616.9910737777782,1616.9910737777782,445.62559999999996,3.2965254281994305,0.5773402546115076,0.5773402546115076
26,-225.0,-7.480656e-08,1616.5777621333336,1616.5777621333336,440.3408,3.2861708282099067,0.5755362086524872,0.5755362086524872
27,-200.0,-9.202399e-08,1615.898877511111,1615.898877511111,434.0504,3.3077440209407287,0.5628773634230445,0.5628773634230445
28,-175.0,-9.599371e-08,1614.8473415111114,1614.8473415111114,426.31839999999994,3.2931452511175436,0.5627751804346747,0.5627751804346747
29,-150.0,-8.990802e-08,1610.9317852444447,1610.9317852444447,416.0736,3.293192230127607,0.587765528543482,0.587765528543482
30,-140.0,-9.302607e-08,1609.9616177777782,1609.9616177777782,411.57840000000004,3.353009487226677,0.565862225606197,0.565862225606197
31,-130.0,-7.93015e-08,1608.1927452444445,1608.1927452444445,406.1984,3.3547619312976527,0.606264615493927,0.606264615493927
32,-120.0,-8.976632e-08,1608.380084977778,1608.380084977778,400.64639999999997,3.4001665205380256,0.5750079579898716,0.5750079579898716
33,-110.0,-8.398987e-08,1612.0429550222225,1612.0429550222225,394.97119999999995,3.315471661074433,0.6005908467900595,0.6005908467900595
34,-100.0,-8.447424e-08,1603.5647573333335,1603.5647573333335,385.9272,3.3686311749565125,0.5473265062608249,0.5473265062608249
35,-90.0,-8.725802e-08,1601.9597667555558,1601.9597667555558,375.8944,3.3500262356046577,0.5678826686296393,0.5678826686296393
36,-80.0,-8.130748e-08,1599.4609941333335,1599.4609941333335,364.64,3.3705548746229383,0.5577414991768139,0.5577414991768139
37,-70.0,-6.701008e-08,1597.7718737777782,1597.7718737777782,351.59759999999994,3.3410755375558816,0.6133988090542085,0.6133988090542085
38,-60.0,-5.676371e-08,1595.2652053333336,1595.2652053333336,336.13199999999995,3.3106103482926263,0.5589929514214631,0.5589929514214631
39,-50.0,-9.434171e-08,1587.0259950222226,1587.0259950222226,317.05119999999994,3.2876384836821186,0.5973043459018862,0.5973043459018862
40,-40.0,-6.434959e-08,1550.5886638222225,1550.5886638222225,290.352,3.2521908664654036,0.5857047975080945,0.5857047975080945
41,-30.0,-7.603548e-08,1487.378446577778,1487.378446577778,253.0472,3.2030256875247214,0.5781335765883858,0.5781335765883858
42,-20.0,8.827319e-09,1315.944204800001,1315.944204800001,192.26880000000006,3.199997447110093,0.5103464007166906,0.5103464007166906
43,-10.0,1.155384e-08,876.4072213333338,876.4072213333338,111.44880000000006,3.137693930261523,0.4235657583199101,0.4235657583199101
