Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049871,1683.073864177778,1683.073864177778,501.12399999999997,3.9511115603824276,1.318263047947076,1.318263047947076
1,-850.0,-2.866104e-08,1679.2309877333337,1679.2309877333337,500.66880000000003,3.95263410520124,0.5462979589122411,0.5462979589122411
2,-800.0,-1.029694e-07,1669.4338840888888,1669.4338840888888,496.78,3.9142060832565364,0.5486794497522939,0.5486794497522939
3,-750.0,-9.241542e-08,1659.4451086222225,1659.4451086222225,492.2576,3.879227963501228,0.49234481518740403,0.49234481518740403
4,-700.0,-9.29813e-08,1651.2438499555556,1651.2438499555556,488.4496,3.910508108757957,0.5368860905462917,0.5368860905462917
5,-650.0,-9.982882e-08,1641.972760888889,1641.972760888889,483.9856,3.912044391679259,0.525675778481299,0.525675778481299
6,-600.0,-9.322272e-08,1634.0924860444447,1634.0924860444447,479.24160000000006,3.976491981214313,0.5239409555302182,0.5239409555302182
7,-550.0,-8.143343e-08,1626.1373781333334,1626.1373781333334,474.9240000000001,3.9353216731658534,0.5744470619561731,0.5744470619561731
8,-500.0,-7.740407e-08,1621.4025198222223,1621.4025198222223,470.4232,3.972618659989752,0.4883059284158657,0.4883059284158657
9,-450.0,-9.210375e-08,1612.0278734222222,1612.0278734222222,464.9136000000001,3.91718954379978,0.5369978333465395,0.5369978333465395
10,-400.0,-9.461809e-08,1607.443527466667,1607.443527466667,459.1504000000001,3.9606657229645967,0.4933185581245449,0.4933185581245449
11,-350.0,-2.78426e-07,1603.5248782222222,1603.5248782222222,453.06880000000007,3.9183854882802738,0.5063242465980858,0.5063242465980858
12,-300.0,5.939153e-08,1598.1199804444445,1598.1199804444445,445.18320000000006,3.940259076360273,0.5445034945080887,0.5445034945080887
13,-250.0,3.555582e-08,1593.5711968,1593.5711968,435.72720000000004,3.9165839467236423,0.5185023261972894,0.5185023261972894
14,-200.0,1.797417e-05,1588.9681696000002,1588.9681696000002,422.67040000000003,3.906784338136816,0.5168141940143676,0.5168141940143676
15,-150.0,4.27115e-08,1586.5675701333334,1586.5675701333334,404.7144,3.9121426479559207,0.4806696197318087,0.4806696197318087
16,-100.0,2.841912e-05,1580.7664156444446,1580.7664156444446,377.07840000000004,3.9251618644211574,0.5012133610043533,0.5012133610043533
17,-95.0,3.552305e-08,1579.0566691555555,1579.0566691555555,372.81119999999993,3.9100385895503442,0.4797540587579427,0.4797540587579427
18,-90.0,-8.284856e-08,1580.188946488889,1580.188946488889,369.00159999999994,3.8697020355667107,0.4923868528883363,0.4923868528883363
19,-85.0,-8.631022e-08,1579.4212796444447,1579.4212796444447,364.4272,3.911713708979389,0.5283794117581799,0.5283794117581799
20,-80.0,-9.014386e-08,1579.3781831111112,1579.3781831111112,359.1456,3.8897205189265245,0.5356603005935753,0.5356603005935753
21,-75.0,-6.660757e-08,1577.9082471111112,1577.9082471111112,353.348,3.897633221074644,0.5010417023429473,0.5010417023429473
22,-70.0,-6.362242e-08,1577.1718887111115,1577.1718887111115,347.5992,3.9633064891244287,0.5123942331029103,0.5123942331029103
23,-65.0,-7.15208e-08,1574.3365749333336,1574.3365749333336,340.5456,3.9092052307115095,0.4985108292260869,0.4985108292260869
24,-60.0,-6.183232e-08,1570.4115171555559,1570.4115171555559,332.4695999999999,3.8986904715694193,0.5309450571059863,0.5309450571059863
25,-55.0,-8.579167e-08,1563.666904177778,1563.666904177778,323.4871999999999,3.8876064295440336,0.504278757927875,0.504278757927875
26,-50.0,-7.058485e-08,1546.5029621333338,1546.5029621333338,311.93199999999996,3.8462888329979132,0.5151764801389122,0.5151764801389122
27,-45.0,-7.164557e-08,1523.4786499555557,1523.4786499555557,298.268,3.8405417803272903,0.5095680703290576,0.5095680703290576
28,-40.0,-7.604596e-08,1500.5160999111115,1500.5160999111115,283.93440000000004,3.860973471718445,0.5254868548707188,0.5254868548707188
29,-35.0,-6.498524e-08,1474.4321671111113,1474.4321671111113,268.19919999999996,3.8682919280596395,0.5209813279123143,0.5209813279123143
30,-30.0,-7.204103e-08,1438.2937955555558,1438.2937955555558,249.61360000000005,3.872707979402578,0.46592508445027864,0.46592508445027864
31,-25.0,-7.360417e-08,1377.0769856000004,1377.0769856000004,225.63840000000005,3.7956267458220916,0.4618206141561042,0.4618206141561042
32,-20.0,6.975465e-09,1269.7692817777784,1269.7692817777784,192.71680000000006,3.8248678752618224,0.47382884339254777,0.47382884339254777
33,-15.0,8.602403e-09,1100.164941155556,1100.164941155556,154.75760000000008,3.8176911584818676,0.43017649888240184,0.43017649888240184
34,-10.0,9.034906e-09,841.7413863111116,841.7413863111116,112.94560000000008,3.8115932370105674,0.44205127550545553,0.44205127550545553
35,-5.0,9.373472e-09,523.5178830222226,523.5178830222226,68.73680000000004,3.7663805907069885,0.41056069397291284,0.41056069397291284
