Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-1.926879e-07,1704.981157688889,1704.981157688889,510.38159999999993,3.782199154398907,0.5437137976546108,0.5437137976546108
1,-875.0,-1.426595e-07,1729.172846577778,1729.172846577778,513.3912,3.7484432762072326,0.5067944579889572,0.5067944579889572
2,-850.0,-1.292381e-07,1727.8200600888888,1727.8200600888888,512.164,3.7248341688937012,0.5276692964639119,0.5276692964639119
3,-825.0,-1.184623e-07,1722.6959523555558,1722.6959523555558,510.75680000000006,3.7538143141958593,0.5631199979497088,0.5631199979497088
4,-800.0,-1.0968e-07,1723.8336060444447,1723.8336060444447,510.0392,3.7150405373286395,0.552878156461691,0.552878156461691
5,-775.0,-9.894865e-08,1721.8381934222225,1721.8381934222225,508.86240000000004,3.708857549322357,0.48424731037733154,0.48424731037733154
6,-750.0,-1.171991e-07,1725.6490190222225,1725.6490190222225,509.04240000000004,3.591453698906288,0.5587282499230567,0.5587282499230567
7,-725.0,-1.04563e-07,1723.5923875555557,1723.5923875555557,507.23839999999996,3.541876504082665,0.5374203773780094,0.5374203773780094
8,-700.0,-1.070356e-07,1721.5210254222225,1721.5210254222225,506.0832000000001,3.5115068130439857,0.5609542647556212,0.5609542647556212
9,-675.0,-1.052447e-07,1718.9121112888888,1718.9121112888888,504.5136,3.5386842096497815,0.5626298021541337,0.5626298021541337
10,-650.0,-9.524165e-08,1719.1542659555555,1719.1542659555555,503.4408,3.4788577323591534,0.6061747616521155,0.6061747616521155
11,-625.0,-9.70569e-08,1716.3595452444447,1716.3595452444447,501.85839999999996,3.4702045279005866,0.5763996581661716,0.5763996581661716
12,-600.0,-9.599729e-08,1714.477107911111,1714.477107911111,500.12800000000004,3.4432897619673457,0.5562881647445707,0.5562881647445707
13,-575.0,-9.038418e-08,1712.889173688889,1712.889173688889,498.0696,3.4341176305456838,0.5467544841615106,0.5467544841615106
14,-550.0,-9.711112e-08,1710.4283925333336,1710.4283925333336,496.27840000000003,3.429039221084142,0.5550851743207694,0.5550851743207694
15,-525.0,-1.008667e-07,1707.5155139555554,1707.5155139555554,493.8872,3.454279166257341,0.5550770574703308,0.5550770574703308
16,-500.0,-1.028058e-07,1704.4067317333333,1704.4067317333333,491.704,3.436254615815178,0.574350691922624,0.574350691922624
17,-475.0,-9.937974e-08,1701.586989866667,1701.586989866667,489.2808,3.464831926043937,0.5805269633703491,0.5805269633703491
18,-450.0,-9.414799e-08,1699.5846688000001,1699.5846688000001,487.14639999999997,3.421114222420007,0.568429155265209,0.568429155265209
19,-425.0,-1.014284e-07,1699.7628540444443,1699.7628540444443,484.82560000000007,3.4159304942505226,0.6102071337179883,0.6102071337179883
20,-400.0,-9.980084e-08,1697.5929489777775,1697.5929489777775,482.50480000000005,3.400841733363618,0.5963233474936896,0.5963233474936896
21,-375.0,-8.420356e-08,1694.9453813333334,1694.9453813333334,479.6632000000001,3.3829012882764147,0.5732192448967506,0.5732192448967506
22,-350.0,-1.060533e-07,1693.1382232888893,1693.1382232888893,476.23839999999996,3.345356180814471,0.5519280463248826,0.5519280463248826
23,-325.0,-1.07442e-07,1689.3354179555556,1689.3354179555556,472.55680000000007,3.3830825002906515,0.6117638905632763,0.6117638905632763
24,-300.0,-9.428891e-08,1684.943774577778,1684.943774577778,468.1616,3.3867224014194828,0.6162911129263492,0.6162911129263492
25,-275.0,-9.696164e-08,1682.9458826666669,1682.9458826666669,464.00800000000004,3.38974389317738,0.5754010870268496,0.5754010870268496
26,-250.0,-8.203481e-08,1677.9535388444447,1677.9535388444447,458.66240000000005,3.3544075990645106,0.5242948866735203,0.5242948866735203
27,-225.0,-8.233661e-08,1677.3029859555559,1677.3029859555559,453.1512,3.40539488344851,0.5716674575461506,0.5716674575461506
28,-200.0,-7.908481e-08,1673.6317116444447,1673.6317116444447,446.5624,3.3996309497283117,0.557825186666934,0.557825186666934
29,-175.0,-8.192932e-08,1670.5284782222225,1670.5284782222225,438.6752,3.3680558398790263,0.530377076186367,0.530377076186367
30,-150.0,-8.649679e-08,1668.378682311111,1668.378682311111,429.3768,3.391620811742804,0.578816273082641,0.578816273082641
31,-125.0,-8.675065e-08,1667.1685685333337,1667.1685685333337,417.0712,3.4110290256037277,0.5353831085078411,0.5353831085078411
32,-100.0,-7.955038e-08,1665.2290531555554,1665.2290531555554,400.34399999999994,3.4054354964111844,0.5617338868279893,0.5617338868279893
33,-75.0,-7.977534e-08,1661.787728,1661.787728,375.2384,3.422413494207463,0.6014217350182146,0.6014217350182146
34,-50.0,-7.323987e-08,1646.7790880000002,1646.7790880000002,329.9559999999999,3.3396527477502147,0.5527753009637094,0.5527753009637094
35,-25.0,-7.359266e-08,1489.7282926222229,1489.7282926222229,234.21680000000003,3.2645726702023503,0.5749282988895215,0.5749282988895215
