Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-0.0001049858,2675.0443623111114,2675.0443623111114,829.6032000000004,3.9631987121490964,0.890119688983188,0.890119688983188
1,-850.0,-1.926544e-08,2670.5832608,2670.5832608,826.6944000000003,4.02148797781783,0.8681889070867442,0.8681889070867442
2,-800.0,-1.113826e-07,2663.770321422223,2663.770321422223,820.3384000000002,3.9654445769322004,0.9468550063615876,0.9468550063615876
3,-750.0,-1.074237e-07,2664.035285333334,2664.035285333334,815.5376000000001,4.016705224047303,0.9590305181486553,0.9590305181486553
4,-700.0,-9.009338e-08,2659.870909155556,2659.870909155556,809.2736000000001,4.023742210567941,0.9130986589522916,0.9130986589522916
5,-650.0,-1.001854e-07,2656.4341912888895,2656.4341912888895,802.4808000000002,3.985115764952022,0.8939637816835314,0.8939637816835314
6,-600.0,-8.350328e-08,2656.2300693333336,2656.2300693333336,795.2176000000004,4.041690782828396,0.8999726714115696,0.8999726714115696
7,-550.0,-9.134003e-08,2657.924607644444,2657.924607644444,787.8560000000002,4.003556655957517,0.9645584049246171,0.9645584049246171
8,-500.0,-9.051789e-08,2654.5463516444447,2654.5463516444447,777.7704000000001,4.016868527115171,0.8806140780370926,0.8806140780370926
9,-450.0,-9.227711e-08,2653.4765432888894,2653.4765432888894,767.1,4.016500131604661,1.0154748464743388,1.0154748464743388
10,-400.0,-1.057953e-07,2652.9647146666666,2652.9647146666666,754.3640000000003,4.044864816200084,0.8668400662666267,0.8668400662666267
11,-350.0,-8.916988e-08,2651.075588977778,2651.075588977778,737.9664000000001,3.987466128793642,0.9792877011705998,0.9792877011705998
12,-300.0,-8.067882e-08,2656.0797479111106,2656.0797479111106,719.8832000000001,4.000719385530312,0.8360066791204965,0.8360066791204965
13,-250.0,9.857465e-07,2655.1239733333337,2655.1239733333337,693.3280000000002,4.02124140555846,0.902142412836286,0.902142412836286
14,-200.0,7.48452e-08,2655.084352,2655.084352,656.6344,4.019632999941939,0.8858623064587868,0.8858623064587868
15,-190.0,3.594995e-08,2653.7970289777777,2653.7970289777777,646.9320000000001,4.01947856721199,0.968212418653013,0.968212418653013
16,-180.0,-7.430674e-08,2646.556136177778,2646.556136177778,634.8344000000001,3.939357520421163,0.9441137400116182,0.9441137400116182
17,-170.0,-8.405846e-08,2640.018952177778,2640.018952177778,621.4432,3.9868884008471923,0.9042458084527211,0.9042458084527211
18,-160.0,-9.467853e-08,2632.158673066667,2632.158673066667,606.5608,3.9703816415273967,0.8516247895717454,0.8516247895717454
19,-150.0,-8.22095e-08,2630.701896888889,2630.701896888889,591.7456000000001,3.932227561718143,0.8573166789197125,0.8573166789197125
20,-140.0,-8.660138e-08,2634.202330311111,2634.202330311111,575.8256,3.9624312672317497,0.8181156969516763,0.8181156969516763
21,-130.0,-7.485917e-08,2637.4797706666664,2637.4797706666664,558.7088,3.9112645542501134,0.9461011972162795,0.9461011972162795
22,-120.0,-7.585008e-08,2630.9512732444446,2630.9512732444446,538.7216000000001,3.9093133191443625,0.8137077768881893,0.8137077768881893
23,-110.0,-7.758903e-08,2613.2236757333335,2613.2236757333335,515.2104,3.9208856855222574,0.9196753967873655,0.9196753967873655
24,-100.0,-8.494202e-08,2572.339488355555,2572.339488355555,486.25839999999994,3.900348915519619,0.8722628530041135,0.8722628530041135
25,-90.0,-6.513564e-08,2522.5468316444444,2522.5468316444444,453.5552,3.8788455633825953,0.8678639653298671,0.8678639653298671
26,-80.0,-7.396621e-08,2455.190673066667,2455.190673066667,417.39520000000005,3.8351861141917083,0.8500955489517166,0.8500955489517166
27,-70.0,-5.534249e-08,2329.287314488889,2329.287314488889,379.59839999999997,3.814275317054521,0.8628764739731378,0.8628764739731378
28,-60.0,-7.203842e-08,2124.1650549333335,2124.1650549333335,336.6696,3.78815455038466,0.7870230103439685,0.7870230103439685
29,-50.0,-6.060942e-08,1875.3400949333338,1875.3400949333338,289.7496,3.7999095890765036,0.8086197999819685,0.8086197999819685
30,-40.0,-6.87504e-08,1607.8636778666673,1607.8636778666673,241.46720000000005,3.683330852391322,0.6059983322844373,0.6059983322844373
31,-30.0,-6.263234e-08,1317.8880593777785,1317.8880593777785,190.65440000000007,3.7331730607158202,0.5722892218103699,0.5722892218103699
