Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-5.41042e-08,2699.0444526222227,2699.0444526222227,842.0624000000003,3.9450843245640512,0.8478084287007274,0.8478084287007274
1,-850.0,-1.241996e-07,2699.697550222223,2699.697550222223,838.2064000000003,3.957273191716305,0.9486060988133685,0.9486060988133685
2,-800.0,-1.143329e-07,2696.7488099555553,2696.7488099555553,832.7584000000003,3.9366285037093975,0.9141632717792166,0.9141632717792166
3,-750.0,-1.002954e-07,2692.8513781333336,2692.8513781333336,826.2736000000001,3.9400191442512904,0.9018750091144991,0.9018750091144991
4,-700.0,-1.009863e-07,2694.078845866667,2694.078845866667,821.1856000000002,3.952798458611318,0.989241755640516,0.989241755640516
5,-650.0,-9.061235e-08,2697.059733688889,2697.059733688889,815.9760000000001,3.9168760554500612,0.9201173027826389,0.9201173027826389
6,-600.0,-9.18066e-08,2701.2313539555557,2701.2313539555557,809.6264000000001,3.9590821050950633,0.9021713343163169,0.9021713343163169
7,-550.0,-8.417025e-08,2702.230131911111,2702.230131911111,802.2088000000002,3.907041279988709,0.9993387748908394,0.9993387748908394
8,-500.0,-8.769919e-08,2702.749366755556,2702.749366755556,793.1552000000001,3.941000947153113,0.9896949891355401,0.9896949891355401
9,-450.0,-8.823119e-08,2706.6610702222224,2706.6610702222224,782.9960000000002,3.980737364091802,0.9548735730587987,0.9548735730587987
10,-400.0,-8.913826e-08,2706.8085589333336,2706.8085589333336,770.1960000000003,4.002106241557203,0.9743276414144876,0.9743276414144876
11,-350.0,-8.204294e-08,2708.193668266667,2708.193668266667,755.2384000000003,3.95650625912419,0.9352222760050133,0.9352222760050133
12,-300.0,-8.732795e-08,2711.621900444445,2711.621900444445,735.3960000000002,3.963042061564374,1.0044783728792215,1.0044783728792215
13,-250.0,4.860156e-08,2713.1546965333337,2713.1546965333337,707.3648000000001,3.918212944040236,1.005895181576449,1.005895181576449
14,-200.0,3.890147e-08,2721.2844127999997,2721.2844127999997,667.1472,3.891468666963099,1.0222247928472872,1.0222247928472872
15,-190.0,-7.903381e-08,2722.367392,2722.367392,657.0928000000001,3.916513637407638,1.0359437689536637,1.0359437689536637
16,-180.0,-8.666747e-08,2728.1804885333336,2728.1804885333336,646.9968000000001,3.9043101651835452,1.0274969553940245,1.0274969553940245
17,-170.0,-7.944195e-08,2729.576859733333,2729.576859733333,635.4432,3.8891430442308095,1.1773158232570922,1.1773158232570922
18,-160.0,-8.467023e-08,2730.951558755556,2730.951558755556,622.8064,3.8590047581260523,1.0429937909346962,1.0429937909346962
19,-150.0,-8.88284e-08,2729.8816789333337,2729.8816789333337,608.3736,3.851049324569431,1.0675397770350308,1.0675397770350308
20,-140.0,-8.702018e-08,2728.9784892444445,2728.9784892444445,592.7959999999999,3.871278046404423,1.0606138398487555,1.0606138398487555
21,-130.0,-8.329625e-08,2722.8018748444447,2722.8018748444447,574.1688,3.8626087387492065,0.9955343156437734,0.9955343156437734
22,-120.0,-7.461293e-08,2711.2416174222226,2711.2416174222226,553.1736000000001,3.835183268089297,0.9816421456640929,0.9816421456640929
23,-110.0,-7.979946e-08,2692.2461294222217,2692.2461294222217,529.7640000000001,3.820832605634085,1.0741786596630545,1.0741786596630545
24,-100.0,-8.004564e-08,2651.2870421333337,2651.2870421333337,501.03839999999997,3.847824719408213,1.030521276877833,1.030521276877833
25,-90.0,-7.670098e-08,2593.5622851555554,2593.5622851555554,467.5,3.8219863010678914,0.9561822566378865,0.9561822566378865
26,-80.0,-7.792357e-08,2523.6005575111108,2523.6005575111108,431.9032000000001,3.80035903831061,0.9631732421824847,0.9631732421824847
27,-70.0,-6.640342e-08,2384.4684352,2384.4684352,392.504,3.7781911650006403,0.9710182642194086,0.9710182642194086
28,-60.0,-6.552202e-08,2187.4329134222226,2187.4329134222226,350.11519999999996,3.812518805468942,0.8739325875651456,0.8739325875651456
29,-50.0,-6.958253e-08,1959.0539768888889,1959.0539768888889,305.008,3.776407890137315,0.8314845566431159,0.8314845566431159
30,-40.0,-7.303135e-08,1700.9587086222227,1700.9587086222227,256.9144,3.7689136797297875,0.7644160537977189,0.7644160537977189
31,-30.0,-6.151087e-08,1391.8332864000006,1391.8332864000006,202.96800000000002,3.7619039790214983,0.6536606545173116,0.6536606545173116
